,Unnamed: 0,player,cbs,dk_name
0,8,Joe Flacco,20.14,Joe Flacco
1,10,Andy Dalton,19.51,Andy Dalton
2,11,Ryan Tannehill,15.52,Ryan Tannehill
3,12,Landry Jones,17.02,Landry Jones
4,13,Alex Smith,14.31,Alex Smith
5,16,Matthew Stafford,16.0,Matthew Stafford
6,19,Tyrod Taylor,17.84,Tyrod Taylor
7,20,Drew Brees,24.02,Drew Brees
8,22,Jameis Winston,18.04,Jameis Winston
9,24,Peyton Manning,19.56,Peyton Manning
10,28,Eli Manning,16.59,Eli Manning
11,33,Tom Brady,23.19,Tom Brady
12,34,Jay Cutler,15.01,Jay Cutler
13,35,Cam Newton,19.89,Cam Newton
14,41,Aaron Rodgers,22.88,Aaron Rodgers
15,42,Russell Wilson,16.67,Russell Wilson
16,43,Nick Foles,16.98,Nick Foles
17,46,Brian Hoyer,13.48,Brian Hoyer
18,50,Sam Bradford,17.27,Sam Bradford
19,52,Johnny Manziel,14.67,Johnny Manziel
20,57,Teddy Bridgewater,15.11,Teddy Bridgewater
21,59,Ryan Fitzpatrick,15.64,Ryan Fitzpatrick
22,60,Carson Palmer,14.77,Carson Palmer
23,67,Derek Carr,16.8,Derek Carr
24,69,Kirk Cousins,15.57,Kirk Cousins
25,74,Blake Bortles,16.33,Blake Bortles
26,75,Matt Cassel,12.88,Matt Cassel
27,77,Marcus Mariota,13.4,Marcus Mariota
28,82,Jeremy Langford,14.24,Jeremy Langford
29,83,Jonathan Stewart,10.74,Jonathan Stewart
30,84,Antonio Andrews,10.63,Antonio Andrews
31,86,DeMarco Murray,15.19,DeMarco Murray
32,87,Alfred Blue,9.08,Alfred Blue
33,89,Jordan Todman,3.38,Jordan Todman
34,91,Jalston Fowler,1.51,Jalston Fowler
35,94,LeSean McCoy,11.57,LeSean McCoy
36,96,Christine Michael,5.36,Christine Michael
37,100,Anthony Sherman,1.77,Anthony Sherman
38,101,Mike Tolbert,4.93,Mike Tolbert
39,102,Shane Vereen,10.36,Shane Vereen
40,103,Dexter McCluster,6.74,Dexter McCluster
41,105,Matt Asiata,3.1,Matt Asiata
42,108,Chris Johnson,9.93,Chris Johnson
43,109,Zac Stacy,3.83,Zac Stacy
44,111,John Kuhn,2.94,John Kuhn
45,112,Justin Forsett,14.54,Justin Forsett
46,113,Rashad Jennings,9.42,Rashad Jennings
47,115,Antone Smith,3.07,Antone Smith
48,116,Isaiah Crowell,9.13,Isaiah Crowell
49,117,Charcandrick West,11.08,Charcandrick West
50,118,C.J. Anderson,11.53,C.J. Anderson
51,119,Javorius Allen,4.56,Javorius Allen
52,120,Jay Ajayi,6.2,Jay Ajayi
53,121,Darren Sproles,9.17,Darren Sproles
54,122,Chris Ivory,12.58,Chris Ivory
55,123,C.J. Spiller,10.93,C.J. Spiller
56,124,Orleans Darkwa,5.0,Orleans Darkwa
57,125,Matt Jones,8.52,Matt Jones
58,126,Roy Helu,7.18,Roy Helu Jr.
59,128,Tre Mason,2.58,Tre Mason
60,129,Jonathan Grimes,7.72,Jonathan Grimes
61,131,Derrick Coleman,1.25,Derrick Coleman
62,132,Adrian Peterson,14.94,Adrian Peterson
63,133,Darrel Young,2.23,Darrel Young
64,134,Fozzy Whittaker,3.09,Fozzy Whittaker
65,136,Charles Sims,10.83,Charles Sims
66,137,Anthony Dixon,2.7,NaN
67,138,David Johnson,5.45,David Johnson
68,139,Chris Thompson,7.84,Chris Thompson
69,142,Bilal Powell,6.3,Bilal Powell
70,146,Theo Riddick,9.99,Theo Riddick
71,147,Chris Polk,7.8,Chris Polk
72,148,Denard Robinson,3.89,Denard Robinson
73,149,Karlos Williams,7.84,Karlos Williams
74,150,Bishop Sankey,2.98,Bishop Sankey
75,151,Benny Cunningham,4.65,Benny Cunningham
76,154,DeAngelo Williams,15.58,DeAngelo Williams
77,155,Stevan Ridley,3.13,Stevan Ridley
78,156,Andre Williams,4.33,Andre Williams
79,158,Ryan Mathews,10.55,Ryan Mathews
80,159,Giovani Bernard,12.05,Giovani Bernard
81,160,David Cobb,4.68,NaN
82,162,Will Johnson,3.36,Will Johnson
83,163,Marshawn Lynch,14.31,Marshawn Lynch
84,164,Doug Martin,12.93,Doug Martin
85,165,Zach Line,3.24,Zach Line
86,166,Latavius Murray,13.0,Latavius Murray
87,167,Ameer Abdullah,8.21,Ameer Abdullah
88,168,Eddie Lacy,6.92,Eddie Lacy
89,169,Taiwan Jones,4.91,Taiwan Jones
90,170,Lamar Miller,13.86,Lamar Miller
91,171,James Starks,15.75,James Starks
92,172,Toby Gerhart,3.01,Toby Gerhart
93,173,Thomas Rawls,4.62,Thomas Rawls
94,175,Tommy Bohanon,1.69,Tommy Bohanon
95,176,Jeremy Hill,13.28,Jeremy Hill
96,178,Joique Bell,7.55,Joique Bell
97,179,Jamize Olawale,2.62,Jamize Olawale
98,180,James White,8.48,James White
99,182,Ka'Deem Carey,3.12,Ka'Deem Carey
100,183,Mark Ingram,18.32,Mark Ingram
101,186,Jerick McKinnon,2.17,Jerick McKinnon
102,187,Austin Johnson,3.05,NaN
103,188,Alfred Morris,8.86,Alfred Morris
104,189,Kyle Juszczyk,5.14,Kyle Juszczyk
105,190,Todd Gurley,19.37,Todd Gurley
106,193,Ronnie Hillman,14.09,Ronnie Hillman
107,194,LeGarrette Blount,15.24,LeGarrette Blount
108,196,Tyler Clutts,1.73,Tyler Clutts
109,197,Andre Ellington,7.44,Andre Ellington
110,200,Darren McFadden,12.89,Darren McFadden
111,201,Marcel Reece,6.38,Marcel Reece
112,203,Knile Davis,4.83,Knile Davis
113,204,Brandon Bolden,4.22,Brandon Bolden
114,208,T.J. Yeldon,12.37,T.J. Yeldon
115,209,Duke Johnson,10.77,Duke Johnson Jr.
116,210,Jerome Felton,1.07,Jerome Felton
117,215,Stefon Diggs,13.52,Stefon Diggs
118,216,Marquess Wilson,5.88,Marquess Wilson
119,217,Markus Wheaton,5.37,Markus Wheaton
120,218,Larry Fitzgerald,15.13,Larry Fitzgerald
121,219,Kenbrell Thompkins,2.06,Kenbrell Thompkins
122,221,Jeremy Maclin,13.5,Jeremy Maclin
123,224,Michael Crabtree,13.04,Michael Crabtree
124,225,Nate Washington,10.36,Nate Washington
125,227,Cecil Shorts,7.22,Cecil Shorts III
126,228,Kendall Wright,10.19,Kendall Wright
127,229,DeSean Jackson,11.93,DeSean Jackson
128,230,Jerricho Cotchery,6.9,Jerricho Cotchery
129,233,Chris Givens,6.19,Chris Givens
130,235,Pierre Garcon,13.09,Pierre Garcon
131,236,Rueben Randle,10.43,Rueben Randle
132,237,Brian Quick,5.13,Brian Quick
133,238,Jordan Norwood,3.47,Jordan Norwood
134,239,Doug Baldwin,9.49,Doug Baldwin
135,240,Taylor Gabriel,5.18,Taylor Gabriel
136,242,Brian Hartline,7.79,Brian Hartline
137,244,Allen Robinson,14.71,Allen Robinson
138,245,Mike Evans,15.81,Mike Evans
139,248,Rod Streater,5.51,Rod Streater
140,249,Riley Cooper,5.67,Riley Cooper
141,250,Sammy Watkins,12.43,Sammy Watkins
142,251,Jeremy Kerley,5.61,Jeremy Kerley
143,252,Allen Hurns,12.05,Allen Hurns
144,253,Andrew Hawkins,6.06,Andrew Hawkins
145,254,Kamar Aiken,10.28,Kamar Aiken
146,256,Jarvis Landry,13.9,Jarvis Landry
147,257,Greg Jennings,3.38,Greg Jennings
148,258,Vincent Jackson,12.49,Vincent Jackson
149,260,Kenny Stills,5.86,Kenny Stills
150,261,Michael Floyd,8.9,Michael Floyd
151,263,Jaron Brown,3.97,Jaron Brown
152,266,DeVante Parker,3.07,DeVante Parker
153,269,Eric Decker,12.21,Eric Decker
154,271,Jason Avant,3.97,Jason Avant
155,273,Bryan Walters,6.09,Bryan Walters
156,275,Charles Johnson,5.13,Charles Johnson
157,278,Davante Adams,10.02,Davante Adams
158,279,Randall Cobb,16.8,Randall Cobb
159,282,Chris Hogan,6.68,Chris Hogan
160,285,Alshon Jeffery,17.36,Alshon Jeffery
161,287,Calvin Johnson,14.77,Calvin Johnson
162,288,Miles Austin,4.4,Miles Austin
163,290,Amari Cooper,15.29,Amari Cooper
164,291,Corey Brown,5.66,Corey Brown
165,292,Albert Wilson,5.33,Albert Wilson
166,293,Justin Hunter,4.03,Justin Hunter
167,296,Ty Montgomery,8.89,Ty Montgomery
168,297,Marqise Lee,5.59,Marqise Lee
169,298,Jermaine Kearse,7.03,Jermaine Kearse
170,299,Jarius Wright,5.7,Jarius Wright
171,300,Robert Woods,9.06,Robert Woods
172,301,Deonte Thompson,3.5,NaN
173,302,Tyler Lockett,6.62,Tyler Lockett
174,303,Mike Wallace,9.9,Mike Wallace
175,304,Cole Beasley,7.2,Cole Beasley
176,305,Dez Bryant,12.55,Dez Bryant
177,307,Mohamed Sanu,7.19,Mohamed Sanu
178,308,Danny Amendola,8.56,Danny Amendola
179,309,Harry Douglas,4.77,Harry Douglas
180,310,Odell Beckham,17.25,Odell Beckham Jr.
181,311,Andre Holmes,4.41,Andre Holmes
182,313,Kenny Britt,8.79,Kenny Britt
183,314,Martavis Bryant,11.31,Martavis Bryant
184,315,Antonio Brown,23.7,Antonio Brown
185,316,Demaryius Thomas,19.05,Demaryius Thomas
186,318,Dwayne Harris,5.25,Dwayne Harris
187,319,Bennie Fowler,2.46,Bennie Fowler
188,320,Josh Huff,4.45,Josh Huff
189,321,Seth Roberts,3.34,Seth Roberts
190,322,Jaelen Strong,7.09,Jaelen Strong
191,323,Emmanuel Sanders,12.66,Emmanuel Sanders
192,324,Chris Matthews,3.71,Chris Matthews
193,325,Brandon Marshall,14.05,Brandon Marshall
194,328,Terrance Williams,8.44,Terrance Williams
195,329,Chris Conley,2.52,Chris Conley
196,330,Ryan Grant,4.4,Ryan Grant
197,331,Devin Smith,2.91,Devin Smith
198,332,Lance Moore,4.84,Lance Moore
199,333,Andre Caldwell,2.74,Andre Caldwell
200,334,Rishard Matthews,9.09,Rishard Matthews
201,336,Dorial Green-Beckham,5.76,Dorial Green-Beckham
202,337,Corey Fuller,3.91,Corey Fuller
203,338,DeAndre Hopkins,18.75,DeAndre Hopkins
204,339,Marques Colston,10.4,Marques Colston
205,340,Marlon Brown,5.13,Marlon Brown
206,341,John Brown,9.36,John Brown
207,342,Tavon Austin,9.8,Tavon Austin
208,344,Jordan Matthews,13.88,Jordan Matthews
209,345,Nelson Agholor,6.11,Nelson Agholor
210,346,A.J. Green,17.37,A.J. Green
211,347,Ted Ginn,7.34,Ted Ginn Jr.
212,348,Darrius Heyward-Bey,5.68,Darrius Heyward-Bey
213,351,Wes Welker,3.52,NaN
214,352,Julian Edelman,17.39,Julian Edelman
215,355,Brandin Cooks,15.83,Brandin Cooks
216,356,James Jones,14.01,James Jones
217,357,Devin Funchess,5.43,Devin Funchess
218,358,Travis Benjamin,9.06,Travis Benjamin
219,359,De'Anthony Thomas,3.37,De'Anthony Thomas
220,360,Marc Mariani,3.04,Marc Mariani
221,361,Brandon LaFell,11.74,Brandon LaFell
222,363,Golden Tate,11.42,Golden Tate
223,365,Jamison Crowder,7.44,Jamison Crowder
224,367,Donteea Dye,5.95,Donteea Dye
225,368,Brandon Coleman,5.36,Brandon Coleman
226,369,Willie Snead,13.01,Willie Snead
227,370,Marvin Jones,10.27,Marvin Jones
228,375,Jason Witten,9.87,Jason Witten
229,377,Kyle Rudolph,7.1,Kyle Rudolph
230,379,Charles Clay,9.78,Charles Clay
231,380,Martellus Bennett,11.43,Martellus Bennett
232,381,Delanie Walker,8.43,Delanie Walker
233,383,Brandon Myers,2.17,Brandon Myers
234,384,Jake Stoneburner,5.73,Jake Stoneburner
235,385,Jared Cook,7.52,Jared Cook
236,386,Cameron Brate,3.67,Cameron Brate
237,389,Garrett Graham,4.31,Garrett Graham
238,390,Heath Miller,8.42,Heath Miller
239,392,Jimmy Graham,12.05,Jimmy Graham
240,394,Rob Gronkowski,16.94,Rob Gronkowski
241,395,Jim Dray,4.15,Jim Dray
242,397,Julius Thomas,9.66,Julius Thomas
243,400,Gavin Escobar,4.37,Gavin Escobar
244,401,Vernon Davis,9.72,Vernon Davis
245,402,Gary Barnidge,11.0,Gary Barnidge
246,403,Josh Hill,7.53,Josh Hill
247,406,Richard Rodgers,8.41,Richard Rodgers
248,407,Maxx Williams,6.41,Maxx Williams
249,410,Lance Kendricks,6.74,Lance Kendricks
250,411,Kellen Davis,4.75,Kellen Davis
251,412,Crockett Gillmore,10.24,Crockett Gillmore
252,413,Lee Smith,3.3,Lee Smith
253,414,Tyler Eifert,15.37,Tyler Eifert
254,415,Jermaine Gresham,3.66,Jermaine Gresham
255,418,Austin Seferian-Jenkins,5.23,Austin Seferian-Jenkins
256,419,Jordan Cameron,5.67,Jordan Cameron
257,422,Owen Daniels,6.1,Owen Daniels
258,423,Zach Miller,2.86,Zach Miller
259,424,Ed Dickson,3.93,Ed Dickson
260,426,Marcedes Lewis,2.66,Marcedes Lewis
261,427,Rhett Ellison,3.88,Rhett Ellison
262,428,Virgil Green,3.79,Virgil Green
263,429,James O'Shaughnessy,3.24,James O'Shaughnessy
264,431,Zach Ertz,6.28,Zach Ertz
265,433,Darren Fells,5.28,Darren Fells
266,435,Brandon Pettigrew,3.71,Brandon Pettigrew
267,436,Luke Willson,4.81,Luke Willson
268,438,Anthony Fasano,2.95,Anthony Fasano
269,439,Benjamin Watson,9.48,Benjamin Watson
270,441,Clive Walford,2.13,Clive Walford
271,442,C.J. Fiedorowicz,3.61,C.J. Fiedorowicz
272,443,Derek Carrier,3.05,Derek Carrier
273,446,Mychal Rivera,3.94,Mychal Rivera
274,448,Brent Celek,5.85,Brent Celek
275,451,Greg Olsen,13.57,Greg Olsen
276,452,Jordan Reed,13.2,Jordan Reed
277,453,Travis Kelce,11.88,Travis Kelce
278,454,Eric Ebron,10.18,Eric Ebron
279,455,Larry Donnell,5.63,Larry Donnell
280,457,Dion Sims,3.74,Dion Sims
281,460,Scott Chandler,3.84,Scott Chandler
282,463,Ryan Hewitt,2.5,Ryan Hewitt
283,465,Nick Boyle,5.81,Nick Boyle
