,player,cbs
7,Joe Flacco,15.34
9,Ryan Tannehill,17.72
10,Landry Jones,16.48
11,Alex Smith,15.48
14,Josh McCown,16.76
15,Matthew Stafford,19.01
17,Drew Brees,19.93
19,Philip Rivers,19.11
21,Jameis Winston,16.63
26,Eli Manning,23.13
29,Tom Brady,19.2
30,Cam Newton,19.87
37,Russell Wilson,18.21
38,Nick Foles,14.73
41,Brian Hoyer,14.73
42,Sam Bradford,14.3
47,EJ Manuel,15.78
48,Matt Ryan,17.88
51,Teddy Bridgewater,13.85
53,Colin Kaepernick,14.16
54,Ryan Fitzpatrick,16.86
55,Carson Palmer,24.62
59,Zach Mettenberger,14.1
61,Derek Carr,14.78
63,Kirk Cousins,14.08
68,Andrew Luck,26.12
69,Blake Bortles,14.45
70,Matt Cassel,12.55
76,Jonathan Stewart,10.29
77,Antonio Andrews,9.27
80,DeAngelo Williams,3.54
82,DeMarco Murray,14.72
83,Alfred Blue,6.12
84,Andre Williams,5.6
87,Carlos Hyde,10.25
88,Ryan Mathews,10.14
89,Jalston Fowler,1.9
92,Tevin Coleman,6.37
93,LeSean McCoy,10.99
95,Doug Martin,13.39
96,Marshawn Lynch,15.13
97,Will Johnson,2.78
98,Branden Oliver,7.94
99,Zach Line,2.46
100,Arian Foster,17.4
101,Latavius Murray,13.83
102,Christine Michael,5.22
105,Ameer Abdullah,11.09
106,Lamar Miller,13.05
107,Taiwan Jones,4.2
108,Devonta Freeman,20.49
109,Melvin Gordon,6.51
110,Thomas Rawls,6.93
111,Toby Gerhart,3.12
112,Anthony Sherman,2.06
113,Tommy Bohanon,1.56
114,Mike Tolbert,5.03
115,Shane Vereen,11.37
117,Dexter McCluster,6.79
119,Joique Bell,6.16
120,Mike Davis,3.89
122,Matt Asiata,3.08
123,James White,9.85
124,Ahmad Bradshaw,6.33
126,Dan Herron,6.27
127,Mark Ingram,14.04
129,Bruce Miller,3.24
133,Chris Johnson,10.76
134,Jerick McKinnon,2.02
135,Khiry Robinson,6.37
136,Zac Stacy,5.07
137,Damien Williams,5.19
138,Austin Johnson,2.87
139,Alfred Morris,8.9
140,Justin Forsett,14.19
141,Kyle Juszczyk,3.37
142,Rashad Jennings,12.57
144,Isaiah Crowell,9.36
145,Todd Gurley,14.97
146,Charcandrick West,8.26
147,Javorius Allen,5.73
148,Darren Sproles,7.89
149,Chris Ivory,14.98
150,C.J. Spiller,8.88
152,Patrick DiMarco,1.71
153,Le'Veon Bell,26.22
154,LeGarrette Blount,15.41
155,Matt Jones,7.98
156,Roy Helu,7.32
160,Tre Mason,4.34
161,Frank Gore,12.83
162,Josh Robinson,4.83
166,Tyler Clutts,1.76
167,Danny Woodhead,12.49
168,Joseph Randle,10.87
170,Adrian Peterson,13.86
171,Andre Ellington,9.91
172,Darrel Young,2.96
175,Fozzy Whittaker,3.79
176,Marcel Reece,7.63
177,Darren McFadden,7.18
