player,pass_att,comp,pass_yards,pass_tds,int,comp-%,pass_yards/att,rush_att,rush_yards,rush_avg,rush_tds,fl,fan_pts,rec,rec_yards,rec_tds,punt_td,kick_td,2-pt
Quarterbacks Week 7 Standard Stats -- Average
Passing,Rushing,Misc
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
"Bryce Petty,NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Chase Daniel,KC",0.2,0.1,1.0,0.0,0.0,60.8,5.7,0.1,0.6,4.1,0.0,0.0,0
"Derek Anderson,CAR",0.2,0.1,1.6,0.0,0.0,58.4,6.6,0.1,0.1,1.9,0.0,0.0,0
"Geno Smith,NYJ",0.6,0.4,4.6,0.0,0.0,61.8,7.7,0.2,1.2,5.4,0.0,0.0,0
"Joe Flacco,BAL",35.9,22.1,241.0,1.4,1.3,61.6,6.7,1.7,4.0,2.4,0.2,0.2,0
"Austin Davis,CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Ryan Tannehill,MIA",38.6,22.6,249.0,1.9,1.1,58.5,6.5,2.6,14.6,5.7,0.0,0.2,0
"Landry Jones,PIT",33.4,21.3,260.0,1.3,0.7,63.8,7.8,2.4,11.8,5.0,0.1,0.2,0
"Alex Smith,KC",31.1,19.5,220.0,1.4,0.8,62.7,7.1,4.5,20.8,4.6,0.0,0.2,0
"Robert Griffin III,WAS",0.6,0.4,4.6,0.0,0.0,66.9,7.4,0.2,1.1,4.5,0.0,0.0,0
"Tarvaris Jackson,SEA",0.1,0.0,0.5,0.0,0.0,69.8,8.9,0.0,0.0,1.1,0.0,0.0,0
"Josh McCown,CLE",34.2,23.4,297.0,1.1,0.8,68.4,8.7,1.9,10.8,5.6,0.1,0.4,0
"Matthew Stafford,DET",41.0,26.6,290.0,1.8,1.0,64.9,7.1,2.4,8.1,3.4,0.1,0.2,0
"Thad Lewis,PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Drew Brees,NO",39.5,26.6,306.0,1.3,1.1,67.3,7.7,1.5,2.9,2.0,0.1,0.3,0
"Ryan Nassib,NYG",0.0,0.0,0.4,0.0,0.0,69.6,9.1,0.0,0.0,1.9,0.0,0.0,0
"Philip Rivers,SD",35.5,24.7,291.0,2.1,1.0,69.6,8.2,1.3,2.7,2.1,0.0,0.2,0
"Sean Renfree,ATL",0.0,0.0,0.3,0.0,0.0,67.6,7.7,0.0,0.0,0.4,0.0,0.0,0
