player,rush_att,rush_yards,rush_avg,rush_tds,rec,rec_yards,avg_yards/rec,rec_tds,fl,fan_pts,punt_td,kick_td,2-pt,pass_yards,pass_tds,int
Running Backs Week 13 Standard Stats -- Average
Rushing,Receiving,Misc
Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
"Jeremy Langford,CHI",9.8,35.2,3.6,0.5,2.4,33.9,14.1,0.2,0.1,0
"Jonathan Stewart,CAR",17.0,84.9,5.0,0.3,1.4,7.9,5.6,0.1,0.2,0
"Antonio Andrews,TEN",13.1,46.2,3.5,0.2,1.2,13.6,11.4,0.0,0.1,0
"Terrance West,BAL",8.6,35.3,4.1,0.4,1.0,7.1,6.8,0.0,0.2,0
"DeMarco Murray,PHI",13.9,54.7,3.9,0.4,3.1,23.0,7.5,0.0,0.2,0
"Alfred Blue,HOU",12.9,54.5,4.2,0.2,1.1,8.4,7.4,0.1,0.1,0
"Cedric Peerman,CIN",0.0,0.1,3.4,0.0,0.0,0.0,11.0,0.0,0.0,0
"Jordan Todman,PIT",3.1,13.6,4.3,0.1,0.8,6.5,7.9,0.0,0.1,0
"Mike James,TB",0.3,1.6,4.6,0.0,0.0,0.1,3.9,0.0,0.0,0
"Jalston Fowler,TEN",0.7,1.3,2.0,0.1,0.4,3.7,9.2,0.1,0.0,0
"Bryce Brown,SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Tevin Coleman,ATL",6.7,28.7,4.3,0.2,1.4,9.0,6.2,0.0,0.3,0
"Rex Burkhead,CIN",0.0,0.1,2.8,0.0,0.0,0.4,10.0,0.0,0.0,0
"LeSean McCoy,BUF",18.0,80.2,4.5,0.5,2.5,20.7,8.3,0.1,0.2,0
"Chase Reynolds,STL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Christine Michael,WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Tim Hightower,NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Bernard Pierce,JAC",0.2,0.7,3.4,0.0,0.0,0.2,4.4,0.0,0.0,0
"Alonzo Harris,GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Melvin Gordon,SD",14.3,43.0,3.0,0.2,2.3,11.3,5.0,0.1,0.3,0
"Anthony Sherman,KC",0.2,0.2,1.2,0.0,0.6,5.1,8.0,0.1,0.0,0
"Mike Tolbert,CAR",4.0,16.4,4.1,0.1,1.3,11.0,8.7,0.2,0.0,0
"Shane Vereen,NYG",4.2,14.5,3.5,0.1,3.4,31.6,9.2,0.2,0.1,0
"Isaiah Pead,PIT",0.1,0.3,2.6,0.0,0.1,0.4,6.6,0.0,0.0,0
"Pierre Thomas,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Matt Asiata,MIN",1.6,6.2,4.0,0.1,1.1,6.2,5.7,0.0,0.1,0
"Jarryd Hayne,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"LaMichael James,MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Bruce Miller,SF",0.3,0.7,2.1,0.0,1.3,16.7,13.0,0.0,0.0,0
"Matt Forte,CHI",12.4,49.1,4.0,0.3,2.5,21.4,8.7,0.1,0.1,0
