player,rec,rec_yards,avg_yards/rec,rec_tds,fl,fan_pts,rush_att,rush_yards,rush_avg,rush_tds,punt_td,kick_td,2-pt,pass_yards,pass_tds,int
Tight Ends Week 13 Standard Stats -- Average
Receiving,Misc
Player,Recpt,Yd,Avg,TD,FL,FPTS
"Jason Witten,DAL",4.3,44.1,10.2,0.2,0.1,0
"Geoff Swaim,DAL",0.0,0.0,0.0,0.0,0.0,0
"Kyle Rudolph,MIN",2.7,23.7,8.7,0.3,0.0,0
"Chase Coffman,SEA",0.0,0.0,0.0,0.0,0.0,0
"Jacob Tamme,ATL",4.1,42.4,10.3,0.2,0.0,0
"Charles Clay,BUF",3.7,40.1,10.8,0.2,0.0,0
"Martellus Bennett,CHI",5.1,36.2,7.1,0.4,0.0,0
"Delanie Walker,TEN",3.3,40.9,12.2,0.2,0.0,0
"Gabe Holmes,OAK",0.0,0.0,0.0,0.0,0.0,0
"Vance McDonald,SF",1.9,18.1,9.7,0.2,0.0,0
"Brandon Myers,TB",1.1,11.0,10.1,0.0,0.0,0
"Antonio Gates,SD",4.2,40.7,9.8,0.5,0.1,0
"Jake Stoneburner,MIA",2.2,23.1,10.4,0.5,0.0,0
"Jared Cook,STL",2.3,30.3,13.1,0.1,0.1,0
"Cameron Brate,TB",1.1,14.0,12.5,0.3,0.0,0
"Will Tye,NYG",0.1,1.3,11.3,0.0,0.0,0
"Joseph Fauria,NE",0.1,0.7,11.1,0.0,0.0,0
"Garrett Graham,HOU",0.1,0.7,9.5,0.0,0.0,0
"Michael Hoomanawanui,NO",0.1,0.8,6.4,0.0,0.0,0
"MyCole Pruitt,MIN",0.1,0.3,6.7,0.0,0.0,0
"Jim Dray,CLE",1.9,19.7,10.1,0.1,0.0,0
"Jack Doyle,IND",0.1,0.5,6.5,0.0,0.0,0
"Cory Harkey,STL",0.0,0.2,6.3,0.0,0.0,0
"Julius Thomas,JAC",5.1,55.3,10.8,0.4,0.0,0
"David Johnson,SD",0.0,0.3,10.1,0.0,0.0,0
"Jeff Cumberland,NYJ",0.1,0.9,15.4,0.0,0.0,0
"Gavin Escobar,DAL",1.7,17.8,10.3,0.1,0.2,0
"Ladarius Green,SD",2.2,24.3,10.8,0.2,0.0,0
"Vernon Davis,DEN",2.2,25.6,11.4,0.3,0.0,0
"Gary Barnidge,CLE",4.6,59.8,13.0,0.4,0.0,0
"Josh Hill,NO",2.8,26.7,9.5,0.2,0.0,0
"Trey Burton,PHI",0.0,0.2,28.1,0.0,0.0,0
"Chris Gragg,BUF",0.1,1.3,14.0,0.0,0.0,0
"Richard Rodgers,GB",3.5,26.8,7.6,0.3,0.0,0
"Kyle Miller,SD",0.0,0.0,0.0,0.0,0.0,0
"Asante Cleveland,NE",1.0,11.0,11.1,0.1,0.0,0
"C.J. Uzomah,CIN",0.0,0.0,0.0,0.0,0.0,0
"Levine Toilolo,ATL",2.6,23.7,9.2,0.1,0.0,0
"Anthony McCoy,WAS",0.0,0.5,9.8,0.0,0.0,0
"Lance Kendricks,STL",1.5,15.5,10.3,0.4,0.0,0
"Kellen Davis,NYJ",1.5,16.2,10.7,0.2,0.0,0
"Crockett Gillmore,BAL",4.3,55.4,12.8,0.5,0.0,0
"Lee Smith,OAK",1.5,16.2,10.7,0.1,0.0,0
"Jermaine Gresham,ARI",1.6,14.3,8.9,0.1,0.1,0
"Ryan Griffin,HOU",1.8,20.7,11.4,0.1,0.0,0
"E.J. Bibbs,CLE",0.0,0.0,0.0,0.0,0.0,0
"Tyler Kroft,CIN",2.6,27.7,10.7,0.3,0.0,0
"Austin Seferian-Jenkins,TB",2.5,49.6,19.5,0.4,0.1,0
"Jordan Cameron,MIA",2.3,29.3,12.6,0.2,0.0,0
"Matthew Mulligan,BUF",0.0,0.3,6.8,0.0,0.0,0
"Jesse James,PIT",2.6,30.2,11.4,0.3,0.0,0
"Owen Daniels,DEN",1.8,19.3,10.7,0.2,0.0,0
"Zach Miller,CHI",3.0,37.5,12.4,0.5,0.0,0
"Ed Dickson,CAR",1.7,19.3,11.5,0.1,0.0,0
"Malcolm Johnson,CLE",0.0,0.2,4.8,0.0,0.0,0
"Marcedes Lewis,JAC",1.1,13.8,13.1,0.1,0.0,0
"Rhett Ellison,MIN",1.4,12.5,8.8,0.3,0.0,0
"Virgil Green,DEN",1.6,15.2,9.7,0.1,0.0,0
"Brandon Williams,MIA",0.0,0.2,11.6,0.0,0.0,0
"Sean McGrath,SD",0.0,0.0,0.0,0.0,0.0,0
"Zach Ertz,PHI",2.6,29.4,11.2,0.1,0.0,0
"Phillip Supernaw,TEN",0.0,0.0,0.0,0.0,0.0,0
"Darren Fells,ARI",1.8,19.2,10.5,0.2,0.0,0
"Kennard Backman,GB",0.0,0.0,0.0,0.0,0.0,0
"Brandon Pettigrew,DET",1.7,18.7,11.0,0.1,0.0,0
"Luke Willson,SEA",2.8,34.6,12.4,0.2,0.0,0
"Timothy Wright,DET",0.1,1.3,10.9,0.0,0.0,0
"Anthony Fasano,TEN",1.4,16.2,11.2,0.2,0.0,0
"Benjamin Watson,NO",4.0,43.7,11.1,0.2,0.1,0
"Randall Telfer,CLE",0.1,0.5,9.8,0.0,0.0,0
"Matt Spaeth,PIT",0.0,0.4,9.0,0.0,0.0,0
"John Phillips,SD",0.1,0.3,5.4,0.0,0.0,0
"Clive Walford,OAK",1.5,16.2,10.7,0.2,0.0,0
"C.J. Fiedorowicz,HOU",1.6,14.9,9.3,0.1,0.1,0
"Derek Carrier,WAS",1.9,18.9,10.2,0.1,0.0,0
"Nick O'Leary,BUF",0.0,0.0,0.0,0.0,0.0,0
"Luke Stocker,TB",0.1,0.5,6.5,0.0,0.0,0
"Mychal Rivera,OAK",2.0,20.3,10.1,0.1,0.0,0
"Clay Harbor,JAC",0.1,1.6,12.1,0.0,0.0,0
"Brent Celek,PHI",1.9,27.0,14.1,0.2,0.0,0
"Brian Parker,KC",0.0,0.0,0.0,0.0,0.0,0
"Cooper Helfet,SEA",0.1,0.9,13.3,0.0,0.0,0
