player,rec,rec_yards,avg_yards/rec,rec_tds,fl,fan_pts,rush_att,rush_yards,rush_avg,rush_tds,punt_td,kick_td,2-pt,pass_yards,pass_tds,int
Wide Receivers Week 13 Standard Stats -- Average
Receiving,Misc
Player,Recpt,Yd,Avg,TD,FL,FPTS
"DeAndrew White,SF",0.0,0.0,0.0,0.0,0.0,0
"Stefon Diggs,MIN",4.6,55.7,12.1,0.3,0.0,0
"Markus Wheaton,PIT",3.1,54.5,17.4,0.2,0.0,0
"Larry Fitzgerald,ARI",7.4,81.8,11.1,0.5,0.2,0
"Kenbrell Thompkins,NYJ",1.0,12.3,12.4,0.0,0.0,0
"Andre Johnson,IND",2.8,35.5,12.7,0.2,0.1,0
"Jeremy Maclin,KC",5.7,72.6,12.7,0.5,0.0,0
"Dwayne Bowe,CLE",0.2,2.9,12.8,0.0,0.0,0
"Terrelle Pryor,CLE",0.0,0.0,0.0,0.0,0.0,0
"Michael Crabtree,OAK",4.4,52.3,11.8,0.3,0.0,0
"Nate Washington,HOU",3.2,48.3,15.3,0.2,0.0,0
"Cordarrelle Patterson,MIN",0.1,0.7,9.5,0.0,0.0,0
"Cecil Shorts,HOU",3.0,32.2,10.9,0.1,0.1,0
"Chuck Jacobs,BAL",0.0,0.0,0.0,0.0,0.0,0
"Kendall Wright,TEN",3.7,45.7,12.2,0.3,0.0,0
"DeSean Jackson,WAS",3.8,57.2,15.2,0.4,0.0,0
"Jerricho Cotchery,CAR",2.8,38.4,13.7,0.2,0.0,0
"Tony Lippett,MIA",0.0,0.0,0.0,0.0,0.0,0
"Brenton Bersin,CAR",0.1,1.0,13.6,0.0,0.0,0
"Mario Alford,CIN",0.0,0.0,0.0,0.0,0.0,0
"Chris Givens,BAL",2.4,38.7,16.1,0.1,0.0,0
"Marcus Easley,BUF",0.0,0.3,45.7,0.0,0.0,0
"Jerome Simpson,SF",1.7,32.3,18.8,0.1,0.0,0
"Pierre Garcon,WAS",4.9,53.5,11.0,0.2,0.0,0
"Rueben Randle,NYG",3.4,47.0,13.7,0.3,0.0,0
"Hakeem Nicks,NYG",0.8,11.1,13.2,0.0,0.0,0
"Julio Jones,ATL",9.0,112.0,12.4,0.5,0.1,0
"Kaelin Clay,BAL",0.0,0.0,0.0,0.0,0.0,0
"Kevin Smith,SEA",0.1,0.8,13.7,0.0,0.0,0
"Brian Quick,STL",1.2,17.5,14.3,0.1,0.0,0
"Jonathan Krause,PHI",0.0,0.0,0.0,0.0,0.0,0
"Jordan Norwood,DEN",1.1,13.7,12.3,0.1,0.0,0
"Doug Baldwin,SEA",4.9,63.3,13.0,0.4,0.0,0
