Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Julio Jones,WR,9300,Atl@SF 04:05PM ET,26.525,Atl,28.0,30.5,27.6,26.8,20.78,19.26,21.513,24.9218571429,30.5,19.26,11.24,0.451009727548
Odell Beckham Jr.,WR,8800,NYG@TB 04:05PM ET,20.838,NYG,21.0,32.1,18.94,28.8,20.15,18.42,20.244,22.8077142857,32.1,18.42,13.68,0.599797061145
Tom Brady,QB,8500,Was@NE 01:00PM ET,29.057,NE,27.8,27.78,29.53,27.78,22.592,19.288,28.4122,26.1688857143,29.53,19.288,10.242,0.391380821936
Julian Edelman,WR,8200,Was@NE 01:00PM ET,21.671,NE,21.5,20.0,20.61,19.1,17.33,15.93,21.028,19.3568571429,21.5,15.93,5.57,0.287753324772
Antonio Brown,WR,8100,Oak@Pit 01:00PM ET,19.55,Pit,27.0,32.6,19.96,29.9,26.06,16.48,26.1744,25.4534857143,32.6,16.48,16.12,0.633312080748
Rob Gronkowski,TE,8000,Was@NE 01:00PM ET,22.657,NE,19.5,23.8,21.26,20.9,16.18,15.08,17.457,19.1681428571,23.8,15.08,8.72,0.454921484308
Devonta Freeman,RB,8000,Atl@SF 04:05PM ET,27.275,Atl,28.0,22.2,19.43,22.5,29.31,22.81,23.395,23.9492857143,29.31,19.43,9.88,0.412538399594
Dez Bryant,WR,7900,Phi@Dal 08:30PM ET,6.5,Dal,18.0,31.2,12.21,27.1,14.77,15.94,16.2066,19.3466571429,31.2,12.21,18.99,0.981564921515
Le'Veon Bell,RB,7800,Oak@Pit 01:00PM ET,20.033,Pit,,,,,,,,,,,,
Keenan Allen,WR,7700,Chi@SD 08:30PM ET,21.438,SD,,,,,,,,,,,,
Brandon Marshall,WR,7600,Jax@NYJ 01:00PM ET,22.229,NYJ,22.0,20.2,13.53,19.1,17.64,17.66,19.288,18.4882857143,22.0,13.53,8.47,0.458127926564
A.J. Green,WR,7600,Cle@Cin 08:25PM ET,20.129,Cin,21.5,31.0,18.18,27.1,17.56,14.32,20.529,21.4555714286,31.0,14.32,16.68,0.777420450233
Demaryius Thomas,WR,7500,Den@Ind 04:25PM ET,19.929,Den,22.0,29.4,19.15,26.2,20.67,15.93,18.61,21.7085714286,29.4,15.93,13.47,0.620492234799
Aaron Rodgers,QB,7400,GB@Car 01:00PM ET,20.546,GB,20.0,29.1,15.69,29.1,20.898,15.272,21.0494,21.5870571429,29.1,15.272,13.828,0.640569018208
Adrian Peterson,RB,7300,StL@Min 01:00PM ET,16.429,Min,21.0,22.5,14.76,24.7,13.99,17.68,14.963,18.5132857143,24.7,13.99,10.71,0.578503468552
Emmanuel Sanders,WR,7300,Den@Ind 04:25PM ET,16.986,Den,17.5,23.5,16.5,20.9,17.73,14.62,16.2,18.1357142857,23.5,14.62,8.88,0.489641591178
Drew Brees,QB,7200,Ten@NO 01:00PM ET,23.149,NO,23.4,26.86,23.52,27.86,19.702,17.628,23.6084,23.2254857143,27.86,17.628,10.232,0.440550528237
