,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
238,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Delanie Walker,4200,10.98,Amari Cooper,6700,16.12,46700,114.1934,1
250,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Delanie Walker,4200,10.98,A.J. Green,7600,16.66,46700,114.1934,1
260,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Antonio Brown,8100,16.84,46700,114.1934,1
86,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Austin Seferian-Jenkins,2800,10.157,Mike Wallace,4100,12.6,46600,114.007,1
112,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Austin Seferian-Jenkins,2800,10.157,Amari Cooper,6700,16.12,46600,114.007,1
127,Aaron Rodgers,7400,13.65,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Austin Seferian-Jenkins,2800,10.157,A.J. Green,7600,16.66,46600,114.007,1
241,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Ladarius Green,3300,10.41,Amari Cooper,6700,16.12,45800,113.6234,1
254,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Ladarius Green,3300,10.41,A.J. Green,7600,16.66,45800,113.6234,1
264,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Ladarius Green,3300,10.41,Antonio Brown,8100,16.84,45800,113.6234,1
171,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Amari Cooper,22700,51.96,Delanie Walker,4200,10.98,Mike Wallace,4100,12.6,46200,113.6048,1
176,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Delanie Walker,4200,10.98,Amari Cooper,6700,16.12,46200,113.6048,1
203,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Delanie Walker,4200,10.98,Antonio Brown,8100,16.84,46200,113.6048,1
168,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Ladarius Green,3300,10.41,Mike Wallace,4100,12.6,46200,113.5748,1
179,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Antonio Brown,Dez Bryant,Mike Wallace,20100,48.44,Ladarius Green,3300,10.41,A.J. Green,7600,16.66,46200,113.5748,1
194,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Ladarius Green,3300,10.41,Antonio Brown,8100,16.84,46200,113.5748,1
185,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Amari Cooper,22200,51.78,Delanie Walker,4200,10.98,Mike Wallace,4100,12.6,45700,113.4248,1
193,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,A.J. Green,Mike Wallace,19600,48.26,Delanie Walker,4200,10.98,Amari Cooper,6700,16.12,45700,113.4248,1
205,Geno Smith,5100,12.2448,Eddie Lacy,Melvin Gordon,10100,25.82,Dez Bryant,Amari Cooper,Mike Wallace,18700,47.72,Delanie Walker,4200,10.98,A.J. Green,7600,16.66,45700,113.4248,1
245,Geno Smith,5100,12.2448,Melvin Gordon,C.J. Spiller,7100,22.3486,Antonio Brown,Dez Bryant,A.J. Green,23600,52.5,Austin Seferian-Jenkins,2800,10.157,Amari Cooper,6700,16.12,45300,113.3704,1
