,0,1,2,XX
0,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429]","['Philip Rivers', 6600, 22.84674286]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429, 'Philip Rivers', 6600, 22.84674286]"
1,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429]","['Russell Wilson', 6300, 21.52985714]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429, 'Russell Wilson', 6300, 21.52985714]"
2,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429]","['Andy Dalton', 6000, 19.33094286]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429, 'Andy Dalton', 6000, 19.33094286]"
3,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429]","['Alex Smith', 5000, 18.29588571]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Odell Beckham Jr.', 8500, 21.93771429, 'Alex Smith', 5000, 18.29588571]"
4,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429]","['Philip Rivers', 6600, 22.84674286]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429, 'Philip Rivers', 6600, 22.84674286]"
5,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429]","['Russell Wilson', 6300, 21.52985714]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429, 'Russell Wilson', 6300, 21.52985714]"
6,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429]","['Andy Dalton', 6000, 19.33094286]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429, 'Andy Dalton', 6000, 19.33094286]"
7,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429]","['Alex Smith', 5000, 18.29588571]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Antonio Brown', 7800, 21.67771429, 'Alex Smith', 5000, 18.29588571]"
8,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Keenan Allen', 7700, 20.30128571]","['Philip Rivers', 6600, 22.84674286]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Keenan Allen', 7700, 20.30128571, 'Philip Rivers', 6600, 22.84674286]"
9,"[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143]","['Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Keenan Allen', 7700, 20.30128571]","['Russell Wilson', 6300, 21.52985714]","[""Le'Veon Bell"", 8300, 22.62628571, 'Devonta Freeman', 8000, 22.25457143, 'Julio Jones', 9200, 24.99, 'DeAndre Hopkins', 8700, 22.01385714, 'Keenan Allen', 7700, 20.30128571, 'Russell Wilson', 6300, 21.52985714]"
