,RB1,RB2,Salary,average,max_pts,max_score
0,Le'Veon Bell,Devonta Freeman,16300,44.88085714,44.88085714,1
1,Le'Veon Bell,Matt Forte,15600,43.0566,43.0566,1
2,Le'Veon Bell,Todd Gurley,14600,40.64928571,42.95585714,0
3,Le'Veon Bell,Justin Forsett,14400,42.95585714,42.95585714,1
4,Le'Veon Bell,Chris Ivory,14300,37.82942857,42.58414286,0
5,Le'Veon Bell,Doug Martin,13800,37.44128571,40.75988572,0
6,Le'Veon Bell,Giovani Bernard,13100,37.46,38.35257143,0
7,Le'Veon Bell,Danny Woodhead,12800,36.95014285,38.35257143,0
8,Le'Veon Bell,Jonathan Stewart,12400,34.75985714,38.35257143,0
9,Le'Veon Bell,Darren McFadden,12100,37.01242857,37.01242857,1
10,Le'Veon Bell,Alfred Blue,11800,32.040599996,36.64071429,0
11,Le'Veon Bell,Antonio Andrews,11600,31.53228571,35.16328572,0
12,Le'Veon Bell,Reggie Bush,11500,31.265142853,35.16328572,0
13,Le'Veon Bell,C.J. Spiller,11300,31.485571424,35.16328572,0
14,Le'Veon Bell,Khiry Robinson,11300,30.25228571,35.16328572,0
15,Devonta Freeman,Matt Forte,15300,42.68488572,42.95585714,0
16,Devonta Freeman,Todd Gurley,14300,40.27757143,42.58414286,0
17,Devonta Freeman,Justin Forsett,14100,42.58414286,42.58414286,1
18,Devonta Freeman,Chris Ivory,14000,37.45771429,40.75988572,0
19,Devonta Freeman,Doug Martin,13500,37.06957143,40.75988572,0
20,Devonta Freeman,Giovani Bernard,12800,37.08828572,38.35257143,0
21,Devonta Freeman,Danny Woodhead,12500,36.57842857,38.35257143,0
22,Devonta Freeman,Jonathan Stewart,12100,34.38814286,37.01242857,0
23,Devonta Freeman,Darren McFadden,11800,36.64071429,36.64071429,1
24,Devonta Freeman,Alfred Blue,11500,31.668885716,35.16328572,0
25,Devonta Freeman,Antonio Andrews,11300,31.16057143,35.16328572,0
26,Devonta Freeman,Reggie Bush,11200,30.893428573,35.16328572,0
27,Devonta Freeman,C.J. Spiller,11000,31.113857144,35.16328572,0
28,Devonta Freeman,Khiry Robinson,11000,29.88057143,35.16328572,0
29,Matt Forte,Todd Gurley,13600,38.45331429,40.75988572,0
30,Matt Forte,Justin Forsett,13400,40.75988572,40.75988572,1
31,Matt Forte,Chris Ivory,13300,35.63345715,38.35257143,0
32,Matt Forte,Doug Martin,12800,35.24531429,38.35257143,0
33,Matt Forte,Giovani Bernard,12100,35.26402858,37.01242857,0
34,Matt Forte,Danny Woodhead,11800,34.75417143,36.64071429,0
35,Matt Forte,Jonathan Stewart,11400,32.56388572,35.16328572,0
36,Matt Forte,Darren McFadden,11100,34.81645715,35.16328572,0
37,Matt Forte,Alfred Blue,10800,29.844628576,34.71571429,0
38,Matt Forte,Antonio Andrews,10600,29.33631429,34.71571429,0
39,Matt Forte,Reggie Bush,10500,29.069171433,34.71571429,0
40,Matt Forte,C.J. Spiller,10300,29.289600004,34.71571429,0
41,Matt Forte,Khiry Robinson,10300,28.05631429,34.71571429,0
42,Todd Gurley,Justin Forsett,12400,38.35257143,38.35257143,1
43,Todd Gurley,Chris Ivory,12300,33.22614286,37.01242857,0
44,Todd Gurley,Doug Martin,11800,32.838,36.64071429,0
45,Todd Gurley,Giovani Bernard,11100,32.85671429,35.16328572,0
46,Todd Gurley,Danny Woodhead,10800,32.34685714,34.71571429,0
47,Todd Gurley,Jonathan Stewart,10400,30.15657143,34.71571429,0
48,Todd Gurley,Darren McFadden,10100,32.40914286,34.71571429,0
49,Todd Gurley,Alfred Blue,9800,27.437314286,29.743885716,0
50,Todd Gurley,Antonio Andrews,9600,26.929,29.743885716,0
51,Todd Gurley,Reggie Bush,9500,26.661857143,29.23557143,0
52,Todd Gurley,C.J. Spiller,9300,26.882285714,29.21985715,0
53,Todd Gurley,Khiry Robinson,9300,25.649,29.21985715,0
54,Justin Forsett,Chris Ivory,12100,35.53271429,37.01242857,0
55,Justin Forsett,Doug Martin,11600,35.14457143,35.16328572,0
56,Justin Forsett,Giovani Bernard,10900,35.16328572,35.16328572,1
57,Justin Forsett,Danny Woodhead,10600,34.65342857,34.71571429,0
58,Justin Forsett,Jonathan Stewart,10200,32.46314286,34.71571429,0
59,Justin Forsett,Darren McFadden,9900,34.71571429,34.71571429,1
60,Justin Forsett,Alfred Blue,9600,29.743885716,29.743885716,1
61,Justin Forsett,Antonio Andrews,9400,29.23557143,29.23557143,1
62,Justin Forsett,Reggie Bush,9300,28.968428573,29.21985715,0
63,Justin Forsett,C.J. Spiller,9100,29.188857144,29.21985715,0
64,Justin Forsett,Khiry Robinson,9100,27.95557143,29.21985715,0
65,Chris Ivory,Doug Martin,11500,30.01814286,35.16328572,0
66,Chris Ivory,Giovani Bernard,10800,30.03685715,34.71571429,0
67,Chris Ivory,Danny Woodhead,10500,29.527,34.71571429,0
68,Chris Ivory,Jonathan Stewart,10100,27.33671429,34.71571429,0
69,Chris Ivory,Darren McFadden,9800,29.58928572,29.743885716,0
70,Chris Ivory,Alfred Blue,9500,24.617457146,29.23557143,0
71,Chris Ivory,Antonio Andrews,9300,24.10914286,29.21985715,0
72,Chris Ivory,Reggie Bush,9200,23.842000003,29.21985715,0
73,Chris Ivory,C.J. Spiller,9000,24.062428574,29.21985715,0
74,Chris Ivory,Khiry Robinson,9000,22.82914286,29.21985715,0
75,Doug Martin,Giovani Bernard,10300,29.64871429,34.71571429,0
76,Doug Martin,Danny Woodhead,10000,29.13885714,34.71571429,0
77,Doug Martin,Jonathan Stewart,9600,26.94857143,29.743885716,0
78,Doug Martin,Darren McFadden,9300,29.20114286,29.21985715,0
79,Doug Martin,Alfred Blue,9000,24.229314286,29.21985715,0
80,Doug Martin,Antonio Andrews,8800,23.721,29.21985715,0
81,Doug Martin,Reggie Bush,8700,23.453857143,29.21985715,0
82,Doug Martin,C.J. Spiller,8500,23.674285714,28.71,0
83,Doug Martin,Khiry Robinson,8500,22.441,28.71,0
84,Giovani Bernard,Danny Woodhead,9300,29.15757143,29.21985715,0
85,Giovani Bernard,Jonathan Stewart,8900,26.96728572,29.21985715,0
86,Giovani Bernard,Darren McFadden,8600,29.21985715,29.21985715,1
87,Giovani Bernard,Alfred Blue,8300,24.248028576,28.71,0
88,Giovani Bernard,Antonio Andrews,8100,23.73971429,26.51971429,0
89,Giovani Bernard,Reggie Bush,8000,23.472571433,26.51971429,0
90,Giovani Bernard,C.J. Spiller,7800,23.693000004,23.800457146,0
91,Giovani Bernard,Khiry Robinson,7800,22.45971429,23.800457146,0
92,Danny Woodhead,Jonathan Stewart,8600,26.45742857,29.21985715,0
93,Danny Woodhead,Darren McFadden,8300,28.71,28.71,1
94,Danny Woodhead,Alfred Blue,8000,23.738171426,26.51971429,0
95,Danny Woodhead,Antonio Andrews,7800,23.22985714,23.800457146,0
96,Danny Woodhead,Reggie Bush,7700,22.962714283,23.800457146,0
97,Danny Woodhead,C.J. Spiller,7500,23.183142854,23.800457146,0
98,Danny Woodhead,Khiry Robinson,7500,21.94985714,23.800457146,0
99,Jonathan Stewart,Darren McFadden,7900,26.51971429,26.51971429,1
100,Jonathan Stewart,Alfred Blue,7600,21.547885716,23.800457146,0
101,Jonathan Stewart,Antonio Andrews,7400,21.03957143,23.800457146,0
102,Jonathan Stewart,Reggie Bush,7300,20.772428573,23.800457146,0
103,Jonathan Stewart,C.J. Spiller,7100,20.992857144,23.29214286,0
104,Jonathan Stewart,Khiry Robinson,7100,19.75957143,23.29214286,0
105,Darren McFadden,Alfred Blue,7300,23.800457146,23.800457146,1
106,Darren McFadden,Antonio Andrews,7100,23.29214286,23.29214286,1
107,Darren McFadden,Reggie Bush,7000,23.025000003,23.245428574,0
108,Darren McFadden,C.J. Spiller,6800,23.245428574,23.245428574,1
109,Darren McFadden,Khiry Robinson,6800,22.01214286,23.245428574,0
110,Alfred Blue,Antonio Andrews,6800,18.320314286,23.245428574,0
111,Alfred Blue,Reggie Bush,6700,18.053171429,18.2736,0
112,Alfred Blue,C.J. Spiller,6500,18.2736,18.2736,1
113,Alfred Blue,Khiry Robinson,6500,17.040314286,18.2736,0
114,Antonio Andrews,Reggie Bush,6500,17.544857143,18.2736,0
115,Antonio Andrews,C.J. Spiller,6300,17.765285714,17.765285714,1
116,Antonio Andrews,Khiry Robinson,6300,16.532,17.765285714,0
117,Reggie Bush,C.J. Spiller,6200,17.498142857,17.498142857,1
118,Reggie Bush,Khiry Robinson,6200,16.264857143,17.498142857,0
119,C.J. Spiller,Khiry Robinson,6000,16.485285714,16.485285714,1
