,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Darren Fells,2500,5.24,50000,142.294571424,1
3,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Garrett Graham,2500,4.719571429,50000,141.774142853,1
4,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Jake Stoneburner,2500,5.71,50000,142.764571424,1
5,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Mychal Rivera,2500,4.999,50000,142.053571424,1
6,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Dwayne Allen,2500,4.865,50000,141.919571424,1
7,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,David Johnson,2500,6.337685714,Saints ,2000,4.9,Crockett Gillmore,2500,6.115428571,50000,143.169999995,1
8,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Darren Fells,2500,5.24,50000,148.8236,1
9,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,149.921285714,1
10,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Garrett Graham,2500,4.719571429,50000,148.303171429,1
11,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Jake Stoneburner,2500,5.71,50000,149.2936,1
12,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Mychal Rivera,2500,4.999,50000,148.5826,1
13,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Dwayne Allen,2500,4.865,50000,148.4486,1
14,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Crockett Gillmore,2500,6.115428571,50000,149.699028571,1
15,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Darren Fells,2500,5.24,50000,145.693028571,1
16,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Colts ,2100,5.8,David Johnson,2500,6.337685714,50000,146.790714285,1
17,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Jake Stoneburner,2500,5.71,50000,146.163028571,1
18,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Mychal Rivera,2500,4.999,50000,145.452028571,1
19,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Crockett Gillmore,2500,6.115428571,50000,146.568457142,1
20,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,148.1726,1
21,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Saints ,2000,4.9,Jared Cook,2600,7.176714286,50000,146.729742857,1
22,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Saints ,2000,4.9,David Johnson,2500,6.337685714,49900,145.890714285,1
23,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Heath Miller,2700,9.344428571,Saints ,2000,4.9,Crockett Gillmore,2500,6.115428571,49900,145.668457142,1
25,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Jared Cook,2600,7.176714286,50000,146.904885715,1
26,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,David Johnson,2500,6.337685714,49900,146.065857143,1
27,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Jake Stoneburner,2500,5.71,49900,145.438171429,1
28,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Crockett Gillmore,2500,6.115428571,49900,145.8436,1
29,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,Heath Miller,2700,9.344428571,50000,148.1726,1
