,0,1,RB
0,"['Adrian Peterson', 7600, 24.0]","['Matt Forte', 7100, 20.5]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]"
1,"['Adrian Peterson', 7600, 24.0]","['Arian Foster', 7000, 20.0]","['Adrian Peterson', 7600, 24.0, 'Arian Foster', 7000, 20.0]"
2,"['Adrian Peterson', 7600, 24.0]","['Justin Forsett', 6400, 19.0]","['Adrian Peterson', 7600, 24.0, 'Justin Forsett', 6400, 19.0]"
3,"['Adrian Peterson', 7600, 24.0]","['DeMarco Murray', 6000, 18.0]","['Adrian Peterson', 7600, 24.0, 'DeMarco Murray', 6000, 18.0]"
4,"['Adrian Peterson', 7600, 24.0]","['Dion Lewis', 5800, 21.5]","['Adrian Peterson', 7600, 24.0, 'Dion Lewis', 5800, 21.5]"
5,"['Adrian Peterson', 7600, 24.0]","['Danny Woodhead', 4700, 17.5]","['Adrian Peterson', 7600, 24.0, 'Danny Woodhead', 4700, 17.5]"
6,"['Adrian Peterson', 7600, 24.0]","['Carlos Hyde', 4600, 15.0]","['Adrian Peterson', 7600, 24.0, 'Carlos Hyde', 4600, 15.0]"
7,"['Adrian Peterson', 7600, 24.0]","['C.J. Anderson', 4500, 13.5]","['Adrian Peterson', 7600, 24.0, 'C.J. Anderson', 4500, 13.5]"
8,"['Adrian Peterson', 7600, 24.0]","['Shane Vereen', 4200, 16.5]","['Adrian Peterson', 7600, 24.0, 'Shane Vereen', 4200, 16.5]"
9,"['Adrian Peterson', 7600, 24.0]","['Charcandrick West', 4000, 12.5]","['Adrian Peterson', 7600, 24.0, 'Charcandrick West', 4000, 12.5]"
10,"['Adrian Peterson', 7600, 24.0]","['Alfred Morris', 3600, 12.0]","['Adrian Peterson', 7600, 24.0, 'Alfred Morris', 3600, 12.0]"
11,"['Adrian Peterson', 7600, 24.0]","['Antonio Andrews', 3400, 13.0]","['Adrian Peterson', 7600, 24.0, 'Antonio Andrews', 3400, 13.0]"
12,"['Adrian Peterson', 7600, 24.0]","['James Starks', 3300, 4.5]","['Adrian Peterson', 7600, 24.0, 'James Starks', 3300, 4.5]"
13,"['Adrian Peterson', 7600, 24.0]","['Chris Thompson', 3300, 7.5]","['Adrian Peterson', 7600, 24.0, 'Chris Thompson', 3300, 7.5]"
14,"['Adrian Peterson', 7600, 24.0]","['Mike Tolbert', 3000, 4.5]","['Adrian Peterson', 7600, 24.0, 'Mike Tolbert', 3000, 4.5]"
15,"['Adrian Peterson', 7600, 24.0]","['Toby Gerhart', 3000, 4.0]","['Adrian Peterson', 7600, 24.0, 'Toby Gerhart', 3000, 4.0]"
16,"['Adrian Peterson', 7600, 24.0]","['Chris Polk', 3000, 4.0]","['Adrian Peterson', 7600, 24.0, 'Chris Polk', 3000, 4.0]"
17,"['Matt Forte', 7100, 20.5]","['Arian Foster', 7000, 20.0]","['Matt Forte', 7100, 20.5, 'Arian Foster', 7000, 20.0]"
