,0,1,2,WR
0,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['A.J. Green', 7600, 23.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0]"
1,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Brandon Marshall', 7100, 22.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0]"
2,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Larry Fitzgerald', 7000, 23.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0]"
3,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['T.Y. Hilton', 6500, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'T.Y. Hilton', 6500, 20.5]"
4,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Jarvis Landry', 6200, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Jarvis Landry', 6200, 20.5]"
5,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Allen Robinson', 5900, 20.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Allen Robinson', 5900, 20.0]"
6,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Allen Hurns', 5000, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Allen Hurns', 5000, 18.5]"
7,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Eric Decker', 4900, 19.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Eric Decker', 4900, 19.0]"
8,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Mike Wallace', 4500, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Mike Wallace', 4500, 18.5]"
9,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Anquan Boldin', 4300, 21.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Anquan Boldin', 4300, 21.0]"
10,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Kamar Aiken', 4300, 13.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Kamar Aiken', 4300, 13.0]"
11,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Rishard Matthews', 4200, 13.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Rishard Matthews', 4200, 13.0]"
12,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Doug Baldwin', 4100, 9.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Doug Baldwin', 4100, 9.0]"
13,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Marvin Jones', 3500, 10.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Marvin Jones', 3500, 10.5]"
14,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Ted Ginn Jr.', 3400, 9.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Ted Ginn Jr.', 3400, 9.5]"
15,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Malcom Floyd', 3400, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Malcom Floyd', 3400, 8.0]"
16,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Cecil Shorts III', 3200, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Cecil Shorts III', 3200, 8.0]"
17,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Josh Huff', 3100, 8.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Josh Huff', 3100, 8.5]"
18,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Andrew Hawkins', 3000, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Andrew Hawkins', 3000, 8.0]"
19,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Michael Floyd', 3000, 6.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Michael Floyd', 3000, 6.5]"
20,"['DeAndre Hopkins', 7700, 29.0]","['Julian Edelman', 7600, 23.0]","['Marlon Brown', 3000, 7.0]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Marlon Brown', 3000, 7.0]"
21,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Brandon Marshall', 7100, 22.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Brandon Marshall', 7100, 22.0]"
22,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Larry Fitzgerald', 7000, 23.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0]"
23,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['T.Y. Hilton', 6500, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'T.Y. Hilton', 6500, 20.5]"
24,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Jarvis Landry', 6200, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Jarvis Landry', 6200, 20.5]"
25,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Allen Robinson', 5900, 20.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Allen Robinson', 5900, 20.0]"
26,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Allen Hurns', 5000, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Allen Hurns', 5000, 18.5]"
27,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Eric Decker', 4900, 19.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Eric Decker', 4900, 19.0]"
28,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Mike Wallace', 4500, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Mike Wallace', 4500, 18.5]"
29,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Anquan Boldin', 4300, 21.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Anquan Boldin', 4300, 21.0]"
30,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Kamar Aiken', 4300, 13.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Kamar Aiken', 4300, 13.0]"
31,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Rishard Matthews', 4200, 13.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Rishard Matthews', 4200, 13.0]"
32,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Doug Baldwin', 4100, 9.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Doug Baldwin', 4100, 9.0]"
33,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Marvin Jones', 3500, 10.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Marvin Jones', 3500, 10.5]"
34,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Ted Ginn Jr.', 3400, 9.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Ted Ginn Jr.', 3400, 9.5]"
35,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Malcom Floyd', 3400, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Malcom Floyd', 3400, 8.0]"
36,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Cecil Shorts III', 3200, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Cecil Shorts III', 3200, 8.0]"
37,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Josh Huff', 3100, 8.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Josh Huff', 3100, 8.5]"
38,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Andrew Hawkins', 3000, 8.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Andrew Hawkins', 3000, 8.0]"
39,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Michael Floyd', 3000, 6.5]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Michael Floyd', 3000, 6.5]"
40,"['DeAndre Hopkins', 7700, 29.0]","['A.J. Green', 7600, 23.0]","['Marlon Brown', 3000, 7.0]","['DeAndre Hopkins', 7700, 29.0, 'A.J. Green', 7600, 23.0, 'Marlon Brown', 3000, 7.0]"
41,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Larry Fitzgerald', 7000, 23.0]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Larry Fitzgerald', 7000, 23.0]"
42,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['T.Y. Hilton', 6500, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'T.Y. Hilton', 6500, 20.5]"
43,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Jarvis Landry', 6200, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Jarvis Landry', 6200, 20.5]"
44,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Allen Robinson', 5900, 20.0]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Allen Robinson', 5900, 20.0]"
45,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Allen Hurns', 5000, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Allen Hurns', 5000, 18.5]"
46,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Eric Decker', 4900, 19.0]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Eric Decker', 4900, 19.0]"
47,"['DeAndre Hopkins', 7700, 29.0]","['Brandon Marshall', 7100, 22.0]","['Mike Wallace', 4500, 18.5]","['DeAndre Hopkins', 7700, 29.0, 'Brandon Marshall', 7100, 22.0, 'Mike Wallace', 4500, 18.5]"
