,WR1,WR2,WR3,Salary,average,max_pts,max_score
0,Julio Jones,DeAndre Hopkins,Odell Beckham Jr.,26400,68.94157143,68.94157143,1
1,Julio Jones,DeAndre Hopkins,Antonio Brown,25700,68.68157143,68.68157143,1
29,Julio Jones,Odell Beckham Jr.,Antonio Brown,25500,68.60542858,68.60542858,1
32,Julio Jones,Odell Beckham Jr.,A.J. Green,25300,68.08371429,68.08371429,1
33,Julio Jones,Odell Beckham Jr.,Mike Evans,24500,66.73057143,66.73057143,1
59,Julio Jones,Antonio Brown,A.J. Green,24600,67.82371429,67.82371429,1
60,Julio Jones,Antonio Brown,Mike Evans,23800,66.47057143,66.47057143,1
62,Julio Jones,Antonio Brown,Alshon Jeffery,23400,64.92028572,64.92028572,1
66,Julio Jones,Antonio Brown,Vincent Jackson,21900,62.76771429,62.76771429,1
71,Julio Jones,Antonio Brown,Mike Wallace,21200,61.00614286,61.00614286,1
135,Julio Jones,A.J. Green,Mike Evans,23600,65.94885714,65.94885714,1
137,Julio Jones,A.J. Green,Alshon Jeffery,23200,64.39857143,64.39857143,1
138,Julio Jones,A.J. Green,Jeremy Maclin,23000,63.72125714,63.72125714,1
141,Julio Jones,A.J. Green,Vincent Jackson,21700,62.246,62.246,1
142,Julio Jones,A.J. Green,Stefon Diggs,21600,61.57214286,61.57214286,1
159,Julio Jones,Mike Evans,Amari Cooper,22700,63.55371428,63.55371428,1
160,Julio Jones,Mike Evans,Alshon Jeffery,22400,63.04542857,63.04542857,1
164,Julio Jones,Mike Evans,Vincent Jackson,20900,60.89285714,60.89285714,1
165,Julio Jones,Mike Evans,Stefon Diggs,20800,60.219,60.219,1
169,Julio Jones,Mike Evans,Mike Wallace,20200,59.13128571,59.13128571,1
191,Julio Jones,Amari Cooper,Mike Wallace,20100,58.08928571,58.08928571,1
207,Julio Jones,Alshon Jeffery,Vincent Jackson,20500,59.34257143,59.34257143,1
212,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,57.581,1
264,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,57.07342857,1
282,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,56.51614286,1
286,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,55.42842857,1
302,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,54.75457143,1
1299,Antonio Brown,Mike Evans,Vincent Jackson,19500,57.58057143,57.58057143,1
1304,Antonio Brown,Mike Evans,Mike Wallace,18800,55.819,55.819,1
1399,Antonio Brown,Eric Decker,Vincent Jackson,18000,53.76114286,53.76114286,1
1417,Antonio Brown,Vincent Jackson,Stefon Diggs,17500,53.20385715,53.20385715,1
1421,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,52.11614286,1
2200,A.J. Green,Mike Evans,Vincent Jackson,19300,57.05885714,57.05885714,1
2300,A.J. Green,Eric Decker,Vincent Jackson,17800,53.23942857,53.23942857,1
2318,A.J. Green,Vincent Jackson,Stefon Diggs,17300,52.68214286,52.68214286,1
2322,A.J. Green,Vincent Jackson,Mike Wallace,16700,51.59442857,51.59442857,1
2496,Mike Evans,Alshon Jeffery,Vincent Jackson,18100,54.15542857,54.15542857,1
2516,Mike Evans,Jeremy Maclin,Vincent Jackson,17900,53.47811428,53.47811428,1
2571,Mike Evans,Vincent Jackson,Stefon Diggs,16500,51.329,51.329,1
2575,Mike Evans,Vincent Jackson,Mike Wallace,15900,50.24128571,50.24128571,1
