,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Ted Ginn Jr.,3300,9.0,Crockett Gillmore,2500,6.5,Brandon Myers,2500,4.0,47400,146.0,1
2,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Ted Ginn Jr.,3300,9.0,Crockett Gillmore,2500,6.5,David Johnson,2500,5.5,47400,147.5,1
4,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Robert Woods,3300,11.0,Crockett Gillmore,2500,6.5,David Johnson,2500,5.5,47400,149.5,1
6,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Michael Floyd,3200,16.5,Heath Miller,2700,8.0,Brandon Myers,2500,4.0,47500,155.0,1
7,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Michael Floyd,3200,16.5,Heath Miller,2700,8.0,David Johnson,2500,5.5,47500,156.5,1
8,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Michael Floyd,3200,16.5,Heath Miller,2700,8.0,Crockett Gillmore,2500,6.5,47500,157.5,1
9,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Michael Floyd,3200,16.5,Crockett Gillmore,2500,6.5,Heath Miller,2700,8.0,47500,157.5,1
10,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Nate Washington,3000,8.5,Ladarius Green,2900,17.0,David Johnson,2500,5.5,47500,157.5,1
11,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Nate Washington,3000,8.5,Ladarius Green,2900,17.0,Crockett Gillmore,2500,6.5,47500,158.5,1
12,Carson Palmer,6700,27.0,Devonta Freeman,7900,26.5,Adrian Peterson,7600,24.5,Julio Jones,9100,26.0,Brandon Marshall,7800,22.5,Nate Washington,3000,8.5,Crockett Gillmore,2500,6.5,Ladarius Green,2900,17.0,47500,158.5,1
