,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
3,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Rob Gronkowski,8100,30.8,Lamar Miller,4600,41.6,46400,268.18,1
4,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Rob Gronkowski,8100,30.8,Jordan Reed,4200,30.2,46000,256.78,1
5,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Rob Gronkowski,8100,30.8,Nate Washington,3000,36.7,44800,263.28,1
10,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Jordan Reed,4200,30.2,Lamar Miller,4600,41.6,42500,267.58,1
12,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Jordan Reed,4200,30.2,Nate Washington,3000,36.7,40900,262.68,1
13,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Eric Ebron,3000,19.9,Lamar Miller,4600,41.6,41300,257.28,1
14,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Jarvis Landry,6200,25.8,Ladarius Green,2900,18.5,Lamar Miller,4600,41.6,41200,255.88,1
19,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Rob Gronkowski,8100,30.8,Lamar Miller,4600,41.6,44400,269.08,1
20,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Rob Gronkowski,8100,30.8,Jordan Reed,4200,30.2,44000,257.68,1
21,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Rob Gronkowski,8100,30.8,Nate Washington,3000,36.7,42800,264.18,1
26,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Jordan Reed,4200,30.2,Lamar Miller,4600,41.6,40500,268.48,1
28,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Jordan Reed,4200,30.2,Nate Washington,3000,36.7,38900,263.58,1
29,Kirk Cousins,5000,34.18,Todd Gurley,5000,35.3,Danny Woodhead,4600,33.1,T.Y. Hilton,6500,34.0,Mike Evans,6400,33.4,Stefon Diggs,4200,26.7,Eric Ebron,3000,19.9,Lamar Miller,4600,41.6,39300,258.18,1
