player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Lamar Miller, MiaRB",Hou,W 44-26,0/0,0,0,0,14,175,1,3,61,1,3,0,0,0,35
"Tom Brady, NEQB",NYJ,W 30-23,34/54,355,2,0,4,15,1,0,0,0,0,0,0,0,29
"Kirk Cousins, WshQB",TB,W 31-30,33/40,317,3,0,3,15,1,0,0,0,0,0,1,0,29
"Ryan Tannehill, MiaQB",Hou,W 44-26,18/19,282,4,0,1,3,0,0,0,0,0,0,0,0,27
"T.Y. Hilton, IndWR",NO,L 21-27,0/0,0,0,0,0,0,0,4,150,2,15,0,0,0,27
"Todd Gurley, StLRB",Cle,W 24-6,0/0,0,0,0,19,128,2,4,35,0,5,0,0,0,27
"Philip Rivers, SDQB",Oak,L 29-37,38/58,336,3,2,0,0,0,0,0,0,0,2,0,0,25
"Nate Washington, HouWR",@Mia,L 26-44,0/0,0,0,0,0,0,0,9,127,2,16,0,0,0,24
"Arian Foster*, HouRBIR",@Mia,L 26-44,0/0,0,0,0,18,59,1,5,66,1,7,0,0,0,23
"Andrew Luck, IndQB",NO,L 21-27,23/44,333,3,2,3,27,0,0,0,0,0,0,0,0,23
"Derek Carr, OakQB",@SD,W 37-29,24/31,289,3,0,2,3,0,0,0,0,0,0,0,0,23
"Darren McFadden, DalRB",@NYG,L 20-27,0/0,0,0,0,29,152,1,2,10,0,2,0,0,0,22
"Mike Evans, TBWR",@Wsh,L 30-31,0/0,0,0,0,0,0,0,8,164,1,12,0,0,0,22
Jaguars D/STD/ST,Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,2,22
"Danny Woodhead, SDRB",Oak,L 29-37,0/0,0,0,0,5,26,0,11,75,2,12,0,0,0,21
Rams D/STD/ST,Cle,W 24-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
"Brian Hoyer, HouQB",@Mia,L 26-44,23/49,273,3,1,0,0,0,0,0,0,0,0,0,0,20
"Mark Ingram, NORB",@Ind,W 27-21,0/0,0,0,0,14,143,1,2,5,0,2,0,0,0,20
"Blair Walsh, MinK",@Det,W 28-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Jarvis Landry, MiaWR",Hou,W 44-26,0/0,0,0,0,1,5,0,5,83,2,5,0,0,0,20
"Carson Palmer, AriQB",Bal,W 26-18,20/29,275,2,0,2,2,0,0,0,0,0,0,0,0,19
"Ryan Fitzpatrick, NYJQB",@NE,L 23-30,22/39,295,2,0,5,29,0,0,0,0,0,0,1,0,19
"Jordan Reed, WshTE",TB,W 31-30,0/0,0,0,0,0,0,0,11,72,2,13,0,0,0,19
"Jameis Winston, TBQB",@Wsh,L 30-31,21/29,297,2,0,1,5,0,0,0,0,0,0,0,0,19
