,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
0,Julio Jones,WR,9200,TB@Atl 01:00PM ET,25.143,Atl,28.0,31.1,27.5,27.1,21.78,19.21,20.24,24.99,,,,,36.2
1,DeAndre Hopkins,WR,8700,Ten@Hou 01:00PM ET,25.657,Hou,29.0,23.8,20.2,20.9,19.76,14.95,25.487,22.01385714,,,,,23.4
2,Odell Beckham Jr.,WR,8500,NYG@NO 01:00PM ET,17.814,NYG,22.5,32.2,17.53,27.9,18.27,16.35,18.814,21.93771429,,,,,42.0
3,Tom Brady,QB,8300,Mia@NE 08:25PM ET,28.343,NE,27.8,19.98,21.56,19.98,22.018,17.762,25.7662,22.12374286,,,,,33.34
4,Le'Veon Bell,RB,8300,Cin@Pit 01:00PM ET,22.48,Pit,22.5,24.3,21.59,24.7,22.71,23.88,18.704,22.62628571,,,,,7.8
5,Julian Edelman,WR,8100,Mia@NE 08:25PM ET,20.767,NE,23.0,19.2,17.39,18.7,18.15,16.04,20.084,18.93771429,,,,,27.1
6,Rob Gronkowski,TE,8000,Mia@NE 08:25PM ET,22.05,NE,21.0,22.6,17.72,20.3,16.18,14.0,18.364,18.59485714,,,,,26.3
7,Dez Bryant,WR,8000,Sea@Dal 04:25PM ET,9.8,Dal,,18.8,11.33,17.4,14.52,16.26,3.521,13.6385,,,,,3.2
8,Devonta Freeman,RB,8000,TB@Atl 01:00PM ET,28.443,Atl,24.0,22.5,18.25,22.7,24.29,21.19,22.852,22.25457143,,,,,19.1
9,Calvin Johnson,WR,7900,Det@KC 09:30AM ET,17.2,Det,22.0,14.4,15.56,12.2,16.62,16.11,16.486,16.19657143,,,,,13.5
10,Antonio Brown,WR,7800,Cin@Pit 01:00PM ET,19.957,Pit,23.5,25.6,20.26,23.9,23.89,14.27,20.324,21.67771429,,,,,16.7
11,Larry Fitzgerald,WR,7700,Ari@Cle 01:00PM ET,21.314,Ari,20.5,18.8,14.8,18.4,15.9,16.41,18.928,17.67685714,,,,,22.4
12,Demaryius Thomas,WR,7700,GB@Den 08:30PM ET,18.617,Den,20.5,25.4,16.69,22.7,19.76,13.26,16.6694,19.28277143,,,,,27.8
13,Keenan Allen,WR,7700,SD@Bal 01:00PM ET,22.429,SD,27.0,22.2,18.05,20.1,19.61,17.17,17.979,20.30128571,,,,,14.5
14,Brandon Marshall,WR,7600,NYJ@Oak 04:05PM ET,22.133,NYJ,22.0,20.2,19.82,19.1,17.72,16.38,17.912,19.01885714,,,,,22.8
15,A.J. Green,WR,7600,Cin@Pit 01:00PM ET,18.183,Cin,23.0,31.8,16.8,27.5,17.55,15.61,15.832,21.156,,,,,31.8
16,Aaron Rodgers,QB,7500,GB@Den 08:30PM ET,22.94,GB,21.1,28.78,16.06,28.78,19.482,17.778,19.6438,21.66054286,,,,,6.18
17,Arian Foster,RB,7500,Ten@Hou 01:00PM ET,19.5,Hou,,,,,,,,,,,,,
18,Emmanuel Sanders,WR,7500,GB@Den 08:30PM ET,19.117,Den,18.0,22.6,15.67,20.4,18.79,12.22,14.804,17.49771429,,,,,4.2
