,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,T.Y. Hilton,6500,19.6408,Andrew Hawkins,3000,7.404,David Johnson,2500,7.583,Scott Chandler,2500,4.432,47500,128.7978,1
2,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,T.Y. Hilton,6500,19.6408,Andrew Hawkins,3000,7.404,David Johnson,2500,7.583,Anthony Fasano,2500,4.868,47500,129.2338,1
3,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,T.Y. Hilton,6500,19.6408,Andrew Hawkins,3000,7.404,David Johnson,2500,7.583,Brandon Myers,2500,5.528,47500,129.8938,1
6,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Travis Benjamin,5400,13.603,Ted Ginn Jr.,3300,10.595,David Johnson,2500,7.583,Robert Woods,3300,12.121,47500,133.64,1
7,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Travis Benjamin,5400,13.603,Robert Woods,3300,12.121,Heath Miller,2700,8.763,Darren McFadden,3100,9.6364,47500,133.8614,1
10,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Michael Crabtree,4300,11.864,Robert Woods,3300,12.121,Charles Clay,4300,14.628,David Johnson,2500,7.583,47400,135.934,1
11,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Michael Crabtree,4300,11.864,Robert Woods,3300,12.121,David Johnson,2500,7.583,Chris Johnson,4300,14.711,47400,136.017,1
12,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Terrance Williams,4200,11.868,Robert Woods,3300,12.121,Charles Clay,4300,14.628,Heath Miller,2700,8.763,47500,137.118,1
13,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Terrance Williams,4200,11.868,Robert Woods,3300,12.121,Heath Miller,2700,8.763,Chris Johnson,4300,14.711,47500,137.201,1
14,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Jamison Crowder,3700,11.369,Robert Woods,3300,12.121,Charles Clay,4300,14.628,Matt Jones,3200,9.449,47500,137.305,1
15,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,Julio Jones,9100,23.9,Jamison Crowder,3700,11.369,Robert Woods,3300,12.121,Charles Clay,4300,14.628,Darren McFadden,3100,9.6364,47400,137.4924,1
18,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,DeAndre Hopkins,8600,24.808,Jamison Crowder,3700,11.369,Ted Ginn Jr.,3300,10.595,Charles Clay,4300,14.628,Robert Woods,3300,12.121,47100,139.359,1
21,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,Devonta Freeman,7900,21.285,DeAndre Hopkins,8600,24.808,Robert Woods,3300,12.121,Charles Johnson,3000,8.865,Charles Clay,4300,14.628,Chris Johnson,4300,14.711,47400,140.971,1
22,Andrew Luck,7600,25.634,Le'Veon Bell,8400,18.919,LeSean McCoy,5500,15.2388,DeAndre Hopkins,8600,24.808,T.Y. Hilton,6500,19.6408,Ted Ginn Jr.,3300,10.595,Charles Clay,4300,14.628,Robert Woods,3300,12.121,47500,141.5846,1
