,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,28.94,Aaron Rodgers
1,1,Drew Brees,28.18,Drew Brees
2,2,Cam Newton,25.94,Cam Newton
3,3,Tom Brady,23.54,Tom Brady
4,4,Ryan Tannehill,19.76,Ryan Tannehill
5,5,Russell Wilson,20.46,Russell Wilson
6,6,Peyton Manning,17.9,Peyton Manning
7,7,Landry Jones,17.9,Landry Jones
8,8,Marcus Mariota,19.92,Marcus Mariota
9,9,Joe Flacco,19.26,Joe Flacco
10,10,Blake Bortles,19.38,Blake Bortles
11,11,Josh McCown,18.94,Josh McCown
12,12,Matt Cassel,15.6,Matt Cassel
13,13,Nick Foles,18.64,Nick Foles
14,14,Andy Dalton,18.68,Andy Dalton
15,15,Derek Carr,18.54,Derek Carr
16,16,Eli Manning,18.34,Eli Manning
17,17,Carson Palmer,18.06,Carson Palmer
18,18,Teddy Bridgewater,18.3,Teddy Bridgewater
19,19,Jay Cutler,18.12,Jay Cutler
20,21,Alex Smith,17.94,Alex Smith
21,22,Jameis Winston,16.28,Jameis Winston
22,23,Matthew Stafford,15.08,Matthew Stafford
23,24,Geno Smith,14.66,Geno Smith
24,25,Brian Hoyer,13.34,Brian Hoyer
25,26,Tyrod Taylor,13.2,Tyrod Taylor
26,27,Kirk Cousins,11.42,Kirk Cousins
27,28,Sam Bradford,9.44,Sam Bradford
28,29,Ryan Fitzpatrick,7.3,Ryan Fitzpatrick
29,31,Antonio Brown,29.6,Antonio Brown
30,32,Adrian Peterson,24.0,Adrian Peterson
31,33,Dez Bryant,27.0,Dez Bryant
32,34,Jeremy Langford,20.4,Jeremy Langford
33,35,Amari Cooper,23.8,Amari Cooper
34,36,Odell Beckham,21.8,Odell Beckham Jr.
35,37,Randall Cobb,22.7,Randall Cobb
36,38,A.J. Green,21.3,A.J. Green
37,39,Mike Evans,22.3,Mike Evans
38,40,Todd Gurley,17.1,Todd Gurley
39,41,Justin Forsett,17.7,Justin Forsett
40,42,Alshon Jeffery,20.7,Alshon Jeffery
41,43,DeAndre Hopkins,21.7,DeAndre Hopkins
42,44,Rob Gronkowski,20.7,Rob Gronkowski
43,45,Jimmy Graham,21.3,Jimmy Graham
44,46,Eddie Lacy,16.2,Eddie Lacy
45,47,Jonathan Stewart,16.1,Jonathan Stewart
46,48,T.J. Yeldon,16.0,T.J. Yeldon
47,49,DeMarco Murray,15.8,DeMarco Murray
48,50,Marshawn Lynch,15.7,Marshawn Lynch
49,52,Chris Ivory,15.7,Chris Ivory
50,53,Tyler Eifert,19.7,Tyler Eifert
51,54,Ronnie Hillman,15.5,Ronnie Hillman
52,55,Demaryius Thomas,18.2,Demaryius Thomas
53,56,Stefon Diggs,19.2,Stefon Diggs
54,57,Giovani Bernard,17.0,Giovani Bernard
55,58,Julian Edelman,19.0,Julian Edelman
56,59,Doug Baldwin,19.0,Doug Baldwin
57,60,C.J. Spiller,14.9,C.J. Spiller
58,61,Brandin Cooks,18.9,Brandin Cooks
59,62,Brandon Marshall,18.8,Brandon Marshall
60,63,Martellus Bennett,18.8,Martellus Bennett
61,64,Mike Wallace,17.8,Mike Wallace
62,65,Gary Barnidge,19.7,Gary Barnidge
63,66,Lamar Miller,14.6,Lamar Miller
64,67,Darren McFadden,13.5,Darren McFadden
65,68,Martavis Bryant,17.5,Martavis Bryant
66,69,Greg Olsen,17.5,Greg Olsen
67,70,Doug Martin,13.4,Doug Martin
68,71,Latavius Murray,13.4,Latavius Murray
69,73,James Jones,17.4,James Jones
70,74,Allen Hurns,17.4,Allen Hurns
71,75,Delanie Walker,17.4,Delanie Walker
72,76,Jeremy Maclin,17.2,Jeremy Maclin
73,77,Larry Fitzgerald,17.1,Larry Fitzgerald
74,78,DeSean Jackson,16.0,DeSean Jackson
75,79,Marvin Jones,17.0,Marvin Jones
76,80,Allen Robinson,17.0,Allen Robinson
77,81,Mark Ingram,13.9,Mark Ingram
78,82,Marques Colston,16.9,Marques Colston
79,83,Jarvis Landry,16.9,Jarvis Landry
80,84,Jason Witten,16.9,Jason Witten
81,85,Travis Benjamin,15.8,Travis Benjamin
82,86,Brandon LaFell,16.7,Brandon LaFell
83,87,Austin Seferian-Jenkins,16.5,Austin Seferian-Jenkins
84,88,Jordan Reed,16.4,Jordan Reed
85,89,LeGarrette Blount,12.2,LeGarrette Blount
86,90,Antonio Andrews,13.2,Antonio Andrews
87,91,Sammy Watkins,15.2,Sammy Watkins
88,92,Travis Kelce,16.2,Travis Kelce
89,94,Alfred Morris,12.1,Alfred Morris
90,95,Michael Crabtree,15.1,Michael Crabtree
91,96,David Cobb,12.0,NaN
92,97,Pierre Garcon,15.0,Pierre Garcon
93,98,Richard Rodgers,16.0,Richard Rodgers
94,99,Julius Thomas,15.9,Julius Thomas
95,100,Rishard Matthews,14.8,Rishard Matthews
96,101,Taylor Gabriel,13.6,Taylor Gabriel
97,102,Davante Adams,14.4,Davante Adams
98,103,Eric Ebron,14.4,Eric Ebron
99,104,John Brown,13.0,John Brown
100,105,Charles Clay,15.0,Charles Clay
101,106,Owen Daniels,13.6,Owen Daniels
102,107,Matt Jones,13.6,Matt Jones
103,108,Brandon Coleman,12.5,Brandon Coleman
104,109,DeAngelo Williams,11.3,DeAngelo Williams
105,110,Brian Quick,12.3,Brian Quick
106,111,Karlos Williams,10.1,Karlos Williams
107,112,Jeremy Hill,12.8,Jeremy Hill
108,113,James White,12.8,James White
109,115,Darren Sproles,12.1,Darren Sproles
110,116,James Starks,10.1,James Starks
111,117,Calvin Johnson,12.1,Calvin Johnson
112,118,Ryan Mathews,8.5,Ryan Mathews
113,119,Duke Johnson,9.3,Duke Johnson Jr.
114,120,Willie Snead,10.3,Willie Snead
115,121,Dexter McCluster,10.1,Dexter McCluster
116,122,Jordan Matthews,11.0,Jordan Matthews
117,123,Kyle Rudolph,11.9,Kyle Rudolph
118,124,Golden Tate,10.9,Golden Tate
119,125,Emmanuel Sanders,9.8,Emmanuel Sanders
120,126,Charcandrick West,7.7,Charcandrick West
121,127,Jamison Crowder,10.6,Jamison Crowder
122,128,Andre Ellington,7.4,Andre Ellington
123,129,Charles Sims,7.4,Charles Sims
124,130,Jordan Cameron,10.4,Jordan Cameron
125,131,Tavon Austin,8.3,Tavon Austin
126,132,Benjamin Watson,12.3,Benjamin Watson
127,133,Heath Miller,11.3,Heath Miller
128,134,Chris Johnson,7.2,Chris Johnson
129,136,Zach Ertz,10.2,Zach Ertz
