,Unnamed: 0,player,fox,dk_name
0,0,Aaron Rodgers,28.522,Aaron Rodgers
1,1,Carson Palmer,22.798,Carson Palmer
2,2,Jay Cutler,22.896,Jay Cutler
3,3,Cam Newton,19.9,Cam Newton
4,4,Blake Bortles,19.542,Blake Bortles
5,5,Jameis Winston,19.504,Jameis Winston
6,6,Tom Brady,22.914,Tom Brady
7,7,Peyton Manning,18.872,Peyton Manning
8,8,Russell Wilson,18.58,Russell Wilson
9,9,DeAngelo Williams,23.78,DeAngelo Williams
10,10,Matt Cassel,19.31,Matt Cassel
11,11,Ryan Tannehill,17.938,Ryan Tannehill
12,12,Drew Brees,17.592,Drew Brees
13,13,Joe Flacco,17.356,Joe Flacco
14,14,Nick Foles,17.132,Nick Foles
15,15,Kirk Cousins,17.45,Kirk Cousins
16,16,Todd Gurley,18.06,Todd Gurley
17,17,Josh McCown,16.784,Josh McCown
18,18,Mark Ingram,20.76,Mark Ingram
19,19,Derek Carr,17.024,Derek Carr
20,20,Sam Bradford,16.524,Sam Bradford
21,21,Jonathan Stewart,17.58,Jonathan Stewart
22,22,Chris Ivory,16.44,Chris Ivory
23,23,Teddy Bridgewater,16.532,Teddy Bridgewater
24,24,Andy Dalton,15.296,Andy Dalton
25,25,Tyrod Taylor,15.466,Tyrod Taylor
26,26,Darren McFadden,19.4,Darren McFadden
27,27,Alex Smith,15.686,Alex Smith
28,28,Eli Manning,15.24,Eli Manning
29,29,Marshawn Lynch,16.2,Marshawn Lynch
30,30,Adrian Peterson,16.27,Adrian Peterson
31,31,Justin Forsett,17.1,Justin Forsett
32,32,Landry Jones,14.91,Landry Jones
33,33,Matthew Stafford,14.754,Matthew Stafford
34,34,Eddie Lacy,16.5,Eddie Lacy
35,35,Ryan Fitzpatrick,14.83,Ryan Fitzpatrick
36,36,Mike Evans,23.08,Mike Evans
37,37,Lamar Miller,16.47,Lamar Miller
38,38,Dez Bryant,17.92,Dez Bryant
39,39,Giovani Bernard,14.36,Giovani Bernard
40,40,Doug Martin,14.44,Doug Martin
41,41,Randall Cobb,17.68,Randall Cobb
42,42,Larry Fitzgerald,17.17,Larry Fitzgerald
43,43,Jeremy Langford,14.09,Jeremy Langford
44,44,Chris Johnson,13.42,Chris Johnson
45,45,James Jones,15.81,James Jones
46,46,DeMarco Murray,14.44,DeMarco Murray
47,47,Alshon Jeffery,16.91,Alshon Jeffery
48,48,T.J. Yeldon,13.28,T.J. Yeldon
49,49,Antonio Brown,16.64,Antonio Brown
50,50,LeGarrette Blount,11.13,LeGarrette Blount
51,51,Demaryius Thomas,16.81,Demaryius Thomas
