,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
2,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Larry Fitzgerald,7400,17.92,Nate Washington,3000,12.24,Heath Miller,2700,11.2,Brandon Myers,2500,7.63,47500,137.652,1
3,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Larry Fitzgerald,7400,17.92,Nate Washington,3000,12.24,Brandon Myers,2500,7.63,Heath Miller,2700,11.2,47500,137.652,1
4,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Brandin Cooks,5500,15.55,Anquan Boldin,4500,14.35,Jacob Tamme,2900,11.48,Heath Miller,2700,11.2,47500,141.242,1
5,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Brandin Cooks,5500,15.55,Anquan Boldin,4500,14.35,Heath Miller,2700,11.2,Jacob Tamme,2900,11.48,47500,141.242,1
7,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Brandin Cooks,5500,15.55,Michael Crabtree,4300,14.28,Heath Miller,2700,11.2,Nate Washington,3000,12.24,47400,141.932,1
8,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Brandin Cooks,5500,15.55,Terrance Williams,4200,16.23,Jacob Tamme,2900,11.48,Nate Washington,3000,12.24,47500,144.162,1
9,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Brandin Cooks,5500,15.55,Terrance Williams,4200,16.23,Heath Miller,2700,11.2,Cole Beasley,3200,15.46,47500,147.102,1
10,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Kendall Wright,5200,15.38,Terrance Williams,4200,16.23,Jacob Tamme,2900,11.48,Cole Beasley,3200,15.46,47400,147.212,1
12,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Michael Crabtree,4300,14.28,Robert Woods,3300,14.25,Jason Witten,4800,16.24,Cole Beasley,3200,15.46,47500,148.892,1
13,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Michael Crabtree,4300,14.28,Cole Beasley,3200,15.46,Jason Witten,4800,16.24,Robert Woods,3300,14.25,47500,148.892,1
15,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Terrance Williams,4200,16.23,Robert Woods,3300,14.25,Jason Witten,4800,16.24,Cole Beasley,3200,15.46,47400,150.842,1
16,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Julio Jones,9100,17.19,Terrance Williams,4200,16.23,Cole Beasley,3200,15.46,Jason Witten,4800,16.24,Robert Woods,3300,14.25,47400,150.842,1
19,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Larry Fitzgerald,7400,17.92,Michael Crabtree,4300,14.28,Cole Beasley,3200,15.46,Jason Witten,4800,16.24,Todd Gurley,5000,17.33,47500,152.702,1
20,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Larry Fitzgerald,7400,17.92,Terrance Williams,4200,16.23,Robert Woods,3300,14.25,Jason Witten,4800,16.24,Todd Gurley,5000,17.33,47500,153.442,1
21,Philip Rivers,6500,23.772,Le'Veon Bell,8400,26.16,Devonta Freeman,7900,21.54,Larry Fitzgerald,7400,17.92,Terrance Williams,4200,16.23,Cole Beasley,3200,15.46,Jason Witten,4800,16.24,Todd Gurley,5000,17.33,47400,154.652,1
