,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Aaron Rodgers QB - GB View Videos,DET,311.0,3.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,25.94,0.0,0,0
1,1,Cam Newton QB - CAR View Videos,@TEN,211.0,2.0,1.0,35.0,1.0,0.0,0.0,0,0.0,0.0,23.94,0.0,0,0
2,2,Drew Brees QB - NO,@WAS,322.0,3.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,23.18,0.0,0,0
3,3,Tom Brady QB - NE View Videos,@NYG,306.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,20.54,0.0,0,0
4,4,Adrian Peterson RB - MIN,@OAK,0.0,0.0,0.0,112.0,1.0,18.0,0.0,0,0.0,0.0,19.0,1.8,0,0
5,5,Russell Wilson QB - SEA View Videos,ARI,214.0,2.0,1.0,39.0,0.0,0.0,0.0,0,0.0,0.0,18.46,0.0,0,0
6,6,Marcus Mariota QB - TEN View Videos,CAR,228.0,2.0,1.0,28.0,0.0,0.0,0.0,0,0.0,0.0,17.92,0.0,0,0
7,7,Ryan Tannehill QB - MIA,@PHI,249.0,2.0,1.0,18.0,0.0,0.0,0.0,0,0.0,0.0,17.76,0.0,0,0
8,8,Antonio Brown WR - PIT View Videos,CLE,0.0,0.0,0.0,2.0,0.0,114.0,1.0,0,0.0,0.0,17.6,11.4,0,0
9,9,Blake Bortles QB - JAC,@BAL,227.0,2.0,1.0,23.0,0.0,0.0,0.0,0,0.0,0.0,17.38,0.0,0,0
10,10,Joe Flacco QB - BAL,JAC,269.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,17.26,0.0,0,0
11,11,Dez Bryant WR - DAL P View Videos,@TB,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0,0.0,0.0,17.0,11.0,0,0
12,12,Josh McCown QB - CLE Q View Videos,@PIT,241.0,2.0,1.0,13.0,0.0,0.0,0.0,0,0.0,0.0,16.94,0.0,0,0
13,13,Andy Dalton QB - CIN,HOU,242.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0.0,0.0,16.68,0.0,0,0
14,14,Nick Foles QB - STL View Videos,CHI,261.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,16.64,0.0,0,0
15,15,Derek Carr QB - OAK View Videos,MIN,251.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,16.54,0.0,0,0
16,16,Jeremy Langford RB - CHI View Videos,@STL,0.0,0.0,0.0,66.0,1.0,38.0,0.0,0,0.0,0.0,16.4,3.8,0,0
17,17,Eli Manning QB - NYG View Videos,NE,256.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,16.34,0.0,0,0
18,18,Teddy Bridgewater QB - MIN Q View News View Videos,@OAK,215.0,2.0,1.0,17.0,0.0,0.0,0.0,0,0.0,0.0,16.3,0.0,0,0
19,19,Jay Cutler QB - CHI View Videos,@STL,233.0,2.0,1.0,8.0,0.0,0.0,0.0,0,0.0,0.0,16.12,0.0,0,0
20,20,Todd Gurley RB - STL P View Videos,CHI,0.0,0.0,0.0,85.0,1.0,16.0,0.0,0,0.0,0.0,16.1,1.6,0,0
21,21,Carson Palmer QB - ARI,@SEA,244.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,16.06,0.0,0,0
22,22,Alex Smith QB - KC,@DEN,216.0,2.0,1.0,13.0,0.0,0.0,0.0,0,0.0,0.0,15.94,0.0,0,0
23,23,Landry Jones QB - PIT,CLE,245.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,15.9,0.0,0,0
24,24,Peyton Manning QB - DEN P View Videos,KC,250.0,2.0,1.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,15.9,0.0,0,0
25,25,Odell Beckham WR - NYG View Videos,NE,0.0,0.0,0.0,4.0,0.0,94.0,1.0,0,0.0,0.0,15.8,9.4,0,0
26,26,Amari Cooper WR - OAK P View Videos,MIN,0.0,0.0,0.0,0.0,0.0,98.0,1.0,0,0.0,0.0,15.8,9.8,0,0
27,27,Randall Cobb WR - GB,DET,0.0,0.0,0.0,6.0,0.0,91.0,1.0,0,0.0,0.0,15.7,9.1,0,0
28,28,Justin Forsett RB - BAL,JAC,0.0,0.0,0.0,77.0,1.0,20.0,0.0,0,0.0,0.0,15.7,2.0,0,0
29,29,Matt Cassel QB - DAL P View Videos,@TB,170.0,2.0,1.0,8.0,0.0,0.0,0.0,0,1.0,0.0,15.6,0.0,0,0
30,30,Mike Evans WR - TB,DAL,0.0,0.0,0.0,0.0,0.0,93.0,1.0,0,0.0,0.0,15.3,9.3,0,0
31,31,A.J. Green WR - CIN View Videos,HOU,0.0,0.0,0.0,1.0,0.0,92.0,1.0,0,0.0,0.0,15.3,9.2,0,0
32,32,Rob Gronkowski TE - NE View Videos,@NYG,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0,0.0,0.0,14.7,8.7,0,0
33,33,DeAndre Hopkins WR - HOU,@CIN,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0,0.0,0.0,14.7,8.7,0,0
34,34,Chris Ivory RB - NYJ,BUF,0.0,0.0,0.0,75.0,1.0,12.0,0.0,0,0.0,0.0,14.7,1.2,0,0
35,35,Alshon Jeffery WR - CHI Q,@STL,0.0,0.0,0.0,2.0,0.0,85.0,1.0,0,0.0,0.0,14.7,8.5,0,0
36,36,Jimmy Graham TE - SEA View Videos,ARI,0.0,0.0,0.0,0.0,0.0,83.0,1.0,0,0.0,0.0,14.3,8.3,0,0
37,37,Eddie Lacy RB - GB Q View Videos,DET,0.0,0.0,0.0,62.0,1.0,20.0,0.0,0,0.0,0.0,14.2,2.0,0,0
38,38,Jonathan Stewart RB - CAR P,@TEN,0.0,0.0,0.0,67.0,1.0,14.0,0.0,0,0.0,0.0,14.1,1.4,0,0
39,39,Giovani Bernard RB - CIN,HOU,0.0,0.0,0.0,51.0,1.0,29.0,0.0,0,0.0,0.0,14.0,2.9,0,0
40,40,T.J. Yeldon RB - JAC,@BAL,0.0,0.0,0.0,65.0,1.0,15.0,0.0,0,0.0,0.0,14.0,1.5,0,0
41,41,DeMarco Murray RB - PHI P,MIA,0.0,0.0,0.0,64.0,1.0,14.0,0.0,0,0.0,0.0,13.8,1.4,0,0
