,Unnamed: 0,player,nfl,dk_name
0,0,Aaron Rodgers,29.1,Aaron Rodgers
1,1,Tom Brady,27.78,Tom Brady
2,2,Drew Brees,26.86,Drew Brees
3,3,Matt Ryan,22.86,Matt Ryan
4,4,Devonta Freeman,22.2,Devonta Freeman
5,5,Andrew Luck,19.44,Andrew Luck
6,6,Marcus Mariota,19.34,Marcus Mariota
7,7,Philip Rivers,19.12,Philip Rivers
8,8,Eddie Lacy,20.7,Eddie Lacy
9,9,Antonio Brown,32.6,Antonio Brown
10,10,Odell Beckham,32.1,Odell Beckham Jr.
11,11,Ben Roethlisberger,18.68,Ben Roethlisberger
12,12,Cam Newton,18.38,Cam Newton
13,13,Nick Foles,18.34,Nick Foles
14,14,Blake Bortles,18.2,Blake Bortles
15,15,Ryan Tannehill,18.12,Ryan Tannehill
16,16,Dez Bryant,31.2,Dez Bryant
17,17,A.J. Green,31.0,A.J. Green
18,18,Derek Carr,17.86,Derek Carr
19,19,Julio Jones,30.5,Julio Jones
20,20,Adrian Peterson,22.5,Adrian Peterson
21,21,Blaine Gabbert,18.48,Blaine Gabbert
22,22,Eli Manning,17.34,Eli Manning
23,23,Andy Dalton,17.32,Andy Dalton
24,24,Teddy Bridgewater,17.3,Teddy Bridgewater
25,25,Peyton Manning,17.26,Peyton Manning
26,26,Demaryius Thomas,29.4,Demaryius Thomas
27,27,Amari Cooper,29.2,Amari Cooper
28,28,Todd Gurley,17.6,Todd Gurley
29,29,Jay Cutler,16.98,Jay Cutler
30,30,Randall Cobb,24.9,Randall Cobb
31,31,Matt Cassel,16.72,Matt Cassel
32,32,Mike Evans,25.0,Mike Evans
33,33,Danny Woodhead,20.1,Danny Woodhead
34,34,Rob Gronkowski,23.8,Rob Gronkowski
35,35,Chris Ivory,16.1,Chris Ivory
36,36,Emmanuel Sanders,23.5,Emmanuel Sanders
37,37,Giovani Bernard,17.0,Giovani Bernard
38,38,T.J. Yeldon,15.4,T.J. Yeldon
39,39,Eric Decker,21.6,Eric Decker
40,40,Jeremy Langford,16.6,Jeremy Langford
41,41,Dion Lewis,16.4,Dion Lewis
42,42,Alshon Jeffery,21.0,Alshon Jeffery
43,43,DeMarco Murray,15.0,DeMarco Murray
44,44,Ronnie Hillman,15.9,Ronnie Hillman
45,45,Tyler Eifert,20.8,Tyler Eifert
46,46,Darren McFadden,14.1,Darren McFadden
47,47,Stefon Diggs,20.6,Stefon Diggs
48,48,LeSean McCoy,14.5,LeSean McCoy
49,49,Julian Edelman,20.0,Julian Edelman
50,50,Brandon Marshall,20.2,Brandon Marshall
