,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Stevie Johnson,3500,12.0,Scott Chandler,2500,7.2,Maxx Williams,2600,6.4,47500,156.34,1
3,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Marques Colston,3400,15.8,Heath Miller,2700,10.6,Marcedes Lewis,2500,6.2,47500,163.34,1
4,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Marques Colston,3400,15.8,Heath Miller,2700,10.6,Scott Chandler,2500,7.2,47500,164.34,1
5,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Marques Colston,3400,15.8,Scott Chandler,2500,7.2,Heath Miller,2700,10.6,47500,164.34,1
6,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Jeremy Kerley,3000,8.8,Ladarius Green,2900,14.4,Heath Miller,2700,10.6,47500,164.54,1
7,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Jeremy Kerley,3000,8.8,Heath Miller,2700,10.6,Ladarius Green,2900,14.4,47500,164.54,1
8,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Devin Funchess,3000,11.6,Ladarius Green,2900,14.4,Heath Miller,2700,10.6,47500,167.34,1
9,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Amari Cooper,6500,25.6,Devin Funchess,3000,11.6,Heath Miller,2700,10.6,Ladarius Green,2900,14.4,47500,167.34,1
10,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Mike Evans,6400,25.4,Devin Funchess,3000,11.6,Eric Ebron,3000,15.0,Heath Miller,2700,10.6,47500,167.74,1
11,Drew Brees,7000,26.94,Le'Veon Bell,8400,24.4,Devonta Freeman,7900,22.9,Julio Jones,9100,30.9,Mike Evans,6400,25.4,Devin Funchess,3000,11.6,Heath Miller,2700,10.6,Eric Ebron,3000,15.0,47500,167.74,1
