Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Antonio Brown,WR,8800,Cle@Pit 01:00PM ET,22.889,Pit,22.0,32.0,23.7,29.6,17.54,16.64,17.164,22.6634285714,32.0,16.64,15.36,0.677743879378
Odell Beckham Jr.,WR,8800,NE@NYG 04:25PM ET,21.022,NYG,26.0,25.2,17.25,21.8,20.07,15.91,18.143,20.6247142857,26.0,15.91,10.09,0.48921889827
DeAndre Hopkins,WR,8700,Hou@Cin 08:30PM ET,25.375,Hou,28.0,23.4,18.75,21.7,23.47,11.81,20.507,21.091,28.0,11.81,16.19,0.767626001612
Tom Brady,QB,8600,NE@NYG 04:25PM ET,27.783,NE,28.2,23.54,23.19,23.54,27.378,22.914,27.6266,25.1983714286,28.2,22.914,5.286,0.209775461679
Julian Edelman,WR,8200,NE@NYG 04:25PM ET,20.9,NE,21.0,19.8,17.39,19.0,19.47,15.53,21.246,19.0622857143,21.246,15.53,5.716,0.299859108486
Rob Gronkowski,TE,8000,NE@NYG 04:25PM ET,20.913,NE,21.5,23.4,16.94,20.7,17.45,16.07,17.552,19.0874285714,23.4,16.07,7.33,0.384022393198
Dez Bryant,WR,7800,Dal@TB 01:00PM ET,12.467,Dal,18.0,31.0,12.55,27.0,14.75,17.92,16.1754,19.6279142857,31.0,12.55,18.45,0.939987801629
A.J. Green,WR,7600,Hou@Cin 08:30PM ET,18.775,Cin,23.0,24.5,17.37,21.3,18.72,14.5,18.172,19.6517142857,24.5,14.5,10.0,0.508861458833
Aaron Rodgers,QB,7500,Det@GB 01:00PM ET,22.598,GB,25.6,28.94,22.88,28.94,24.494,28.522,22.2842,25.9514571429,28.94,22.2842,6.6558,0.25647114778
Calvin Johnson,WR,7500,Det@GB 01:00PM ET,16.738,Det,22.0,14.2,14.77,12.1,16.64,14.03,15.827,15.6524285714,22.0,12.1,9.9,0.632489709493
Drew Brees,QB,7400,NO@Was 01:00PM ET,24.678,NO,27.8,27.18,24.02,28.18,22.432,17.592,24.2004,24.4863428571,28.18,17.592,10.588,0.43240430234
Brandon Marshall,WR,7400,Buf@NYJ 08:25PM ET,21.25,NYJ,22.5,19.6,14.05,18.8,17.67,15.73,15.249,17.657,22.5,14.05,8.45,0.478563742425
Larry Fitzgerald,WR,7400,Ari@Sea 08:30PM ET,21.45,Ari,17.0,18.2,15.13,17.1,15.95,17.17,15.584,16.5905714286,18.2,15.13,3.07,0.18504486197
Demaryius Thomas,WR,7400,KC@Den 04:25PM ET,18.688,Den,22.5,20.4,19.05,18.2,19.5,16.81,16.998,19.0654285714,22.5,16.81,5.69,0.298445953034
Emmanuel Sanders,WR,7300,KC@Den 04:25PM ET,17.488,Den,10.0,11.4,12.66,9.8,17.46,14.69,15.138,13.0211428571,17.46,9.8,7.66,0.588274015886
