,Unnamed: 0,player,nfl,dk_name
0,0,Aaron Rodgers,28.94,Aaron Rodgers
1,1,Cam Newton,24.94,Cam Newton
2,2,Drew Brees,27.18,Drew Brees
3,3,Tom Brady,23.54,Tom Brady
4,4,Adrian Peterson,23.8,Adrian Peterson
5,5,Russell Wilson,19.46,Russell Wilson
6,6,Marcus Mariota,18.92,Marcus Mariota
7,7,Ryan Tannehill,18.76,Ryan Tannehill
8,8,Antonio Brown,32.0,Antonio Brown
9,9,Blake Bortles,18.38,Blake Bortles
10,10,Joe Flacco,18.26,Joe Flacco
11,11,Dez Bryant,31.0,Dez Bryant
12,12,Josh McCown,17.94,Josh McCown
13,13,Andy Dalton,17.68,Andy Dalton
14,14,Nick Foles,17.64,Nick Foles
15,15,Derek Carr,17.54,Derek Carr
16,16,Jeremy Langford,20.2,Jeremy Langford
17,17,Eli Manning,17.34,Eli Manning
18,18,Teddy Bridgewater,17.3,Teddy Bridgewater
19,19,Jay Cutler,17.12,Jay Cutler
20,20,Todd Gurley,17.7,Todd Gurley
21,21,Carson Palmer,17.06,Carson Palmer
22,22,Alex Smith,16.94,Alex Smith
23,23,Landry Jones,16.9,Landry Jones
24,24,Peyton Manning,16.9,Peyton Manning
25,25,Odell Beckham,25.2,Odell Beckham Jr.
26,26,Amari Cooper,25.6,Amari Cooper
27,27,Randall Cobb,24.8,Randall Cobb
28,28,Justin Forsett,17.7,Justin Forsett
29,29,Matt Cassel,16.6,Matt Cassel
30,30,Mike Evans,24.6,Mike Evans
31,31,A.J. Green,24.5,A.J. Green
32,32,Rob Gronkowski,23.4,Rob Gronkowski
33,33,DeAndre Hopkins,23.4,DeAndre Hopkins
34,34,Chris Ivory,15.9,Chris Ivory
35,35,Alshon Jeffery,23.2,Alshon Jeffery
36,36,Jimmy Graham,22.6,Jimmy Graham
37,37,Eddie Lacy,16.2,Eddie Lacy
38,38,Jonathan Stewart,15.5,Jonathan Stewart
39,39,Giovani Bernard,16.9,Giovani Bernard
40,40,T.J. Yeldon,15.5,T.J. Yeldon
41,41,DeMarco Murray,15.2,DeMarco Murray
42,42,Tyler Eifert,21.4,Tyler Eifert
43,43,Marshawn Lynch,15.0,Marshawn Lynch
44,44,Ronnie Hillman,15.9,Ronnie Hillman
45,45,Darren McFadden,14.2,Darren McFadden
46,46,Stefon Diggs,20.4,Stefon Diggs
47,47,Demaryius Thomas,20.4,Demaryius Thomas
48,48,Matthew Stafford,14.08,Matthew Stafford
49,49,Doug Baldwin,19.9,Doug Baldwin
50,50,Julian Edelman,19.8,Julian Edelman
51,51,Brandin Cooks,19.1,Brandin Cooks
52,52,C.J. Spiller,15.4,C.J. Spiller
53,53,Martellus Bennett,19.6,Martellus Bennett
54,54,Brandon Marshall,19.6,Brandon Marshall
55,55,Mike Wallace,19.4,Mike Wallace
56,56,Gary Barnidge,19.4,Gary Barnidge
57,57,Lamar Miller,13.8,Lamar Miller
58,58,Martavis Bryant,18.7,Martavis Bryant
59,59,Greg Olsen,19.0,Greg Olsen
60,60,Allen Hurns,18.8,Allen Hurns
61,61,James Jones,18.8,James Jones
62,62,Doug Martin,13.2,Doug Martin
63,63,Latavius Murray,13.2,Latavius Murray
64,64,Delanie Walker,18.8,Delanie Walker
65,65,Jameis Winston,14.28,Jameis Winston
66,66,Jeremy Maclin,18.4,Jeremy Maclin
67,67,Larry Fitzgerald,18.2,Larry Fitzgerald
68,68,DeSean Jackson,17.8,DeSean Jackson
69,69,Marvin Jones,18.0,Marvin Jones
70,70,Allen Robinson,18.0,Allen Robinson
71,71,Marques Colston,17.8,Marques Colston
72,72,Mark Ingram,12.7,Mark Ingram
73,73,Jarvis Landry,17.6,Jarvis Landry
74,74,Jason Witten,17.8,Jason Witten
75,75,Travis Benjamin,17.4,Travis Benjamin
76,76,Brandon LaFell,17.2,Brandon LaFell
77,77,Austin Seferian-Jenkins,17.0,Austin Seferian-Jenkins
78,78,Jordan Reed,16.8,Jordan Reed
79,79,Brian Hoyer,12.34,Brian Hoyer
80,80,Antonio Andrews,12.6,Antonio Andrews
81,81,LeGarrette Blount,11.4,LeGarrette Blount
82,82,Travis Kelce,16.4,Travis Kelce
83,83,Tyrod Taylor,12.2,Tyrod Taylor
84,84,Sammy Watkins,16.2,Sammy Watkins
85,85,Michael Crabtree,16.2,Michael Crabtree
86,86,Alfred Morris,11.6,Alfred Morris
87,87,David Cobb,12.1,NaN
88,88,Pierre Garcon,16.0,Pierre Garcon
89,89,Richard Rodgers,16.0,Richard Rodgers
