,Unnamed: 0,player,cbs,dk_name
0,8,Joe Flacco,16.95,Joe Flacco
1,9,Tony Romo,16.22,Tony Romo
2,10,Andy Dalton,15.3,Andy Dalton
3,11,Ryan Tannehill,18.08,Ryan Tannehill
4,12,Alex Smith,18.28,Alex Smith
5,15,Matthew Stafford,19.6,Matthew Stafford
6,18,Tyrod Taylor,17.89,Tyrod Taylor
7,19,Philip Rivers,16.73,Philip Rivers
8,21,Jameis Winston,14.71,Jameis Winston
9,29,Tom Brady,19.2,Tom Brady
10,30,Jay Cutler,14.14,Jay Cutler
11,31,Cam Newton,25.01,Cam Newton
12,37,Matt Hasselbeck,14.51,Matt Hasselbeck
13,39,Aaron Rodgers,16.8,Aaron Rodgers
14,40,Russell Wilson,19.17,Russell Wilson
15,44,Brian Hoyer,14.55,Brian Hoyer
16,50,Matt Ryan,21.51,Matt Ryan
17,53,Teddy Bridgewater,14.34,Teddy Bridgewater
18,55,Ryan Fitzpatrick,16.45,Ryan Fitzpatrick
19,56,Carson Palmer,18.5,Carson Palmer
20,57,Case Keenum,12.55,Case Keenum
21,63,Derek Carr,16.5,Derek Carr
22,65,Kirk Cousins,12.55,Kirk Cousins
23,66,Mark Sanchez,16.44,Mark Sanchez
24,67,Brock Osweiler,15.37,Brock Osweiler
25,69,Blaine Gabbert,10.78,Blaine Gabbert
26,72,Blake Bortles,18.04,Blake Bortles
27,74,Marcus Mariota,14.64,Marcus Mariota
28,79,Jeremy Langford,16.91,Jeremy Langford
29,80,Jonathan Stewart,12.96,Jonathan Stewart
30,81,Antonio Andrews,8.99,Antonio Andrews
31,85,DeMarco Murray,13.83,DeMarco Murray
32,86,Alfred Blue,7.23,Alfred Blue
33,87,Stevan Ridley,4.32,Stevan Ridley
34,91,Carlos Hyde,5.4,Carlos Hyde
35,92,Ryan Mathews,10.21,Ryan Mathews
36,93,David Cobb,4.67,David Cobb
37,94,Giovani Bernard,12.17,Giovani Bernard
38,95,Jalston Fowler,1.58,Jalston Fowler
39,97,Tevin Coleman,4.79,Tevin Coleman
40,99,LeSean McCoy,12.71,LeSean McCoy
41,101,Doug Martin,11.6,Doug Martin
42,102,Marshawn Lynch,15.26,Marshawn Lynch
43,103,Zach Line,3.0,Zach Line
44,104,Latavius Murray,12.7,Latavius Murray
45,107,Ameer Abdullah,8.93,Ameer Abdullah
