"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6498","QB","Tom","Brady","25.1","9","9200","BUF@NE","NE","BUF","","","",""
"30447","RB","Todd","Gurley","17.4","7","9200","STL@BAL","STL","BAL","","","",""
"14190","WR","Julio","Jones","20.3","9","9100","IND@ATL","ATL","IND","","","",""
"24920","RB","Devonta","Freeman","22.7","9","9100","IND@ATL","ATL","IND","","","",""
"16606","WR","DeAndre","Hopkins","19.1","9","8900","NYJ@HOU","HOU","NYJ","P","Knee","",""
"6894","QB","Aaron","Rodgers","21.3","9","8900","GB@MIN","GB","MIN","P","Shoulder","",""
"6703","RB","Adrian","Peterson","16.4","9","8900","GB@MIN","MIN","GB","P","Hamstring","",""
"14185","QB","Cam","Newton","22.3","9","8600","WAS@CAR","CAR","WAS","","","",""
"11435","WR","Dez","Bryant","8.9","4","8400","DAL@MIA","DAL","MIA","P","Knee","",""
"11460","TE","Rob","Gronkowski","17","9","8400","BUF@NE","NE","BUF","","","",""
"7968","QB","Philip","Rivers","20.7","9","8300","KC@SD","SD","KC","","","",""
"14187","WR","A.J.","Green","14","9","8200","CIN@ARI","CIN","ARI","","","",""
"6748","QB","Carson","Palmer","21.4","9","8200","CIN@ARI","ARI","CIN","","","",""
"6655","WR","Calvin","Johnson","13","9","8100","OAK@DET","DET","OAK","P","Ankle","",""
"9371","RB","Marshawn","Lynch","10.9","7","8100","SF@SEA","SEA","SF","Q","Abdomen","",""
"6639","QB","Tony","Romo","15.6","2","8000","DAL@MIA","DAL","MIA","","","",""
"32384","WR","Mike","Evans","11.3","8","8000","TB@PHI","TB","PHI","","","",""
"14225","QB","Andy","Dalton","20.4","9","7900","CIN@ARI","CIN","ARI","","","",""
"6759","WR","Brandon","Marshall","15.1","9","7900","NYJ@HOU","NYJ","HOU","P","Toe","",""
"6616","QB","Matt","Ryan","16.5","9","7800","IND@ATL","ATL","IND","","","",""
"6899","RB","Matt","Forte","15.3","7","7800","DEN@CHI","CHI","DEN","Q","Knee","",""
"45859","QB","Derek","Carr","19.4","9","7700","OAK@DET","OAK","DET","","","",""
"11432","WR","Demaryius","Thomas","13.3","9","7700","DEN@CHI","DEN","CHI","","","",""
"22015","QB","Russell","Wilson","16.6","9","7600","SF@SEA","SEA","SF","","","",""
"14254","RB","DeMarco","Murray","14.9","8","7600","TB@PHI","PHI","TB","","","",""
"11505","WR","Emmanuel","Sanders","12.3","9","7600","DEN@CHI","DEN","CHI","Q","Finger","",""
"6714","QB","Joe","Flacco","17.6","9","7600","STL@BAL","BAL","STL","","","",""
"21980","WR","Alshon","Jeffery","16.3","5","7500","DEN@CHI","CHI","DEN","Q","Groin","",""
"6779","RB","LeSean","McCoy","13.9","7","7500","BUF@NE","BUF","NE","","","",""
"7659","QB","Ryan","Fitzpatrick","16.6","9","7400","NYJ@HOU","NYJ","HOU","P","Thumb","",""
"6883","WR","Larry","Fitzgerald","17.1","9","7400","CIN@ARI","ARI","CIN","P","Ankle","",""
"22037","RB","Lamar","Miller","15.8","9","7400","DAL@MIA","MIA","DAL","","","",""
"11779","RB","LeGarrette","Blount","12.5","8","7300","BUF@NE","NE","BUF","","","",""
"6661","QB","Peyton","Manning","11.8","9","7300","DEN@CHI","DEN","CHI","O","Foot","",""
"11864","RB","Christopher","Ivory","16","8","7200","NYJ@HOU","NYJ","HOU","","","",""
"31394","WR","Jarvis","Landry","14.5","9","7200","DAL@MIA","MIA","DAL","","","",""
"31001","WR","Amari","Cooper","13.4","9","7200","OAK@DET","OAK","DET","","","",""
"22031","WR","T.Y.","Hilton","12.2","9","7200","IND@ATL","IND","ATL","","","",""
"14377","QB","Tyrod","Taylor","19.2","7","7200","BUF@NE","BUF","NE","","","",""
"14257","WR","Randall","Cobb","11.9","9","7100","GB@MIN","GB","MIN","","","",""
"54687","RB","Charcandrick","West","8.8","9","7100","KC@SD","KC","SD","","","",""
"21948","QB","Ryan","Tannehill","16.8","9","7000","DAL@MIA","MIA","DAL","","","",""
"6654","QB","Matthew","Stafford","16.2","9","7000","OAK@DET","DET","OAK","","","",""
"11414","QB","Sam","Bradford","14.1","9","7000","TB@PHI","PHI","TB","O","Concussion","",""
"11501","WR","Eric","Decker","14.6","8","7000","NYJ@HOU","NYJ","HOU","P","Knee","",""
"6898","QB","Jay","Cutler","17.8","8","7000","DEN@CHI","CHI","DEN","","","",""
"6733","RB","Jonathan","Stewart","10.6","9","7000","WAS@CAR","CAR","WAS","","","",""
"11495","WR","Brandon","LaFell","7.6","4","6900","BUF@NE","NE","BUF","","","",""
"6857","RB","Justin","Forsett","11.6","9","6900","STL@BAL","BAL","STL","","","",""
"22038","QB","Kirk","Cousins","16.6","9","6900","WAS@CAR","WAS","CAR","","","",""
"6566","RB","Chris","Johnson","10.6","9","6800","CIN@ARI","ARI","CIN","","","",""
"45889","WR","Davante","Adams","7.1","6","6800","GB@MIN","GB","MIN","","","",""
"34331","RB","Latavius","Murray","12.2","9","6800","OAK@DET","OAK","DET","","","",""
"7806","RB","Darren","McFadden","10.3","9","6800","DAL@MIA","DAL","MIA","Q","Groin","",""
"24849","QB","Jameis","Winston","16.8","9","6800","TB@PHI","TB","PHI","","","",""
"28202","RB","Jeremy","Langford","9.1","9","6700","DEN@CHI","CHI","DEN","","","",""
"7872","QB","Brian","Hoyer","16.8","7","6700","NYJ@HOU","HOU","NYJ","O","Concussion","",""
"25079","WR","Stefon","Diggs","13.3","6","6700","GB@MIN","MIN","GB","","","",""
"21970","RB","Doug","Martin","13.3","9","6600","TB@PHI","TB","PHI","","","",""
"33259","QB","Teddy","Bridgewater","12.9","9","6600","GB@MIN","MIN","GB","P","Shoulder","",""
"24641","WR","Sammy","Watkins","10.3","6","6600","BUF@NE","BUF","NE","","","",""
"6840","RB","Frank","Gore","11.5","9","6600","IND@ATL","IND","ATL","","","",""
"31397","RB","Jeremy","Hill","8.7","9","6500","CIN@ARI","CIN","ARI","","","",""
"9392","WR","Michael","Crabtree","13.3","9","6500","OAK@DET","OAK","DET","","","",""
"21952","WR","Michael","Floyd","9.6","9","6400","CIN@ARI","ARI","CIN","Q","Hamstring","",""
"6914","TE","Greg","Olsen","13.2","9","6400","WAS@CAR","CAR","WAS","","","",""
"9421","RB","Danny","Woodhead","14.2","9","6400","KC@SD","SD","KC","","","",""
"22163","WR","Rishard","Matthews","12.2","9","6400","DAL@MIA","MIA","DAL","","","",""
"6687","QB","Mark","Sanchez","5.6","1","6400","TB@PHI","PHI","TB","","","",""
"25290","RB","Giovani","Bernard","11.1","9","6300","CIN@ARI","CIN","ARI","","","",""
"7283","WR","Jeremy","Maclin","11.6","8","6300","KC@SD","KC","SD","","","",""
"30837","WR","Jordan","Matthews","10.1","9","6300","TB@PHI","PHI","TB","","","",""
"6831","QB","Matt","Hasselbeck","15.8","2","6300","IND@ATL","IND","ATL","","","",""
"22027","QB","Nick","Foles","10.3","9","6300","STL@BAL","STL","BAL","","","",""
"22003","RB","Ronnie","Hillman","8.8","9","6200","DEN@CHI","DEN","CHI","P","Quadriceps","",""
"33557","TE","Tyler","Eifert","13.3","9","6200","CIN@ARI","CIN","ARI","","","",""
"11485","WR","Golden","Tate","7.9","9","6200","OAK@DET","DET","OAK","","","",""
"8005","QB","Alex","Smith","17","9","6200","KC@SD","KC","SD","","","",""
"11609","RB","James","Starks","9.8","9","6200","GB@MIN","GB","MIN","","","",""
"31561","WR","Donte","Moncrief","10.3","9","6100","IND@ATL","IND","ATL","","","",""
"30244","RB","Matt","Jones","9.8","8","6100","WAS@CAR","WAS","CAR","","","",""
"8117","WR","Danny","Amendola","8.2","9","6100","BUF@NE","NE","BUF","","","",""
"6739","WR","DeSean","Jackson","2.8","3","6100","WAS@CAR","WAS","CAR","","","",""
