,Unnamed: 0,player,nfl,dk_name
0,0,Aaron Rodgers,28.88,Aaron Rodgers
1,1,Jeremy Langford,29.1,Jeremy Langford
2,2,Tom Brady,23.94,Tom Brady
3,3,Cam Newton,24.84,Cam Newton
4,4,Matt Ryan,23.18,Matt Ryan
5,5,Devonta Freeman,22.7,Devonta Freeman
6,6,Russell Wilson,19.26,Russell Wilson
7,7,Carson Palmer,19.18,Carson Palmer
8,8,Marcus Mariota,19.04,Marcus Mariota
9,9,Ryan Fitzpatrick,18.72,Ryan Fitzpatrick
10,10,Blake Bortles,18.64,Blake Bortles
11,11,A.J. Green,31.6,A.J. Green
12,12,Philip Rivers,18.4,Philip Rivers
13,13,Ryan Tannehill,18.36,Ryan Tannehill
14,14,Brock Osweiler,18.3,Brock Osweiler
15,15,Joe Flacco,18.26,Joe Flacco
16,16,Julio Jones,31.1,Julio Jones
17,17,Adrian Peterson,22.5,Adrian Peterson
18,18,Andy Dalton,17.64,Andy Dalton
19,19,Derek Carr,17.56,Derek Carr
20,20,Demaryius Thomas,30.0,Demaryius Thomas
21,21,Dez Bryant,29.8,Dez Bryant
22,22,Kirk Cousins,17.2,Kirk Cousins
23,23,Emmanuel Sanders,26.1,Emmanuel Sanders
24,24,Alex Smith,17.04,Alex Smith
25,25,Teddy Bridgewater,16.98,Teddy Bridgewater
26,26,Amari Cooper,25.8,Amari Cooper
27,27,Jay Cutler,16.88,Jay Cutler
28,28,Mike Evans,25.4,Mike Evans
29,29,Todd Gurley,17.2,Todd Gurley
30,30,Justin Forsett,17.6,Justin Forsett
31,31,Blaine Gabbert,17.34,Blaine Gabbert
32,32,Matt Cassel,16.32,Matt Cassel
33,33,Danny Woodhead,19.6,Danny Woodhead
34,34,DeAndre Hopkins,23.8,DeAndre Hopkins
35,35,Chris Ivory,16.0,Chris Ivory
36,36,Eddie Lacy,16.8,Eddie Lacy
37,37,T.J. Yeldon,16.3,T.J. Yeldon
38,38,Case Keenum,16.46,Case Keenum
39,39,Rob Gronkowski,22.6,Rob Gronkowski
40,40,Jimmy Graham,22.2,Jimmy Graham
41,41,Giovani Bernard,16.9,Giovani Bernard
42,42,Randall Cobb,21.0,Randall Cobb
43,43,Marshawn Lynch,15.1,Marshawn Lynch
44,44,DeMarco Murray,15.2,DeMarco Murray
45,45,Alshon Jeffery,21.2,Alshon Jeffery
46,46,Tyler Eifert,21.2,Tyler Eifert
47,47,LeSean McCoy,14.9,LeSean McCoy
48,48,Frank Gore,14.8,Frank Gore
49,49,Matthew Stafford,14.48,Matthew Stafford
50,50,Ronnie Hillman,15.9,Ronnie Hillman
51,51,Darren McFadden,14.0,Darren McFadden
52,52,Brandon Marshall,20.2,Brandon Marshall
53,53,Eric Decker,20.0,Eric Decker
54,54,Stefon Diggs,20.0,Stefon Diggs
55,55,Doug Baldwin,19.5,Doug Baldwin
56,56,Greg Olsen,19.4,Greg Olsen
57,57,Jameis Winston,14.64,Jameis Winston
58,58,Martellus Bennett,19.2,Martellus Bennett
59,59,Doug Martin,13.5,Doug Martin
60,60,Mike Wallace,19.0,Mike Wallace
61,61,Delanie Walker,19.0,Delanie Walker
62,62,Larry Fitzgerald,18.8,Larry Fitzgerald
63,63,Allen Hurns,18.8,Allen Hurns
64,64,James Jones,18.6,James Jones
65,65,Lamar Miller,13.4,Lamar Miller
66,66,Jeremy Maclin,18.4,Jeremy Maclin
67,67,Roy Helu,15.3,Roy Helu Jr.
68,68,Marvin Jones,18.0,Marvin Jones
69,69,Allen Robinson,18.0,Allen Robinson
70,70,Latavius Murray,12.7,Latavius Murray
71,71,Austin Seferian-Jenkins,17.6,Austin Seferian-Jenkins
72,72,Jarvis Landry,17.2,Jarvis Landry
73,73,Andre Ellington,13.2,Andre Ellington
74,74,Pierre Garcon,17.2,Pierre Garcon
75,75,Jason Witten,17.2,Jason Witten
76,76,Vincent Jackson,17.0,Vincent Jackson
77,77,Brandon LaFell,16.6,Brandon LaFell
78,78,Tyrod Taylor,12.38,Tyrod Taylor
