,Unnamed: 0,player,nfl,dk_name
0,0,Aaron Rodgers,28.88,Aaron Rodgers
1,1,Jeremy Langford,29.1,Jeremy Langford
2,2,Tom Brady,23.94,Tom Brady
3,3,Cam Newton,24.84,Cam Newton
4,4,Mark Sanchez,20.4,Mark Sanchez
5,5,Matt Ryan,23.18,Matt Ryan
6,6,Devonta Freeman,22.7,Devonta Freeman
7,7,Russell Wilson,19.26,Russell Wilson
8,8,Carson Palmer,19.18,Carson Palmer
9,9,Marcus Mariota,19.04,NaN
10,10,Ryan Fitzpatrick,18.72,Ryan Fitzpatrick
11,11,Blake Bortles,18.64,NaN
12,12,A.J. Green,31.6,A.J. Green
13,13,Philip Rivers,18.4,Philip Rivers
14,14,Ryan Tannehill,18.36,Ryan Tannehill
15,15,Brock Osweiler,18.3,Brock Osweiler
16,16,Joe Flacco,18.26,Joe Flacco
17,17,Julio Jones,31.1,Julio Jones
18,18,Adrian Peterson,22.5,Adrian Peterson
19,19,Andy Dalton,17.64,Andy Dalton
20,20,Derek Carr,17.56,Derek Carr
21,21,Demaryius Thomas,30.0,Demaryius Thomas
22,22,Dez Bryant,29.8,Dez Bryant
23,23,Kirk Cousins,17.2,Kirk Cousins
24,24,Emmanuel Sanders,26.1,Emmanuel Sanders
25,25,Alex Smith,17.04,Alex Smith
26,26,Teddy Bridgewater,16.98,Teddy Bridgewater
27,27,Amari Cooper,25.8,Amari Cooper
28,28,Jay Cutler,16.88,Jay Cutler
29,29,Mike Evans,25.4,Mike Evans
30,30,Todd Gurley,17.2,Todd Gurley
31,31,Justin Forsett,17.6,Justin Forsett
32,32,Blaine Gabbert,17.34,Blaine Gabbert
33,33,Matt Cassel,16.32,Matt Cassel
34,34,Danny Woodhead,19.6,Danny Woodhead
35,35,DeAndre Hopkins,23.8,DeAndre Hopkins
36,36,Chris Ivory,16.0,NaN
37,37,Eddie Lacy,16.8,Eddie Lacy
38,38,T.J. Yeldon,16.3,NaN
39,39,Case Keenum,16.46,Case Keenum
40,40,Rob Gronkowski,22.6,Rob Gronkowski
41,41,Jimmy Graham,22.2,Jimmy Graham
42,42,Giovani Bernard,16.9,Giovani Bernard
43,43,Randall Cobb,21.0,Randall Cobb
44,44,Marshawn Lynch,15.1,Marshawn Lynch
45,45,DeMarco Murray,15.2,DeMarco Murray
46,46,Alshon Jeffery,21.2,Alshon Jeffery
47,47,Tyler Eifert,21.2,Tyler Eifert
48,48,LeSean McCoy,14.9,LeSean McCoy
49,49,Frank Gore,14.8,Frank Gore
50,50,Matthew Stafford,14.48,Matthew Stafford
51,51,Ronnie Hillman,15.9,Ronnie Hillman
52,52,Darren McFadden,14.0,Darren McFadden
53,53,Brandon Marshall,20.2,Brandon Marshall
54,54,Eric Decker,20.0,Eric Decker
55,55,Stefon Diggs,20.0,Stefon Diggs
56,56,Doug Baldwin,19.5,Doug Baldwin
57,57,Greg Olsen,19.4,Greg Olsen
58,58,Jameis Winston,14.64,Jameis Winston
59,59,Martellus Bennett,19.2,Martellus Bennett
60,60,Doug Martin,13.5,Doug Martin
61,61,Mike Wallace,19.0,Mike Wallace
62,62,Delanie Walker,19.0,NaN
63,63,Larry Fitzgerald,18.8,Larry Fitzgerald
64,64,Allen Hurns,18.8,NaN
65,65,James Jones,18.6,James Jones
66,66,Lamar Miller,13.4,Lamar Miller
67,67,Jeremy Maclin,18.4,Jeremy Maclin
68,68,Roy Helu,15.3,Roy Helu
69,69,Marvin Jones,18.0,Marvin Jones
70,70,Allen Robinson,18.0,NaN
71,71,Latavius Murray,12.7,Latavius Murray
72,72,Austin Seferian-Jenkins,17.6,Austin Seferian-Jenkins
73,73,Jarvis Landry,17.2,Jarvis Landry
74,74,Andre Ellington,13.2,Andre Ellington
75,75,Pierre Garcon,17.2,Pierre Garcon
76,76,Jason Witten,17.2,Jason Witten
77,77,Vincent Jackson,17.0,Vincent Jackson
78,78,Brandon LaFell,16.6,Brandon LaFell
79,79,Tyrod Taylor,12.38,Tyrod Taylor
