,Unnamed: 0,player,cbs,dk_name
0,9,Tony Romo,14.34,Tony Romo
1,10,Andy Dalton,18.49,Andy Dalton
2,11,Ryan Tannehill,14.52,Ryan Tannehill
3,13,Alex Smith,16.43,Alex Smith
4,16,Josh McCown,17.06,Josh McCown
5,17,Matthew Stafford,18.34,Matthew Stafford
6,20,Tyrod Taylor,15.78,Tyrod Taylor
7,21,Drew Brees,16.42,Drew Brees
8,23,Philip Rivers,17.2,Philip Rivers
9,25,Jameis Winston,16.11,Jameis Winston
10,30,Eli Manning,19.27,Eli Manning
11,35,Tom Brady,15.0,Tom Brady
12,36,Jay Cutler,15.59,Jay Cutler
13,37,Cam Newton,21.54,Cam Newton
14,38,Matt Schaub,13.42,Matt Schaub
15,44,Matt Hasselbeck,17.44,Matt Hasselbeck
16,46,Aaron Rodgers,22.81,Aaron Rodgers
17,47,Ben Roethlisberger,12.59,Ben Roethlisberger
18,48,Russell Wilson,19.21,Russell Wilson
19,50,Nick Foles,11.46,Nick Foles
20,53,Brian Hoyer,19.42,Brian Hoyer
21,60,Matt Ryan,17.01,Matt Ryan
22,63,Teddy Bridgewater,14.83,Teddy Bridgewater
23,64,Ryan Fitzpatrick,17.85,Ryan Fitzpatrick
24,65,Carson Palmer,23.31,Carson Palmer
25,71,Derek Carr,15.64,Derek Carr
26,73,Kirk Cousins,14.32,Kirk Cousins
27,74,Mark Sanchez,16.63,Mark Sanchez
28,75,Brock Osweiler,15.25,Brock Osweiler
29,77,Blaine Gabbert,12.24,Blaine Gabbert
30,80,Blake Bortles,18.31,Blake Bortles
31,82,Marcus Mariota,16.09,Marcus Mariota
32,87,Jeremy Langford,12.65,Jeremy Langford
33,88,Jonathan Stewart,11.86,Jonathan Stewart
34,89,Antonio Andrews,10.09,Antonio Andrews
35,90,Terrance West,3.82,Terrance West
36,91,DeMarco Murray,17.18,DeMarco Murray
37,92,Alfred Blue,10.45,Alfred Blue
38,94,Jordan Todman,3.39,Jordan Todman
39,96,Jalston Fowler,1.59,NaN
40,98,Tevin Coleman,12.4,Tevin Coleman
41,100,LeSean McCoy,14.12,LeSean McCoy
42,105,Melvin Gordon,9.53,Melvin Gordon
43,106,Anthony Sherman,1.68,NaN
44,107,Mike Tolbert,5.09,Mike Tolbert
45,108,Shane Vereen,11.17,Shane Vereen
46,111,Matt Asiata,3.06,Matt Asiata
47,112,Ahmad Bradshaw,8.96,Ahmad Bradshaw
48,115,Bruce Miller,2.89,Bruce Miller
49,116,Matt Forte,10.82,Matt Forte
50,118,Chris Johnson,10.85,Chris Johnson
51,121,John Kuhn,2.93,John Kuhn
52,122,Rashad Jennings,10.47,Rashad Jennings
53,125,Isaiah Crowell,9.32,Isaiah Crowell
54,126,Charcandrick West,9.08,Charcandrick West
55,127,C.J. Anderson,8.16,C.J. Anderson
56,128,Javorius Allen,14.31,Javorius Allen
57,129,Jay Ajayi,5.46,Jay Ajayi
58,130,Darren Sproles,8.84,Darren Sproles
59,131,Chris Ivory,13.66,NaN
60,132,C.J. Spiller,8.76,C.J. Spiller
61,133,Orleans Darkwa,5.62,Orleans Darkwa
62,134,Matt Jones,9.6,Matt Jones
63,135,Roy Helu,6.17,Roy Helu
64,136,Fred Jackson,5.68,Fred Jackson
65,137,Tre Mason,2.25,Tre Mason
66,138,Frank Gore,13.8,Frank Gore
67,139,Jonathan Grimes,8.78,Jonathan Grimes
68,141,Derrick Coleman,1.09,Derrick Coleman
69,142,Adrian Peterson,15.81,Adrian Peterson
70,143,Darrel Young,2.31,Darrel Young
71,144,Fozzy Whittaker,2.95,NaN
72,146,Charles Sims,9.65,Charles Sims
73,147,Anthony Dixon,2.72,Anthony Dixon
74,148,David Johnson,6.35,David Johnson
75,149,Chris Thompson,8.25,Chris Thompson
76,152,Bilal Powell,8.57,Bilal Powell
77,153,Donald Brown,3.43,Donald Brown
78,155,Robert Turbin,5.71,Robert Turbin
79,157,Theo Riddick,10.44,Theo Riddick
80,158,Chris Polk,7.06,Chris Polk
81,159,Denard Robinson,5.54,Denard Robinson
82,160,Karlos Williams,8.83,Karlos Williams
83,162,Benny Cunningham,4.07,Benny Cunningham
84,163,Raheem Mostert,3.39,Raheem Mostert
85,165,DeAngelo Williams,14.27,DeAngelo Williams
86,166,Stevan Ridley,3.96,Stevan Ridley
87,167,Andre Williams,5.42,Andre Williams
88,169,Giovani Bernard,13.89,Giovani Bernard
89,170,David Cobb,3.63,David Cobb
90,172,Will Johnson,2.72,NaN
91,173,Doug Martin,12.84,Doug Martin
92,174,Zach Line,3.11,NaN
93,175,Latavius Murray,11.77,Latavius Murray
94,176,Ameer Abdullah,8.56,Ameer Abdullah
95,177,Eddie Lacy,12.92,Eddie Lacy
96,178,Taiwan Jones,4.56,Taiwan Jones
97,179,Lamar Miller,13.82,Lamar Miller
98,180,James Starks,11.31,James Starks
99,182,Thomas Rawls,16.05,Thomas Rawls
100,183,Spencer Ware,12.97,Spencer Ware
101,184,Tommy Bohanon,1.81,Tommy Bohanon
102,185,Jeremy Hill,10.82,Jeremy Hill
103,187,Joique Bell,6.76,Joique Bell
104,188,Jamize Olawale,2.79,Jamize Olawale
105,189,James White,10.6,James White
106,191,Mark Ingram,15.48,Mark Ingram
107,194,Jerick McKinnon,2.1,Jerick McKinnon
108,195,Austin Johnson,2.27,NaN
109,196,Alfred Morris,7.62,Alfred Morris
110,197,Kyle Juszczyk,4.03,Kyle Juszczyk
111,198,Todd Gurley,20.56,Todd Gurley
112,201,Ronnie Hillman,11.41,Ronnie Hillman
113,202,Kendall Gaskins,4.71,Kendall Gaskins
114,203,Patrick DiMarco,2.99,Patrick DiMarco
115,204,LeGarrette Blount,10.15,LeGarrette Blount
116,208,Tyler Clutts,1.86,NaN
117,209,Terron Ward,8.04,Terron Ward
118,210,Danny Woodhead,13.24,Danny Woodhead
119,211,Shaun Draughn,10.74,Shaun Draughn
120,212,Andre Ellington,8.52,Andre Ellington
121,213,Kenjon Barner,4.1,Kenjon Barner
122,215,Darren McFadden,14.31,Darren McFadden
123,216,Marcel Reece,5.99,Marcel Reece
124,219,Brandon Bolden,2.39,Brandon Bolden
125,222,T.J. Yeldon,15.83,T.J. Yeldon
126,224,Duke Johnson,12.06,Duke Johnson
127,225,Jerome Felton,1.09,NaN
128,231,Stefon Diggs,13.39,Stefon Diggs
129,232,Marquess Wilson,5.57,Marquess Wilson
130,233,Markus Wheaton,5.07,Markus Wheaton
131,234,Larry Fitzgerald,18.67,Larry Fitzgerald
132,235,Kenbrell Thompkins,2.87,Kenbrell Thompkins
133,236,Andre Johnson,10.58,Andre Johnson
134,237,Jeremy Maclin,12.26,Jeremy Maclin
135,238,Dwayne Bowe,10.93,Dwayne Bowe
136,240,Michael Crabtree,11.89,Michael Crabtree
137,241,Nate Washington,11.45,Nate Washington
138,243,Cecil Shorts,7.96,Cecil Shorts
139,245,Kendall Wright,11.47,Kendall Wright
140,246,DeSean Jackson,11.52,DeSean Jackson
141,247,Jerricho Cotchery,7.15,Jerricho Cotchery
142,251,Chris Givens,5.13,Chris Givens
143,252,Jerome Simpson,4.18,Jerome Simpson
144,253,Pierre Garcon,11.96,Pierre Garcon
145,254,Rueben Randle,11.28,Rueben Randle
146,256,Julio Jones,25.1,Julio Jones
147,258,Brian Quick,3.65,Brian Quick
148,260,Jordan Norwood,2.82,Jordan Norwood
149,261,Doug Baldwin,11.47,Doug Baldwin
150,263,Brian Hartline,9.18,Brian Hartline
151,265,Allen Robinson,15.21,Allen Robinson
152,266,Mike Evans,14.79,Mike Evans
153,270,Riley Cooper,5.71,Riley Cooper
154,271,Sammy Watkins,10.97,Sammy Watkins
155,272,Jeremy Kerley,5.51,Jeremy Kerley
156,273,Allen Hurns,12.64,Allen Hurns
157,274,Kamar Aiken,11.24,Kamar Aiken
158,276,Jarvis Landry,13.63,Jarvis Landry
159,277,Greg Jennings,2.77,Greg Jennings
160,278,Vincent Jackson,11.91,Vincent Jackson
161,280,Adam Humphries,6.99,Adam Humphries
162,281,Javontee Herndon,4.32,Javontee Herndon
163,282,Kenny Stills,6.22,Kenny Stills
164,283,Michael Floyd,10.38,Michael Floyd
165,285,Jaron Brown,4.23,Jaron Brown
166,287,Roddy White,9.15,Roddy White
167,291,J.J. Nelson,3.69,NaN
168,292,Eric Decker,14.46,Eric Decker
169,293,Cody Latimer,4.86,Cody Latimer
170,294,Jason Avant,4.26,Jason Avant
171,295,Jeremy Butler,5.81,Jeremy Butler
172,296,Chris Harper,3.47,Chris Harper
173,297,Bryan Walters,6.33,Bryan Walters
174,299,Charles Johnson,4.93,Charles Johnson
175,300,Josh Bellamy,4.62,Josh Bellamy
176,302,Davante Adams,11.02,Davante Adams
177,303,Randall Cobb,15.82,Randall Cobb
178,307,Chris Hogan,6.52,Chris Hogan
179,308,Steve Johnson,10.21,Steve Johnson
180,311,Alshon Jeffery,13.22,Alshon Jeffery
181,312,Jeff Janis,3.6,Jeff Janis
182,313,Calvin Johnson,15.58,Calvin Johnson
183,314,Miles Austin,4.47,Miles Austin
184,316,Amari Cooper,13.39,Amari Cooper
185,317,Corey Brown,5.68,NaN
186,318,Albert Wilson,5.92,Albert Wilson
187,320,Keshawn Martin,7.77,Keshawn Martin
188,321,Marqise Lee,5.09,Marqise Lee
189,322,Jermaine Kearse,8.12,Jermaine Kearse
190,323,Jarius Wright,5.5,Jarius Wright
191,324,Robert Woods,8.05,Robert Woods
192,326,Griff Whalen,6.0,Griff Whalen
193,327,Tyler Lockett,8.59,Tyler Lockett
194,328,Justin Hardy,7.41,Justin Hardy
195,329,Mike Wallace,7.7,Mike Wallace
196,330,Cole Beasley,7.12,Cole Beasley
197,331,Malcom Floyd,6.76,NaN
198,332,Anquan Boldin,11.59,Anquan Boldin
199,333,Dez Bryant,14.53,Dez Bryant
200,334,Cameron Meredith,3.22,Cameron Meredith
201,335,Bradley Marquez,3.03,Bradley Marquez
202,336,Mohamed Sanu,6.44,Mohamed Sanu
203,337,Harry Douglas,6.37,Harry Douglas
204,338,Odell Beckham,18.97,Odell Beckham Jr.
205,339,Andre Holmes,5.31,Andre Holmes
206,341,Kenny Britt,6.61,Kenny Britt
207,342,Martavis Bryant,10.32,Martavis Bryant
208,343,Antonio Brown,18.8,Antonio Brown
209,344,Demaryius Thomas,16.71,Demaryius Thomas
210,346,Dwayne Harris,7.06,Dwayne Harris
211,347,Bennie Fowler,1.36,Bennie Fowler
212,348,Josh Huff,5.74,Josh Huff
213,349,Seth Roberts,3.3,Seth Roberts
214,350,Jaelen Strong,4.34,Jaelen Strong
