Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16606,WR,DeAndre,Hopkins,19.9,10,9400,NO@HOU,HOU,NO,,
14190,WR,Julio,Jones,20.3,10,9300,MIN@ATL,ATL,MIN,,
6894,QB,Aaron,Rodgers,20.9,10,9200,CHI@GB,GB,CHI,,
31360,WR,Odell,Beckham Jr.,16.6,10,9100,NYG@WAS,NYG,WAS,,
6498,QB,Tom,Brady,24,10,9000,NE@DEN,NE,DEN,,
6703,RB,Adrian,Peterson,15.9,10,9000,MIN@ATL,MIN,ATL,,
11612,WR,Antonio,Brown,18.8,10,9000,PIT@SEA,PIT,SEA,,
14185,QB,Cam,Newton,23.3,10,8900,CAR@DAL,CAR,DAL,,
24920,RB,Devonta,Freeman,20.8,10,8900,MIN@ATL,ATL,MIN,Q,Concussion
30447,RB,Todd,Gurley,16.6,8,8800,STL@CIN,STL,CIN,,
11460,TE,Rob,Gronkowski,15.8,10,8400,NE@DEN,NE,DEN,,
11435,WR,Dez,Bryant,9.6,5,8300,CAR@DAL,DAL,CAR,P,Foot
6655,WR,Calvin,Johnson,12.8,10,8200,PHI@DET,DET,PHI,Q,Ankle
14187,WR,A.J.,Green,13.6,10,8200,STL@CIN,CIN,STL,,
6504,QB,Drew,Brees,21.3,9,8200,NO@HOU,NO,HOU,,
7806,RB,Darren,McFadden,10.9,10,8100,CAR@DAL,DAL,CAR,P,Groin
32384,WR,Mike,Evans,11.6,9,8100,TB@IND,TB,IND,,
6748,QB,Carson,Palmer,21.9,10,8100,ARI@SF,ARI,SF,,
9371,RB,Marshawn,Lynch,10.9,7,8000,PIT@SEA,SEA,PIT,Q,Abdomen
7968,QB,Philip,Rivers,19.3,10,8000,SD@JAC,SD,JAC,,
6639,QB,Tony,Romo,15.5,3,7900,CAR@DAL,DAL,CAR,P,Shoulder
6616,QB,Matt,Ryan,16.9,10,7900,MIN@ATL,ATL,MIN,,
14225,QB,Andy,Dalton,20.5,10,7900,STL@CIN,CIN,STL,,
28643,WR,Allen,Robinson,15.4,10,7900,SD@JAC,JAC,SD,,
6899,RB,Matt,Forte,15.3,7,7800,CHI@GB,CHI,GB,Q,Knee
6589,QB,Ben,Roethlisberger,18,6,7800,PIT@SEA,PIT,SEA,P,Foot
6759,WR,Brandon,Marshall,14.9,10,7800,MIA@NYJ,NYJ,MIA,,
14254,RB,DeMarco,Murray,14.3,9,7700,PHI@DET,PHI,DET,,
11432,WR,Demaryius,Thomas,13.3,10,7700,NE@DEN,DEN,NE,,
6826,QB,Eli,Manning,18.8,10,7700,NYG@WAS,NYG,WAS,,
21980,WR,Alshon,Jeffery,16.3,5,7600,CHI@GB,CHI,GB,Q,Groin
22015,QB,Russell,Wilson,17.5,10,7600,PIT@SEA,SEA,PIT,,
6779,RB,LeSean,McCoy,14.9,8,7600,BUF@KC,BUF,KC,,
21970,RB,Doug,Martin,14.3,10,7500,TB@IND,TB,IND,,
11505,WR,Emmanuel,Sanders,12.3,9,7500,NE@DEN,DEN,NE,Q,Ankle
14257,WR,Randall,Cobb,11.7,10,7400,CHI@GB,GB,CHI,,
14211,RB,Mark,Ingram,14.8,10,7400,NO@HOU,NO,HOU,,
45859,QB,Derek,Carr,18.2,10,7400,OAK@TEN,OAK,TEN,,
6883,WR,Larry,Fitzgerald,16.7,10,7400,ARI@SF,ARI,SF,,
11779,RB,LeGarrette,Blount,11.8,9,7300,NE@DEN,NE,DEN,,
29501,WR,Brandin,Cooks,13.2,10,7300,NO@HOU,NO,HOU,,
34308,QB,Blake,Bortles,19,10,7300,SD@JAC,JAC,SD,,
24849,QB,Jameis,Winston,18.1,10,7300,TB@IND,TB,IND,,
14377,QB,Tyrod,Taylor,18,8,7300,BUF@KC,BUF,KC,Q,Collarbone
6654,QB,Matthew,Stafford,16.6,10,7200,PHI@DET,DET,PHI,,
7659,QB,Ryan,Fitzpatrick,16.8,10,7200,MIA@NYJ,NYJ,MIA,P,Thumb
25760,WR,Allen,Hurns,13.4,10,7200,SD@JAC,JAC,SD,,
22037,RB,Lamar,Miller,14.9,10,7200,MIA@NYJ,MIA,NYJ,,
6733,RB,Jonathan,Stewart,11.3,10,7100,CAR@DAL,CAR,DAL,,
11501,WR,Eric,Decker,14.1,9,7100,MIA@NYJ,NYJ,MIA,,
7872,QB,Brian,Hoyer,16.8,7,7100,NO@HOU,HOU,NO,P,Concussion
6732,RB,DeAngelo,Williams,10.6,10,7100,PIT@SEA,PIT,SEA,,
11864,RB,Christopher,Ivory,14.8,9,7000,MIA@NYJ,NYJ,MIA,,
29358,QB,Marcus,Mariota,17.3,8,7000,OAK@TEN,TEN,OAK,,
31394,WR,Jarvis,Landry,13.9,10,7000,MIA@NYJ,MIA,NYJ,,
45889,WR,Davante,Adams,6.8,7,6900,CHI@GB,GB,CHI,P,Ankle
6898,QB,Jay,Cutler,17,9,6900,CHI@GB,CHI,GB,,
21948,QB,Ryan,Tannehill,16.7,10,6900,MIA@NYJ,MIA,NYJ,,
54687,RB,Charcandrick,West,8.6,10,6900,BUF@KC,KC,BUF,Q,Hamstring
11495,WR,Brandon,LaFell,7.8,5,6900,NE@DEN,NE,DEN,,
22031,WR,T.Y.,Hilton,11.3,10,6900,TB@IND,IND,TB,,
6566,RB,Chris,Johnson,10.3,10,6800,ARI@SF,ARI,SF,,
31001,WR,Amari,Cooper,12.2,10,6800,OAK@TEN,OAK,TEN,,
24641,WR,Sammy,Watkins,9.6,7,6800,BUF@KC,BUF,KC,,
11414,QB,Sam,Bradford,14.1,9,6700,PHI@DET,PHI,DET,Q,Shoulder
6687,QB,Mark,Sanchez,11.2,2,6700,PHI@DET,PHI,DET,,
21994,QB,Brock,Osweiler,9.7,3,6700,NE@DEN,DEN,NE,,
32415,QB,Johnny,Manziel,9.7,6,6700,BAL@CLE,CLE,BAL,P,Elbow
24675,WR,Martavis,Bryant,17,5,6700,PIT@SEA,PIT,SEA,,
6661,QB,Peyton,Manning,11.8,9,6700,NE@DEN,DEN,NE,O,Foot
22038,QB,Kirk,Cousins,15.8,10,6700,NYG@WAS,WAS,NYG,,
8005,QB,Alex,Smith,16.7,10,6600,BUF@KC,KC,BUF,,
25079,WR,Stefon,Diggs,12.7,7,6600,MIN@ATL,MIN,ATL,,
34331,RB,Latavius,Murray,11.9,10,6600,OAK@TEN,OAK,TEN,,
