"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6894","QB","Aaron","Rodgers","20.9","10","9200","CHI@GB","GB","CHI","","","",""
"14185","QB","Cam","Newton","23.3","10","8900","CAR@DAL","CAR","DAL","","","",""
"11435","WR","Dez","Bryant","9.6","5","8300","CAR@DAL","DAL","CAR","P","Foot","",""
"6655","WR","Calvin","Johnson","12.8","10","8200","PHI@DET","DET","PHI","Q","Ankle","",""
"7806","RB","Darren","McFadden","10.9","10","8100","CAR@DAL","DAL","CAR","P","Groin","",""
"6639","QB","Tony","Romo","15.5","3","7900","CAR@DAL","DAL","CAR","P","Shoulder","",""
"6899","RB","Matt","Forte","15.3","7","7800","CHI@GB","CHI","GB","Q","Knee","",""
"14254","RB","DeMarco","Murray","14.3","9","7700","PHI@DET","PHI","DET","","","",""
"21980","WR","Alshon","Jeffery","16.3","5","7600","CHI@GB","CHI","GB","Q","Groin","",""
"14257","WR","Randall","Cobb","11.7","10","7400","CHI@GB","GB","CHI","","","",""
"6654","QB","Matthew","Stafford","16.6","10","7200","PHI@DET","DET","PHI","","","",""
"6733","RB","Jonathan","Stewart","11.3","10","7100","CAR@DAL","CAR","DAL","","","",""
"45889","WR","Davante","Adams","6.8","7","6900","CHI@GB","GB","CHI","P","Ankle","",""
"6898","QB","Jay","Cutler","17","9","6900","CHI@GB","CHI","GB","","","",""
"11414","QB","Sam","Bradford","14.1","9","6700","PHI@DET","PHI","DET","Q","Shoulder","",""
"6687","QB","Mark","Sanchez","11.2","2","6700","PHI@DET","PHI","DET","","","",""
"30968","RB","Eddie","Lacy","7.3","9","6500","CHI@GB","GB","CHI","P","Ankle","",""
"6914","TE","Greg","Olsen","13.2","10","6400","CAR@DAL","CAR","DAL","","","",""
"11485","WR","Golden","Tate","8.3","10","6300","PHI@DET","DET","PHI","","","",""
"28202","RB","Jeremy","Langford","9.3","10","6200","CHI@GB","CHI","GB","","","",""
"30837","WR","Jordan","Matthews","9.4","10","6000","PHI@DET","PHI","DET","","","",""
"7778","QB","Matt","Cassel","10","5","6000","CAR@DAL","DAL","CAR","","","",""
"31836","WR","Terrance","Williams","7.8","10","5900","CAR@DAL","DAL","CAR","","","",""
"28080","WR","Devin","Funchess","4.7","10","5900","CAR@DAL","CAR","DAL","","","",""
"30108","WR","Marquess","Wilson","6","10","5800","CHI@GB","CHI","GB","","","",""
"6742","TE","Brent","Celek","4.9","10","5800","PHI@DET","PHI","DET","","","",""
"7222","WR","James","Jones","11.8","10","5800","CHI@GB","GB","CHI","","","",""
"11609","RB","James","Starks","9.3","10","5800","CHI@GB","GB","CHI","","","",""
"6641","TE","Jason","Witten","8.3","10","5600","CAR@DAL","DAL","CAR","","","",""
"33465","RB","Theo","Riddick","8.7","10","5500","PHI@DET","DET","PHI","","","",""
"27229","RB","Ameer","Abdullah","5.8","10","5400","PHI@DET","DET","PHI","","","",""
"6627","WR","Ted","Ginn Jr.","8.9","10","5400","CAR@DAL","CAR","DAL","P","Knee","",""
"6448","TE","Martellus","Bennett","8.6","10","5300","CHI@GB","CHI","GB","O","Ribs","",""
"11712","RB","Joique","Bell","4.8","7","5200","PHI@DET","DET","PHI","","","",""
"29314","TE","Richard","Rodgers","7.7","10","5200","CHI@GB","GB","CHI","","","",""
"11577","WR","Riley","Cooper","4.3","10","5200","PHI@DET","PHI","DET","","","",""
"22288","WR","Cole","Beasley","5.9","10","5200","CAR@DAL","DAL","CAR","","","",""
"25272","TE","Eric","Ebron","7.9","8","5100","PHI@DET","DET","PHI","P","Quadriceps","",""
"8050","TE","Zach","Miller","4.6","10","5100","CHI@GB","CHI","GB","","","",""
"29003","RB","Ka'Deem","Carey","1.6","6","5100","CHI@GB","CHI","GB","O","Head","",""
"8071","QB","Dan","Orlovsky","5.5","2","5000","PHI@DET","DET","PHI","","","",""
"43956","QB","David","Fales","0","0","5000","CHI@GB","CHI","GB","","","",""
"29340","WR","Josh","Huff","5.4","9","5000","PHI@DET","PHI","DET","","","",""
"6373","QB","Derek","Anderson","0.2","1","5000","CAR@DAL","CAR","DAL","","","",""
"11761","QB","Thaddeus","Lewis","0","0","5000","PHI@DET","PHI","DET","","","",""
"29734","WR","Ty","Montgomery","5.8","6","5000","CHI@GB","GB","CHI","O","Ankle","",""
"14696","QB","Scott","Tolzien","0","1","5000","CHI@GB","GB","CHI","","","",""
"11615","QB","Joe","Webb","0","10","5000","CAR@DAL","CAR","DAL","","","",""
"7972","RB","Darren","Sproles","7.4","10","5000","PHI@DET","PHI","DET","","","",""
"6783","WR","Lance","Moore","6.6","10","5000","PHI@DET","DET","PHI","","","",""
"29780","TE","Zach","Ertz","5.8","10","5000","PHI@DET","PHI","DET","O","Concussion","",""
"11425","RB","Ryan","Mathews","10.4","9","4900","PHI@DET","PHI","DET","O","Concussion","",""
"10744","K","Graham","Gano","10.5","10","4900","CAR@DAL","CAR","DAL","","","",""
"25886","WR","Devin","Street","1.7","10","4900","CAR@DAL","DAL","CAR","","","",""
"39445","WR","Brice","Butler","3.1","4","4900","CAR@DAL","DAL","CAR","P","Hamstring","",""
"12533","D","Green Bay","Packers","7.8","10","4900","CHI@GB","GB","CHI","","","",""
"7975","RB","Mike","Tolbert","4.5","10","4900","CAR@DAL","CAR","DAL","","","",""
"22048","RB","Robert","Turbin","3","4","4900","CAR@DAL","DAL","CAR","","","",""
"28933","WR","Jared","Abbrederis","1.5","5","4900","CHI@GB","GB","CHI","O","Ribs","",""
"29683","WR","Nelson","Agholor","2.8","7","4800","PHI@DET","PHI","DET","","","",""
"12545","D","Philadelphia","Eagles","9","10","4800","PHI@DET","PHI","DET","","","",""
"11488","TE","Ed","Dickson","2.7","10","4800","CAR@DAL","CAR","DAL","","","",""
"6688","WR","Jerricho","Cotchery","5.1","8","4800","CAR@DAL","CAR","DAL","","","",""
"30261","K","Caleb","Sturgis","8.7","7","4800","PHI@DET","PHI","DET","","","",""
"6387","WR","Miles","Austin","3.3","10","4700","PHI@DET","PHI","DET","","","",""
"29357","RB","Kenjon","Barner","0.9","4","4700","PHI@DET","PHI","DET","","","",""
"6897","K","Mason","Crosby","8.8","10","4700","CHI@GB","GB","CHI","","","",""
"28486","WR","Corey (Philly)","Brown","5.9","9","4700","CAR@DAL","CAR","DAL","Q","Shoulder","",""
"12553","D","Carolina","Panthers","10.7","10","4700","CAR@DAL","CAR","DAL","","","",""
"14952","K","Dan","Bailey","8.6","10","4700","CAR@DAL","DAL","CAR","","","",""
"6768","WR","Eddie","Royal","6","6","4700","CHI@GB","CHI","GB","O","Knee","",""
"10046","RB","Antone","Smith","0.3","4","4600","CHI@GB","CHI","GB","","","",""
"54694","TE","Justin","Perillo","3.6","5","4600","CHI@GB","GB","CHI","","","",""
"6910","K","Robbie","Gould","9.7","10","4600","CHI@GB","CHI","GB","","","",""
"38269","RB","Cameron","Artis-Payne","0.8","4","4500","CAR@DAL","CAR","DAL","","","",""
"7394","TE","Brandon","Pettigrew","2.5","5","4500","PHI@DET","DET","PHI","","","",""
"21990","WR","Ryan","Broyles","0","0","4500","PHI@DET","DET","PHI","","","",""
"33552","WR","TJ","Jones","-0.1","5","4500","PHI@DET","DET","PHI","","","",""
"62617","TE","Khari","Lee","0","10","4500","CHI@GB","CHI","GB","","","",""
"37245","RB","Foswhitt","Whittaker","1.1","10","4500","CAR@DAL","CAR","DAL","","","",""
"26343","WR","Corey","Fuller","0.6","9","4500","PHI@DET","DET","PHI","","","",""
"26074","TE","Tim","Wright","2.8","6","4500","PHI@DET","DET","PHI","","","",""
"27445","WR","Jalen","Saunders","0","0","4500","CHI@GB","CHI","GB","","","",""
"39411","TE","Gavin","Escobar","1.4","10","4500","CAR@DAL","DAL","CAR","","","",""
"32410","RB","Trey","Williams","0","0","4500","CAR@DAL","DAL","CAR","","","",""
"47953","WR","Lucky","Whitehead","0.6","9","4500","CAR@DAL","DAL","CAR","","","",""
"22336","WR","Josh","Bellamy","2.6","10","4500","CHI@GB","CHI","GB","","","",""
"28545","RB","Rod","Smith","0.1","5","4500","CAR@DAL","DAL","CAR","","","",""
"22123","TE","James","Hanna","0.4","8","4500","CAR@DAL","DAL","CAR","","","",""
"44090","RB","Alonzo","Harris","0.3","6","4500","CHI@GB","GB","CHI","","","",""
