Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
DeAndre Hopkins,16606,WR,9400,NO@HOU,19.9,HOU,30.0,24.0,26.9,21.0,25.55,14.23,15.312,22.4274285714,30.0,14.23,15.77,0.703156848757
Julio Jones,14190,WR,9300,MIN@ATL,20.3,ATL,28.0,30.5,25.1,26.8,26.48,17.01,14.178,24.0097142857,30.5,14.178,16.322,0.679808172882
Aaron Rodgers,6894,QB,9200,CHI@GB,20.9,GB,20.1,29.64,22.81,29.64,20.092,20.774,23.5426,23.7998,29.64,20.092,9.548,0.401179841847
Odell Beckham Jr.,31360,WR,9100,NYG@WAS,16.6,NYG,27.5,30.5,18.97,27.0,19.27,17.23,13.9325,22.0575,30.5,13.9325,16.5675,0.751105066304
Tom Brady,6498,QB,9000,NE@DEN,24.0,NE,18.8,24.08,15.0,24.08,19.692,16.314,20.1678,19.7334,24.08,15.0,9.08,0.46013358063
Adrian Peterson,6703,RB,9000,MIN@ATL,15.9,MIN,19.0,22.7,15.81,24.9,17.78,19.76,15.3079,19.3225571429,24.9,15.3079,9.5921,0.496419802466
Antonio Brown,11612,WR,9000,PIT@SEA,18.8,PIT,27.0,21.1,18.8,19.6,24.9,17.98,13.545,20.4178571429,27.0,13.545,13.455,0.658981983558
Cam Newton,14185,QB,8900,CAR@DAL,23.3,CAR,20.2,20.48,21.54,21.48,20.612,19.924,20.599,20.6907142857,21.54,19.924,1.616,0.0781026685539
Devonta Freeman,24920,RB,8900,MIN@ATL,20.8,ATL,,,,,,,,,,,,
Todd Gurley,30447,RB,8800,STL@CIN,16.6,STL,19.5,17.7,20.56,17.2,14.15,17.71,15.3245,17.4492142857,20.56,14.15,6.41,0.367351784157
Rob Gronkowski,11460,TE,8400,NE@DEN,15.8,NE,19.0,23.0,14.42,21.5,15.78,14.64,10.297,16.9481428571,23.0,10.297,12.703,0.749521650075
Dez Bryant,11435,WR,8300,CAR@DAL,9.6,DAL,12.0,23.4,14.53,20.7,15.63,15.27,11.1847,16.1021,23.4,11.1847,12.2153,0.758615335888
Calvin Johnson,6655,WR,8200,PHI@DET,12.8,DET,20.0,15.2,15.58,12.6,17.98,15.87,10.907,15.4481428571,20.0,10.907,9.093,0.58861444279
A.J. Green,14187,WR,8200,STL@CIN,13.6,CIN,21.0,31.6,16.87,27.4,16.44,16.26,11.6685,20.1769285714,31.6,11.6685,19.9315,0.987836177813
Drew Brees,6504,QB,8200,NO@HOU,21.3,NO,18.2,26.9,16.42,27.9,23.962,15.554,20.414,21.3357142857,27.9,15.554,12.346,0.578654168062
Darren McFadden,7806,RB,8100,CAR@DAL,10.9,DAL,16.5,14.0,14.31,13.4,17.59,16.11,10.8205,14.6757857143,17.59,10.8205,6.7695,0.461270022048
Mike Evans,32384,WR,8100,TB@IND,11.6,TB,18.5,25.0,14.79,22.5,16.19,15.64,10.2295,17.5499285714,25.0,10.2295,14.7705,0.841627357051
Carson Palmer,6748,QB,8100,ARI@SF,21.9,ARI,22.0,16.34,23.31,17.34,21.02,24.33,22.2706,20.9443714286,24.33,16.34,7.99,0.381486741068
Marshawn Lynch,9371,RB,8000,PIT@SEA,10.9,SEA,,,,,,,,,,,,
Philip Rivers,7968,QB,8000,SD@JAC,19.3,SD,18.6,18.72,17.2,19.72,21.486,24.514,21.4984,20.2483428571,24.514,17.2,7.314,0.36121474491
Tony Romo,6639,QB,7900,CAR@DAL,15.5,DAL,17.9,,14.34,,20.068,,18.9824,17.8226,20.068,14.34,5.728,0.321389696228
Matt Ryan,6616,QB,7900,MIN@ATL,16.9,ATL,19.2,22.82,17.01,23.82,20.916,18.422,19.512,20.2428571429,23.82,17.01,6.81,0.336414961186
Andy Dalton,14225,QB,7900,STL@CIN,20.5,CIN,20.7,17.6,18.49,18.6,18.688,18.834,18.9014,18.8304857143,20.7,17.6,3.1,0.164626661629
Allen Robinson,28643,WR,7900,SD@JAC,15.4,JAC,20.0,17.8,15.21,16.9,17.13,13.67,11.205,15.9878571429,20.0,11.205,8.795,0.550104990394
Matt Forte,6899,RB,7800,CHI@GB,15.3,CHI,19.0,16.3,10.82,16.7,14.0,18.53,11.1325,15.2117857143,19.0,10.82,8.18,0.537740943347
Ben Roethlisberger,6589,QB,7800,PIT@SEA,18.0,PIT,19.7,17.84,12.59,18.84,17.45,20.11,18.3427,17.8389571429,20.11,12.59,7.52,0.421549305813
Brandon Marshall,6759,WR,7800,MIA@NYJ,14.9,NYJ,13.5,19.6,16.39,18.8,15.43,16.07,12.082,15.9817142857,19.6,12.082,7.518,0.470412614416
DeMarco Murray,14254,RB,7700,PHI@DET,14.3,PHI,21.0,14.6,17.18,15.2,19.36,21.29,13.2905,17.4172142857,21.29,13.2905,7.9995,0.459286994394
Demaryius Thomas,11432,WR,7700,NE@DEN,13.3,DEN,20.5,29.4,16.71,26.2,16.36,12.28,10.6111,18.8658714286,29.4,10.6111,18.7889,0.995920070331
Eli Manning,6826,QB,7700,NYG@WAS,18.8,NYG,18.6,17.54,19.27,18.54,17.772,18.382,18.5996,18.3862285714,19.27,17.54,1.73,0.0940921621462
Alshon Jeffery,21980,WR,7600,CHI@GB,16.3,CHI,19.5,22.6,13.22,20.4,19.1,13.46,9.7425,16.8603571429,22.6,9.7425,12.8575,0.762587642187
Russell Wilson,22015,QB,7600,PIT@SEA,17.5,SEA,20.7,19.5,19.21,20.5,18.918,21.184,17.2222,19.6048857143,21.184,17.2222,3.9618,0.202082279782
LeSean McCoy,6779,RB,7600,BUF@KC,14.9,BUF,19.5,14.9,14.12,14.7,17.45,18.21,10.783,15.6661428571,19.5,10.783,8.717,0.556422859123
Doug Martin,21970,RB,7500,TB@IND,14.3,TB,19.5,13.6,12.84,13.7,14.53,14.21,15.202,14.7974285714,19.5,12.84,6.66,0.450078198915
Emmanuel Sanders,11505,WR,7500,NE@DEN,12.3,DEN,9.5,23.6,15.01,20.9,14.26,10.05,9.069,14.627,23.6,9.069,14.531,0.993436794968
Randall Cobb,14257,WR,7400,CHI@GB,11.7,GB,17.5,25.7,15.82,23.2,14.28,16.33,11.0145,17.6920714286,25.7,11.0145,14.6855,0.830061084667
Mark Ingram,14211,RB,7400,NO@HOU,14.8,NO,18.5,12.5,15.48,13.8,18.25,15.95,13.1275,15.3725,18.5,12.5,6.0,0.390307367052
Derek Carr,45859,QB,7400,OAK@TEN,18.2,OAK,18.3,17.82,15.64,18.82,17.69,18.126,18.1014,17.7853428571,18.82,15.64,3.18,0.178798914676
Derek Carr,45859,QB,7400,OAK@TEN,18.2,OAK,18.3,17.82,15.64,18.82,17.69,3.23,18.1014,15.6573428571,18.82,3.23,15.59,0.99569896005
Larry Fitzgerald,6883,WR,7400,ARI@SF,16.7,ARI,23.0,19.0,18.67,17.5,18.97,17.63,12.7875,18.2225,23.0,12.7875,10.2125,0.560433529977
LeGarrette Blount,11779,RB,7300,NE@DEN,11.8,NE,12.5,11.0,10.15,11.8,12.73,10.93,10.9635,11.4390714286,12.73,10.15,2.58,0.225542782569
Brandin Cooks,29501,WR,7300,NO@HOU,13.2,NO,20.0,18.7,14.48,18.7,14.89,11.75,9.896,15.488,20.0,9.896,10.104,0.652376033058
Blake Bortles,34308,QB,7300,SD@JAC,19.0,JAC,20.0,18.2,18.31,19.2,21.054,20.612,18.956,19.476,21.054,18.2,2.854,0.146539330458
Jameis Winston,24849,QB,7300,TB@IND,18.1,TB,13.5,14.48,16.11,16.48,16.65,18.102,16.3424,15.9520571429,18.102,13.5,4.602,0.288489437995
Tyrod Taylor,14377,QB,7300,BUF@KC,18.0,BUF,16.2,12.24,15.78,13.24,15.528,18.018,14.3944,15.0572,18.018,12.24,5.778,0.383736684111
Matthew Stafford,6654,QB,7200,PHI@DET,16.6,DET,18.6,14.8,18.34,15.8,19.122,18.286,17.7588,17.5295428571,19.122,14.8,4.322,0.246555203135
Ryan Fitzpatrick,7659,QB,7200,MIA@NYJ,16.8,NYJ,16.2,18.28,17.85,19.28,18.206,15.298,18.7554,17.6956285714,19.28,15.298,3.982,0.225027327169
Allen Hurns,25760,WR,7200,SD@JAC,13.4,JAC,17.5,18.4,12.64,17.2,12.0,14.49,8.595,14.4035714286,18.4,8.595,9.805,0.680733944954
Lamar Miller,22037,RB,7200,MIA@NYJ,14.9,MIA,14.0,13.2,13.82,14.1,14.51,14.83,9.6575,13.4453571429,14.83,9.6575,5.1725,0.384705288602
Jonathan Stewart,6733,RB,7100,CAR@DAL,11.3,CAR,16.0,14.7,11.86,15.4,12.35,16.62,11.9669,14.1281285714,16.62,11.86,4.76,0.336916526201
Eric Decker,11501,WR,7100,MIA@NYJ,14.1,NYJ,19.5,10.0,14.46,9.0,14.91,13.13,10.7475,13.1067857143,19.5,9.0,10.5,0.801111746914
Brian Hoyer,7872,QB,7100,NO@HOU,16.8,HOU,19.1,,19.42,,20.094,15.884,19.5924,18.81808,20.094,15.884,4.21,0.223721017234
DeAngelo Williams,6732,RB,7100,PIT@SEA,10.6,PIT,13.0,9.0,14.27,10.3,15.5,18.27,12.444,13.2548571429,18.27,9.0,9.27,0.699366270047
Christopher Ivory,11864,RB,7000,MIA@NYJ,14.8,NYJ,,,,,,,,,,,,
Marcus Mariota,29358,QB,7000,OAK@TEN,17.3,TEN,18.5,19.08,16.09,20.08,16.064,16.934,17.8154,17.7947714286,20.08,16.064,4.016,0.225684270018
Jarvis Landry,31394,WR,7000,MIA@NYJ,13.9,MIA,19.5,17.2,13.63,16.7,16.62,13.13,9.83,15.23,19.5,9.83,9.67,0.634931057124
Davante Adams,45889,WR,6900,CHI@GB,6.8,GB,12.0,15.2,11.02,14.6,11.8,13.67,7.2476,12.2196571429,15.2,7.2476,7.9524,0.650787489946
Jay Cutler,6898,QB,6900,CHI@GB,17.0,CHI,18.7,16.86,15.59,17.86,16.754,15.77,16.991,16.9321428571,18.7,15.59,3.11,0.18367433031
Ryan Tannehill,21948,QB,6900,MIA@NYJ,16.7,MIA,13.3,18.38,14.52,19.38,17.226,16.62,13.6104,16.1480571429,19.38,13.3,6.08,0.376515883379
Charcandrick West,54687,RB,6900,BUF@KC,8.6,KC,,13.1,9.08,14.8,,,5.8335,10.703375,14.8,5.8335,8.9665,0.837726418069
Brandon LaFell,11495,WR,6900,NE@DEN,7.8,NE,11.5,16.8,10.19,16.5,13.38,14.24,9.764,13.1962857143,16.8,9.764,7.036,0.533180332128
T.Y. Hilton,22031,WR,6900,TB@IND,11.3,IND,18.0,19.3,14.8,26.3,12.92,14.11,10.1835,16.5162142857,26.3,10.1835,16.1165,0.97579867403
Chris Johnson,6566,RB,6800,ARI@SF,10.3,ARI,15.5,6.7,10.85,7.5,14.41,14.91,11.6295,11.6427857143,15.5,6.7,8.8,0.75583285787
Amari Cooper,31001,WR,6800,OAK@TEN,12.2,OAK,19.5,29.2,13.39,27.1,13.98,14.58,10.336,18.298,29.2,10.336,18.864,1.03093234233
Sammy Watkins,24641,WR,6800,BUF@KC,9.6,BUF,14.5,15.8,10.97,15.0,13.53,10.33,9.6895,12.8313571429,15.8,9.6895,6.1105,0.476216189135
Sam Bradford,11414,QB,6700,PHI@DET,14.1,PHI,,,,,,,,,,,,
Mark Sanchez,6687,QB,6700,PHI@DET,11.2,PHI,18.2,20.08,16.63,21.08,16.054,18.866,17.2234,18.3047714286,21.08,16.054,5.026,0.274573218224
Brock Osweiler,21994,QB,6700,NE@DEN,9.7,DEN,14.1,,15.25,,15.782,13.566,16.0514,14.94988,16.0514,13.566,2.4854,0.166248826078
Johnny Manziel,32415,QB,6700,BAL@CLE,9.7,CLE,,,,,,,,,,,,
Martavis Bryant,24675,WR,6700,PIT@SEA,17.0,PIT,12.5,18.1,10.32,17.2,13.16,13.48,8.53,13.3271428571,18.1,8.53,9.57,0.718083395862
Peyton Manning,6661,QB,6700,NE@DEN,11.8,DEN,,,,,,,,,,,,
Kirk Cousins,22038,QB,6700,NYG@WAS,15.8,WAS,17.2,17.4,14.32,18.4,16.952,21.95,17.7864,17.7154857143,21.95,14.32,7.63,0.430696630228
Alex Smith,8005,QB,6600,BUF@KC,16.7,KC,15.5,12.82,16.43,13.82,16.426,17.692,14.4318,15.3028285714,17.692,12.82,4.872,0.318372513765
Stefon Diggs,25079,WR,6600,MIN@ATL,12.7,MIN,17.5,20.8,13.39,19.4,11.34,13.38,9.626,15.0622857143,20.8,9.626,11.174,0.741852877575
Latavius Murray,34331,RB,6600,OAK@TEN,11.9,OAK,17.5,13.5,11.77,13.7,12.41,16.28,12.06,13.8885714286,17.5,11.77,5.73,0.412569430158
Eddie Lacy,30968,RB,6500,CHI@GB,7.3,GB,6.5,16.9,12.92,15.8,10.88,17.28,11.366,13.0922857143,17.28,6.5,10.78,0.823385636034
Gary Barnidge,6422,TE,6500,BAL@CLE,13.3,CLE,18.0,19.4,13.53,19.7,14.3,12.47,8.222,15.0888571429,19.7,8.222,11.478,0.760693794853
Teddy Bridgewater,33259,QB,6500,MIN@ATL,13.6,MIN,14.2,17.5,14.83,18.5,13.8,17.858,16.2708,16.1369714286,18.5,13.8,4.7,0.291256635163
Jeremy Hill,31397,RB,6500,STL@CIN,9.4,CIN,12.0,11.2,10.82,10.7,10.8,8.77,8.538,10.404,12.0,8.538,3.462,0.332756632065
T.J. Yeldon,31061,RB,6500,SD@JAC,11.0,JAC,20.5,15.7,15.83,16.3,14.45,16.61,12.7626,16.0218,20.5,12.7626,7.7374,0.482929508545
Michael Crabtree,9392,WR,6500,OAK@TEN,12.8,OAK,18.0,16.6,11.89,15.3,14.76,14.71,7.976,14.1765714286,18.0,7.976,10.024,0.7070821073
Greg Olsen,6914,TE,6400,CAR@DAL,13.2,CAR,18.5,18.8,14.18,17.4,15.13,10.75,9.9655,14.9607857143,18.8,9.9655,8.8345,0.590510429647
Michael Floyd,21952,WR,6400,ARI@SF,9.6,ARI,9.0,7.8,10.38,7.9,12.08,10.66,6.9202,9.2486,12.08,6.9202,5.1598,0.557900655234
Vincent Jackson,7953,WR,6400,TB@IND,10.0,TB,10.0,16.6,11.91,15.3,12.01,14.9,9.089,12.8298571429,16.6,9.089,7.511,0.585431304212
Frank Gore,6840,RB,6400,TB@IND,11.2,IND,16.5,14.7,13.8,15.4,14.67,13.86,9.0455,13.9965,16.5,9.0455,7.4545,0.532597435073
Matt Hasselbeck,6831,QB,6400,TB@IND,15.6,IND,17.4,7.84,17.44,8.84,18.366,18.594,16.2037,14.9548142857,18.594,7.84,10.754,0.719099535076
Golden Tate,11485,WR,6300,PHI@DET,8.3,DET,16.0,12.2,12.2,11.2,13.22,14.58,7.6752,12.4393142857,16.0,7.6752,8.3248,0.66923303076
Ronnie Hillman,22003,RB,6300,NE@DEN,9.0,DEN,16.5,15.6,11.41,15.2,10.02,11.27,9.624,12.8034285714,16.5,9.624,6.876,0.537043649023
Javorius Allen,29645,RB,6300,BAL@CLE,4.2,BAL,19.5,14.7,14.31,17.4,14.33,19.65,10.6595,15.7927857143,19.65,10.6595,8.9905,0.569278920303
Giovani Bernard,25290,RB,6300,STL@CIN,11.8,CIN,11.0,16.9,13.89,17.0,14.33,14.53,10.0165,13.9523571429,17.0,10.0165,6.9835,0.500524744923
Willie Snead,44449,WR,6300,NO@HOU,9.9,NO,11.0,12.4,10.83,10.2,11.59,8.09,5.69,9.97142857143,12.4,5.69,6.71,0.672922636103
Josh McCown,6803,QB,6300,BAL@CLE,16.9,CLE,18.6,17.8,17.06,18.8,19.492,17.684,16.3566,17.9703714286,19.492,16.3566,3.1354,0.174476082059
Thomas Rawls,28095,RB,6300,PIT@SEA,8.7,SEA,17.0,16.7,16.05,15.2,14.84,8.57,12.103,14.3518571429,17.0,8.57,8.43,0.587380428616
Nick Foles,22027,QB,6300,STL@CIN,10.3,STL,12.1,17.04,11.46,18.04,9.92,,5.5168,12.3461333333,18.04,5.5168,12.5232,1.01434187222
DeSean Jackson,6739,WR,6300,NYG@WAS,6.4,WAS,18.5,19.2,11.52,17.7,11.99,15.76,9.4325,14.8717857143,19.2,9.4325,9.7675,0.656780576835
Jeremy Langford,28202,RB,6200,CHI@GB,9.3,CHI,10.0,16.6,12.65,16.8,8.97,8.63,7.8985,11.6497857143,16.8,7.8985,8.9015,0.764091307627
Jeremy Maclin,7283,WR,6200,BUF@KC,10.8,KC,11.0,18.2,12.26,17.1,13.59,15.89,9.25,13.8985714286,18.2,9.25,8.95,0.643951074108
Tyler Eifert,33557,TE,6200,STL@CIN,13.6,CIN,16.0,21.2,14.54,19.6,12.78,11.44,8.765,14.9035714286,21.2,8.765,12.435,0.834363767074
Tevin Coleman,27776,RB,6200,MIN@ATL,3.3,ATL,16.5,2.2,12.4,3.0,15.26,2.86,13.2305,9.35007142857,16.5,2.2,14.3,1.52940008098
Rishard Matthews,22163,WR,6200,MIA@NYJ,11.2,MIA,10.5,15.4,9.03,14.7,10.1,10.28,7.4175,11.0610714286,15.4,7.4175,7.9825,0.721675115431
Matt Schaub,6679,QB,6200,BAL@CLE,0.0,BAL,12.9,10.62,13.42,11.62,15.346,15.418,18.0106,13.9049428571,18.0106,10.62,7.3906,0.531508836529
Spencer Ware,31459,RB,6100,BUF@KC,6.2,KC,16.0,,12.97,,13.89,14.55,7.6695,13.0159,16.0,7.6695,8.3305,0.640024892631
Kamar Aiken,14905,WR,6100,BAL@CLE,8.0,BAL,14.0,16.4,11.24,17.2,12.73,14.76,9.888,13.7454285714,17.2,9.888,7.312,0.531958677171
Danny Amendola,8117,WR,6100,NE@DEN,9.0,NE,,,,,,,,,,,,
Danny Woodhead,9421,RB,6100,SD@JAC,13.0,SD,20.0,19.0,13.24,18.3,13.43,12.06,9.0135,15.0062142857,20.0,9.0135,10.9865,0.732130022324
Delanie Walker,6863,TE,6100,OAK@TEN,12.0,TEN,18.5,19.0,9.49,17.5,11.48,11.57,7.304,13.5491428571,19.0,7.304,11.696,0.86322803762
Jordan Matthews,30837,WR,6000,PHI@DET,9.4,PHI,17.5,12.2,11.81,11.1,13.49,14.84,8.364,12.7577142857,17.5,8.364,9.136,0.716115739497
Matt Cassel,7778,QB,6000,CAR@DAL,10.0,DAL,,16.44,,15.44,,,,15.94,16.44,15.44,1.0,0.0627352572146
Blaine Gabbert,14194,QB,6000,ARI@SF,16.7,SF,12.5,18.28,12.24,20.28,14.838,11.438,12.405,14.5687142857,20.28,11.438,8.842,0.606916974731
Colin Kaepernick,14231,QB,6000,ARI@SF,12.6,SF,,,,,,,,,,,,
Carlos Hyde,28473,RB,6000,ARI@SF,10.8,SF,,,,,,,,,,,,
Geno Smith,26483,QB,6000,MIA@NYJ,21.0,NYJ,,,,,,,,,,,,
Zach Mettenberger,31421,QB,6000,OAK@TEN,3.9,TEN,,,,,,,,,,,,
Duke Johnson,25837,RB,6000,BAL@CLE,8.9,CLE,9.5,9.3,12.06,9.2,12.27,13.37,5.167,10.1238571429,13.37,5.167,8.203,0.81026429791
T.J. Yates,14344,QB,6000,NO@HOU,10.6,HOU,,12.24,,13.24,,,,12.74,13.24,12.24,1.0,0.0784929356358
Terrance Williams,31836,WR,5900,CAR@DAL,7.8,DAL,18.0,7.4,9.91,6.7,10.44,8.88,5.0075,9.47678571429,18.0,5.0075,12.9925,1.37098172225
Devin Funchess,28080,WR,5900,CAR@DAL,4.7,CAR,17.0,5.4,7.02,4.7,10.12,6.96,4.656,7.97942857143,17.0,4.656,12.344,1.54697794328
Donte Moncrief,31561,WR,5900,TB@IND,9.9,IND,11.0,15.7,11.47,15.0,11.64,11.49,8.759,12.1512857143,15.7,8.759,6.941,0.571215274104
Brandon Bolden,22898,RB,5900,NE@DEN,1.7,NE,3.0,2.6,2.39,3.1,2.5,3.95,,2.92333333333,3.95,2.39,1.56,0.533637400228
Matt Jones,30244,RB,5900,NYG@WAS,8.7,WAS,9.5,11.4,9.6,13.5,9.54,8.32,4.2965,9.45092857143,13.5,4.2965,9.2035,0.973819654909
Alfred Blue,31406,RB,5900,NO@HOU,6.3,HOU,9.0,6.2,10.45,6.3,12.65,11.19,10.5795,9.48135714286,12.65,6.2,6.45,0.680282358614
