,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,35,Cardinals,12.7,Arizona Cardinals,12.7,12.7,12.7,12.7,12.7,12.7,12.7,Arizona Cardinals
1,62,Eagles,10.1,Philadelphia Eagles,10.1,10.1,10.1,10.1,10.1,10.1,10.1,Philadelphia Eagles
2,67,Seahawks,9.7,Seattle Seahawks,9.7,9.7,9.7,9.7,9.7,9.7,9.7,Seattle Seahawks
3,104,Panthers,8.1,Carolina Panthers,8.1,8.1,8.1,8.1,8.1,8.1,8.1,Carolina Panthers
4,109,Jets,8.1,New York Jets,8.1,8.1,8.1,8.1,8.1,8.1,8.1,New York Jets
5,135,Patriots,7.4,New England Patriots,7.4,7.4,7.4,7.4,7.4,7.4,7.4,New England Patriots
6,143,Bills,7.1,Buffalo Bills,7.1,7.1,7.1,7.1,7.1,7.1,7.1,Buffalo Bills
7,154,Bengals,6.9,Cincinnati Bengals,6.9,6.9,6.9,6.9,6.9,6.9,6.9,Cincinnati Bengals
8,160,Chiefs,6.9,Kansas City Chiefs,6.9,6.9,6.9,6.9,6.9,6.9,6.9,Kansas City Chiefs
9,161,Packers,6.8,Green Bay Packers,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Green Bay Packers
10,167,Broncos,6.6,Denver Broncos,6.6,6.6,6.6,6.6,6.6,6.6,6.6,Denver Broncos
11,172,Texans,6.4,Houston Texans,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Houston Texans
12,178,Steelers,6.3,Pittsburgh Steelers,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Pittsburgh Steelers
13,189,Chargers,6.0,San Diego Chargers,6.0,6.0,6.0,6.0,6.0,6.0,6.0,San Diego Chargers
14,190,Ravens,6.0,Baltimore Ravens,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Baltimore Ravens
15,192,Falcons,5.9,Atlanta Falcons,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Atlanta Falcons
16,197,Titans,5.6,Tennessee Titans,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Tennessee Titans
17,198,Buccaneers,5.6,Tampa Bay Buccaneers,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Tampa Bay Buccaneers
18,208,Colts,5.5,Indianapolis Colts,5.5,5.5,5.5,5.5,5.5,5.5,5.5,Indianapolis Colts
19,212,Rams,5.4,St Louis Rams,5.4,5.4,5.4,5.4,5.4,5.4,5.4,St Louis Rams
20,214,Raiders,5.3,Oakland Raiders,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Oakland Raiders
21,215,Vikings,5.3,Minnesota Vikings,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Minnesota Vikings
22,217,Dolphins,5.3,Miami Dolphins,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Miami Dolphins
23,227,Giants,4.9,New York Giants,4.9,4.9,4.9,4.9,4.9,4.9,4.9,New York Giants
24,231,Cowboys,4.4,Dallas Cowboys,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Dallas Cowboys
25,233,Browns,4.4,Cleveland Browns,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Cleveland Browns
26,253,Redskins,3.8,Washington Redskins,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Washington Redskins
27,260,Bears,3.4,Chicago Bears,3.4,3.4,3.4,3.4,3.4,3.4,3.4,Chicago Bears
28,282,Saints,2.9,New Orleans Saints,2.9,2.9,2.9,2.9,2.9,2.9,2.9,New Orleans Saints
29,294,Lions,2.6,Detroit Lions,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Detroit Lions
30,306,Jaguars,2.0,Jacksonville Jaguars,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Jacksonville Jaguars
31,349,49ers,1.2,San Francisco 49ers,1.2,1.2,1.2,1.2,1.2,1.2,1.2,San Francisco 49ers
