,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
0,Julio Jones,WR,9400,Min@Atl 01:00PM ET,26.69,Atl,28.0,30.5,25.1,26.8,26.48,24.265,25.4507142857,30.5,17.01,13.49,0.530044062754,10.6
1,DeAndre Hopkins,WR,9100,NO@Hou 01:00PM ET,25.15,Hou,30.0,24.0,26.9,21.0,25.55,26.121,23.9715714286,30.0,14.23,15.77,0.657862587231,8.6
2,Antonio Brown,WR,8700,Pit@Sea 04:25PM ET,24.69,Pit,27.0,21.1,18.8,19.6,24.9,19.321,21.243,27.0,17.98,9.02,0.424610459916,11.1
3,Odell Beckham Jr.,WR,8700,NYG@Was 01:00PM ET,21.26,NYG,27.5,30.5,18.97,27.0,19.27,19.319,22.827,30.5,17.23,13.27,0.581329127787,32.2
4,Devonta Freeman,RB,8300,Min@Atl 01:00PM ET,24.44,Atl,,,,,,,,,,,,
5,Tom Brady,QB,8000,NE@Den 08:30PM ET,25.96,NE,18.8,24.08,15.0,24.08,19.692,20.1868,19.7361142857,24.08,15.0,9.08,0.460070298973,23.2
6,Rob Gronkowski,TE,7900,NE@Den 08:30PM ET,19.83,NE,19.0,23.0,14.42,21.5,15.78,15.693,17.719,23.0,14.42,8.58,0.48422597212,20.8
7,Julian Edelman,WR,7800,NE@Den 08:30PM ET,19.611,NE,,,,,,,,,,,,
8,Dez Bryant,WR,7600,Car@Dal 04:30PM ET,12.28,Dal,12.0,23.4,14.53,20.7,15.63,16.3432,16.8390285714,23.4,12.0,11.4,0.67699867315,4.6
9,Todd Gurley,RB,7500,StL@Cin 01:00PM ET,19.213,StL,19.5,17.7,20.56,17.2,14.15,18.982,17.9717142857,20.56,14.15,6.41,0.356671595046,4.0
10,Aaron Rodgers,QB,7400,Chi@GB 08:30PM ET,22.498,GB,20.1,29.64,22.81,29.64,20.092,26.5616,24.2310857143,29.64,20.092,9.548,0.394039297809,14.38
11,Larry Fitzgerald,WR,7400,Ari@SF 04:05PM ET,21.46,Ari,23.0,19.0,18.67,17.5,18.97,18.44,19.03,23.0,17.5,5.5,0.28901734104,16.6
12,Demaryius Thomas,WR,7400,NE@Den 08:30PM ET,17.85,Den,20.5,29.4,16.71,26.2,16.36,17.7456,19.8850857143,29.4,12.28,17.12,0.860946754064,4.6
13,A.J. Green,WR,7400,StL@Cin 01:00PM ET,17.28,Cin,21.0,31.6,16.87,27.4,16.44,17.492,21.0088571429,31.6,16.26,15.34,0.730168228366,24.1
14,Mike Evans,WR,7400,TB@Ind 01:00PM ET,15.5,TB,18.5,25.0,14.79,22.5,16.19,14.191,18.1158571429,25.0,14.191,10.809,0.596659595776,11.4
15,Drew Brees,QB,7300,NO@Hou 01:00PM ET,23.531,NO,18.2,26.9,16.42,27.9,23.962,23.414,21.7642857143,27.9,15.554,12.346,0.567259599606,8.12
16,Adrian Peterson,RB,7300,Min@Atl 01:00PM ET,18.6,Min,19.0,22.7,15.81,24.9,17.78,17.9014,19.6930571429,24.9,15.81,9.09,0.46158399552,35.7
17,Allen Robinson,WR,7300,SD@Jax 01:00PM ET,18.81,Jax,20.0,17.8,15.21,16.9,17.13,16.24,16.7071428571,20.0,13.67,6.33,0.378879863189,16.6
18,Calvin Johnson,WR,7200,Phi@Det 12:30PM ET,16.18,Det,20.0,15.2,15.58,12.6,17.98,16.816,16.2922857143,20.0,12.6,7.4,0.454202690143,35.3
19,Cam Newton,QB,7100,Car@Dal 04:30PM ET,23.752,Car,20.2,20.48,21.54,21.48,20.612,20.618,20.6934285714,21.54,19.924,1.616,0.078092424096,17.82
20,Carson Palmer,QB,7100,Ari@SF 04:05PM ET,24.214,Ari,22.0,16.34,23.31,17.34,21.02,22.2706,20.9443714286,24.33,16.34,7.99,0.381486741068,17.44
21,Matt Ryan,QB,6900,Min@Atl 01:00PM ET,18.328,Atl,19.2,22.82,17.01,23.82,20.916,19.512,20.2428571429,23.82,17.01,6.81,0.336414961186,11.1
22,Matt Forte,RB,6800,Chi@GB 08:30PM ET,17.671,Chi,19.0,16.3,10.82,16.7,14.0,13.726,15.5822857143,19.0,10.82,8.18,0.524955077194,6.3
23,Brandon Marshall,WR,6800,Mia@NYJ 01:00PM ET,19.7,NYJ,13.5,19.6,16.39,18.8,15.43,17.915,16.815,19.6,13.5,6.1,0.362771335117,37.1
24,Emmanuel Sanders,WR,6800,NE@Den 08:30PM ET,15.544,Den,9.5,23.6,15.01,20.9,14.26,13.23,15.2214285714,23.6,9.5,14.1,0.9263256687,20.3
25,Amari Cooper,WR,6800,Oak@Ten 01:00PM ET,15.7,Oak,19.5,29.2,13.39,27.1,13.98,15.39,19.02,29.2,13.39,15.81,0.831230283912,21.5
26,Philip Rivers,QB,6700,SD@Jax 01:00PM ET,21.744,SD,18.6,18.72,17.2,19.72,21.486,24.4984,20.6769142857,24.514,17.2,7.314,0.353727828966,31.9
