,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
0,16606,DeAndre Hopkins,WR,9400,NO@HOU,19.9,HOU,30.0,24.0,26.9,21.0,25.55,15.312,22.4274285714,30.0,14.23,15.77,0.703156848757,3.85
1,14190,Julio Jones,WR,9300,MIN@ATL,20.3,ATL,28.0,30.5,25.1,26.8,26.48,14.178,24.0097142857,30.5,14.178,16.322,0.679808172882,5.85
2,6894,Aaron Rodgers,QB,9200,CHI@GB,20.9,GB,20.1,29.64,22.81,29.64,20.092,23.5426,23.7998,29.64,20.092,9.548,0.401179841847,14.38
3,31360,Odell Beckham Jr.,WR,9100,NYG@WAS,16.6,NYG,27.5,30.5,18.97,27.0,19.27,13.9325,22.0575,30.5,13.9325,16.5675,0.751105066304,20.65
4,6498,Tom Brady,QB,9000,NE@DEN,24.0,NE,18.8,24.08,15.0,24.08,19.692,20.1678,19.7334,24.08,15.0,9.08,0.46013358063,23.2
5,6703,Adrian Peterson,RB,9000,MIN@ATL,15.9,MIN,19.0,22.7,15.81,24.9,17.78,15.3079,19.3225571429,24.9,15.3079,9.5921,0.496419802466,30.8
6,11612,Antonio Brown,WR,9000,PIT@SEA,18.8,PIT,27.0,21.1,18.8,19.6,24.9,13.545,20.4178571429,27.0,13.545,13.455,0.658981983558,5.4
7,14185,Cam Newton,QB,8900,CAR@DAL,23.3,CAR,20.2,20.48,21.54,21.48,20.612,20.599,20.6907142857,21.54,19.924,1.616,0.0781026685539,17.82
8,24920,Devonta Freeman,RB,8900,MIN@ATL,20.8,ATL,,,,,,,,,,,,
9,30447,Todd Gurley,RB,8800,STL@CIN,16.6,STL,19.5,17.7,20.56,17.2,14.15,15.3245,17.4492142857,20.56,14.15,6.41,0.367351784157,3.05
10,11460,Rob Gronkowski,TE,8400,NE@DEN,15.8,NE,19.0,23.0,14.42,21.5,15.78,10.297,16.9481428571,23.0,10.297,12.703,0.749521650075,15.1
11,11435,Dez Bryant,WR,8300,CAR@DAL,9.6,DAL,12.0,23.4,14.53,20.7,15.63,11.1847,16.1021,23.4,11.1847,12.2153,0.758615335888,2.7
12,6655,Calvin Johnson,WR,8200,PHI@DET,12.8,DET,20.0,15.2,15.58,12.6,17.98,10.907,15.4481428571,20.0,10.907,9.093,0.58861444279,27.7
13,14187,A.J. Green,WR,8200,STL@CIN,13.6,CIN,21.0,31.6,16.87,27.4,16.44,11.6685,20.1769285714,31.6,11.6685,19.9315,0.987836177813,18.4
14,6504,Drew Brees,QB,8200,NO@HOU,21.3,NO,18.2,26.9,16.42,27.9,23.962,20.414,21.3357142857,27.9,15.554,12.346,0.578654168062,8.12
15,7806,Darren McFadden,RB,8100,CAR@DAL,10.9,DAL,16.5,14.0,14.31,13.4,17.59,10.8205,14.6757857143,17.59,10.8205,6.7695,0.461270022048,7.8
16,32384,Mike Evans,WR,8100,TB@IND,11.6,TB,18.5,25.0,14.79,22.5,16.19,10.2295,17.5499285714,25.0,10.2295,14.7705,0.841627357051,6.65
17,6748,Carson Palmer,QB,8100,ARI@SF,21.9,ARI,22.0,16.34,23.31,17.34,21.02,22.2706,20.9443714286,24.33,16.34,7.99,0.381486741068,17.44
18,9371,Marshawn Lynch,RB,8000,PIT@SEA,10.9,SEA,,,,,,,,,,,,
19,7968,Philip Rivers,QB,8000,SD@JAC,19.3,SD,18.6,18.72,17.2,19.72,21.486,21.4984,20.2483428571,24.514,17.2,7.314,0.36121474491,28.9
20,6639,Tony Romo,QB,7900,CAR@DAL,15.5,DAL,17.9,,14.34,,20.068,18.9824,17.8226,20.068,14.34,5.728,0.321389696228,
21,6616,Matt Ryan,QB,7900,MIN@ATL,16.9,ATL,19.2,22.82,17.01,23.82,20.916,19.512,20.2428571429,23.82,17.01,6.81,0.336414961186,11.1
