,Unnamed: 0,player,fire,dk_name
0,0,Brent Celek ,17.584,Brent Celek
1,1,DeAndre Hopkins ,15.312,DeAndre Hopkins
2,2,Aaron Rodgers ,23.5426,Aaron Rodgers
3,3,Carson Palmer ,22.2706,Carson Palmer
4,4,Julio Jones ,14.178,Julio Jones
5,5,Philip Rivers ,21.4984,Philip Rivers
6,6,Cam Newton ,20.599,Cam Newton
7,7,Odell Beckham ,13.9325,Odell Beckham Jr.
8,8,Antonio Brown ,13.545,Antonio Brown
9,9,Drew Brees ,20.414,Drew Brees
10,10,Tom Brady ,20.1678,Tom Brady
11,11,Todd Gurley ,15.3245,Todd Gurley
12,12,Brian Hoyer ,19.5924,Brian Hoyer
13,13,Larry Fitzgerald ,12.7875,Larry Fitzgerald
14,14,Doug Martin ,15.202,Doug Martin
15,15,Matt Ryan ,19.512,Matt Ryan
16,16,Andy Dalton ,18.9014,Andy Dalton
17,17,Blake Bortles ,18.956,Blake Bortles
18,18,Brandon Marshall ,12.082,Brandon Marshall
19,19,Ryan Fitzpatrick ,18.7554,Ryan Fitzpatrick
20,20,Demaryius Thomas ,10.6111,Demaryius Thomas
21,21,Adrian Peterson ,15.3079,Adrian Peterson
22,22,Eli Manning ,18.5996,Eli Manning
23,23,A.J. Green ,11.6685,A.J. Green
24,24,Tony Romo ,18.9824,Tony Romo
25,25,Tevin Coleman ,13.2305,Tevin Coleman
26,26,Derek Carr ,18.1014,Derek Carr
27,27,Ben Roethlisberger ,18.3427,Ben Roethlisberger
28,28,Calvin Johnson ,10.907,Calvin Johnson
29,29,Kirk Cousins ,17.7864,Kirk Cousins
30,30,Marcus Mariota ,17.8154,Marcus Mariota
31,31,DeMarco Murray ,13.2905,DeMarco Murray
32,32,Matt Schaub ,18.0106,Matt Schaub
33,33,Dez Bryant ,11.1847,Dez Bryant
34,34,Mark Ingram ,13.1275,Mark Ingram
35,35,Allen Robinson ,11.205,Allen Robinson
36,36,Jay Cutler ,16.991,Jay Cutler
37,37,Russell Wilson ,17.2222,Russell Wilson
38,38,Matthew Stafford ,17.7588,Matthew Stafford
39,39,DeAngelo Williams ,12.444,DeAngelo Williams
40,40,Randall Cobb ,11.0145,Randall Cobb
41,41,Rob Gronkowski ,10.297,Rob Gronkowski
42,42,Jarvis Landry ,9.83,Jarvis Landry
43,43,Steve Johnson ,9.7915,Steve Johnson
44,44,Amari Cooper ,10.336,Amari Cooper
45,45,Jameis Winston ,16.3424,Jameis Winston
46,46,Mark Sanchez ,17.2234,Mark Sanchez
47,47,Eric Decker ,10.7475,Eric Decker
48,48,Matt Hasselbeck ,16.2037,Matt Hasselbeck
