Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside
Julio Jones,WR,9000,Atl@TB 01:00PM ET,25.227,Atl,27.5,31.5,26.1,26.7,24.16,23.578,26.58966667,31.5,23.578,7.922,0.297935288,4.910333333
Odell Beckham Jr.,WR,8900,NYJ@NYG 01:00PM ET,22.255,NYG,28,22.1,17.6,20.4,19.95,23.809,21.9765,28,17.6,10.4,0.473232771,6.0235
DeAndre Hopkins,WR,8800,Hou@Buf 01:00PM ET,23.645,Hou,26,20.6,18.64,21,20.11,17.54,20.64833333,26,17.54,8.46,0.409718298,5.351666667
Antonio Brown,WR,8600,Ind@Pit 08:30PM ET,23.455,Pit,29,24.4,23.9,28,25.62,26.709,26.2715,29,23.9,5.1,0.194126715,2.7285
Tom Brady,QB,8000,Phi@NE 04:25PM ET,25.709,NE,27,36.18,21.42,31.62,23.074,26.605,27.64983333,36.18,21.42,14.76,0.533818769,8.530166667
Devonta Freeman,RB,8000,Atl@TB 01:00PM ET,24.44,Atl,22,33.9,15.47,27.6,22.5,18.37,23.30666667,33.9,15.47,18.43,0.79076087,10.59333333
Rob Gronkowski,TE,7800,Phi@NE 04:25PM ET,19.918,NE,,24.4,,,,,24.4,24.4,24.4,0,0,0
A.J. Green,WR,7600,Cin@Cle 01:00PM ET,17.9,Cin,23,29.4,17.36,28.1,18.68,20.154,22.78233333,29.4,17.36,12.04,0.52847967,6.617666667
Julian Edelman,WR,7500,Phi@NE 04:25PM ET,19.611,NE,,,,,,,,,,,,
Dez Bryant,WR,7500,Dal@Was 08:30PM ET,11,Dal,17.5,36.6,12.37,26.4,14.56,15.175,20.43416667,36.6,12.37,24.23,1.185759145,16.16583333
Larry Fitzgerald,WR,7400,Ari@StL 01:00PM ET,21.018,Ari,23,18.8,18.38,12.1,19.09,15.565,17.8225,23,12.1,10.9,0.611586478,5.1775
Cam Newton,QB,7400,Car@NO 04:25PM ET,23.213,Car,27.7,31.48,23.95,27.66,24.384,23.858,26.50533333,31.48,23.858,7.622,0.287564767,4.974666667
Mike Evans,WR,7300,Atl@TB 01:00PM ET,15.09,TB,18.5,30.2,15.67,22.1,13.84,13.882,19.032,30.2,13.84,16.36,0.859604876,11.168
Allen Robinson,WR,7300,Jax@Ten 01:00PM ET,18.609,Jax,26,17.4,16.03,15.4,16.96,15.681,17.91183333,26,15.4,10.6,0.591787552,8.088166667
Todd Gurley,RB,7300,Ari@StL 01:00PM ET,17.522,StL,18.5,17.8,14.55,15.6,16.77,16.005,16.5375,18.5,14.55,3.95,0.238851096,1.9625
Demaryius Thomas,WR,7200,Den@SD 04:05PM ET,16.645,Den,20,20.2,17.75,19.4,14.21,16.4,17.99333333,20.2,14.21,5.99,0.332901074,2.206666667
Brandon Marshall,WR,7100,NYJ@NYG 01:00PM ET,21.282,NYJ,22,19.6,16.08,21.8,17.85,16.343,18.9455,22,16.08,5.92,0.312475258,3.0545
