Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside
Tom Brady,6498,QB,9400,PHI@NE,23.9,NE,24,33.18,21.22,28.62,23.074,23.605,25.6165,33.18,21.22,11.96,0.466886577,7.5635
Odell Beckham Jr.,31360,WR,9400,NYJ@NYG,17.3,NYG,17.4,14.595,12.185,14.7,13.49,13.95,14.38666667,17.4,12.185,5.215,0.362488415,3.013333333
Julio Jones,14190,WR,9200,ATL@TB,19.2,ATL,16.9,17.86,14.45,17.05,13.655,13.966,15.64683333,17.86,13.655,4.205,0.268744474,2.213166667
Adrian Peterson,6703,RB,9100,SEA@MIN,17.3,MIN,17.1,13.665,12.455,23.1,16.63,13.4248,16.06246667,23.1,12.455,10.645,0.662725111,7.037533333
Cam Newton,14185,QB,9000,CAR@NO,22.8,CAR,27.7,31.48,23.75,27.66,24.384,23.839,26.46883333,31.48,23.75,7.73,0.292041583,5.011166667
Devonta Freeman,24920,RB,9000,ATL@TB,20.8,ATL,18.2,29.29,11.95,23.8,17.275,13.354,18.97816667,29.29,11.95,17.34,0.913681511,10.31183333
Antonio Brown,11612,WR,9000,IND@PIT,17.9,PIT,17.45,15.755,14.055,17.4,15.115,16.2325,16.00125,17.45,14.055,3.395,0.212170924,1.44875
DeAndre Hopkins,16606,WR,8900,HOU@BUF,18.6,HOU,16.35,13.665,12.18,15.3,13.65,11.6025,13.79125,16.35,11.6025,4.7475,0.344240007,2.55875
A.J. Green,14187,WR,8400,CIN@CLE,14.3,CIN,15.4,16.805,11.845,18.45,13.265,13.523,14.88133333,18.45,11.845,6.605,0.443844638,3.568666667
Todd Gurley,30447,RB,8400,ARI@STL,15.1,STL,16.6,16.28,12.93,12.7,14.3,12.775,14.26416667,16.6,12.7,3.9,0.273412397,2.335833333
Rob Gronkowski,11460,TE,8400,PHI@NE,16,NE,,15.66,,,,,15.66,15.66,15.66,0,0,0
Ben Roethlisberger,6589,QB,8100,IND@PIT,18.6,PIT,20.9,21.76,17.84,20.76,20.06,20.2678,20.26463333,21.76,17.84,3.92,0.19344046,1.495366667
Andrew Luck,21939,QB,8100,IND@PIT,20.1,IND,,,,,,,,,,,,
Brandon Marshall,6759,WR,8100,NYJ@NYG,16.2,NYJ,15.35,13.14,10.56,15.15,11.96,10.6335,12.79891667,15.35,10.56,4.79,0.374250425,2.551083333
Andy Dalton,14225,QB,8000,CIN@CLE,20.5,CIN,20.1,18.94,17.85,23.4,19.586,22.968,20.474,23.4,17.85,5.55,0.27107551,2.926
Allen Robinson,28643,WR,8000,JAC@TEN,15.3,JAC,16.35,11.985,10.995,11.6,11.545,10.266,12.1235,16.35,10.266,6.084,0.501835279,4.2265
Mike Evans,32384,WR,7900,ATL@TB,11.3,TB,13.75,17.13,10.44,15.45,9.565,9.949,12.714,17.13,9.565,7.565,0.595013371,4.416
Carson Palmer,6748,QB,7900,ARI@STL,21.5,ARI,18.8,19.2,18.62,19.64,19.914,20.781,19.4925,20.781,18.62,2.161,0.110863152,1.2885
Russell Wilson,22015,QB,7800,SEA@MIN,19.1,SEA,15.5,25.04,17.43,15.64,18.598,18.4734,18.4469,25.04,15.5,9.54,0.517160065,6.5931
LeSean McCoy,6779,RB,7800,HOU@BUF,14.9,BUF,16.65,13.56,13.415,13.6,17.315,14.066,14.76766667,17.315,13.415,3.9,0.264090468,2.547333333
