,Unnamed: 0,player,cbs,dk_name
0,8,Austin Davis,11.29,Austin Davis
1,9,Andy Dalton,18.15,Andy Dalton
2,10,Ryan Tannehill,19.49,Ryan Tannehill
3,12,Alex Smith,18.4,Alex Smith
4,15,Matthew Stafford,18.09,NaN
5,18,Tyrod Taylor,17.44,Tyrod Taylor
6,19,Drew Brees,16.49,Drew Brees
7,21,Philip Rivers,15.08,Philip Rivers
8,23,Jameis Winston,17.81,Jameis Winston
9,28,Eli Manning,17.28,Eli Manning
10,33,Tom Brady,21.42,Tom Brady
11,34,Jay Cutler,17.9,Jay Cutler
12,35,Cam Newton,23.95,Cam Newton
13,36,Matt Schaub,15.97,Matt Schaub
14,42,Matt Hasselbeck,16.84,Matt Hasselbeck
15,44,Aaron Rodgers,17.77,NaN
16,45,Ben Roethlisberger,18.04,Ben Roethlisberger
17,46,Russell Wilson,17.63,Russell Wilson
18,48,Nick Foles,12.45,Nick Foles
19,51,Brian Hoyer,12.91,Brian Hoyer
20,55,Sam Bradford,13.8,Sam Bradford
21,57,Johnny Manziel,1.394,Johnny Manziel
22,60,Matt Ryan,17.57,Matt Ryan
23,63,Teddy Bridgewater,12.41,Teddy Bridgewater
24,64,Ryan Fitzpatrick,17.21,Ryan Fitzpatrick
25,65,Carson Palmer,18.92,Carson Palmer
26,71,Derek Carr,16.5,Derek Carr
27,73,Kirk Cousins,16.5,Kirk Cousins
28,75,Brock Osweiler,16.92,Brock Osweiler
29,77,Blaine Gabbert,14.56,Blaine Gabbert
30,79,Blake Bortles,16.75,Blake Bortles
31,80,Matt Cassel,12.93,Matt Cassel
32,82,Marcus Mariota,15.19,Marcus Mariota
33,87,Jeremy Langford,13.41,Jeremy Langford
34,88,Jonathan Stewart,12.88,Jonathan Stewart
35,89,Antonio Andrews,8.28,Antonio Andrews
36,90,Terrance West,7.44,Terrance West
37,91,DeMarco Murray,13.07,DeMarco Murray
38,92,Alfred Blue,9.09,Alfred Blue
39,94,Jordan Todman,3.31,Jordan Todman
40,96,Jalston Fowler,2.1,Jalston Fowler
41,98,Tevin Coleman,6.07,Tevin Coleman
42,100,LeSean McCoy,15.99,LeSean McCoy
43,106,Melvin Gordon,9.23,Melvin Gordon
44,107,Anthony Sherman,1.73,Anthony Sherman
45,108,Mike Tolbert,5.84,Mike Tolbert
46,109,Shane Vereen,9.71,Shane Vereen
47,112,Matt Asiata,2.84,Matt Asiata
48,115,Bruce Miller,3.04,Bruce Miller
49,116,Matt Forte,11.85,Matt Forte
50,120,John Kuhn,2.63,NaN
51,121,Rashad Jennings,8.8,Rashad Jennings
52,124,Isaiah Crowell,7.81,Isaiah Crowell
53,125,Charcandrick West,13.53,Charcandrick West
54,126,C.J. Anderson,10.88,C.J. Anderson
55,127,Javorius Allen,11.88,Javorius Allen
56,128,Jay Ajayi,5.59,Jay Ajayi
57,129,Darren Sproles,8.47,Darren Sproles
58,130,Chris Ivory,12.9,Chris Ivory
59,131,C.J. Spiller,8.71,C.J. Spiller
60,132,Orleans Darkwa,4.86,Orleans Darkwa
61,133,Matt Jones,9.85,Matt Jones
62,134,Roy Helu,6.17,Roy Helu Jr.
63,135,Fred Jackson,4.42,Fred Jackson
64,136,Tre Mason,2.7,Tre Mason
65,137,Frank Gore,14.01,Frank Gore
66,138,Jonathan Grimes,6.59,Jonathan Grimes
67,141,Adrian Peterson,14.75,Adrian Peterson
68,142,Darrel Young,2.32,Darrel Young
69,143,Fozzy Whittaker,3.15,Fozzy Whittaker
70,145,Charles Sims,9.96,Charles Sims
71,146,Anthony Dixon,5.31,NaN
72,147,David Johnson,18.48,David Johnson
73,149,Chris Thompson,7.98,Chris Thompson
74,152,Bilal Powell,7.5,Bilal Powell
75,153,Donald Brown,2.83,Donald Brown
76,155,Robert Turbin,5.48,Robert Turbin
77,156,Stepfan Taylor,3.53,Stepfan Taylor
78,157,Theo Riddick,10.63,NaN
79,158,Chris Polk,5.47,Chris Polk
80,159,Denard Robinson,4.26,Denard Robinson
81,161,Benny Cunningham,3.87,Benny Cunningham
82,164,DeAngelo Williams,15.46,DeAngelo Williams
83,165,Stevan Ridley,3.32,Stevan Ridley
84,166,Andre Williams,4.0,Andre Williams
85,168,Giovani Bernard,13.47,Giovani Bernard
86,169,David Cobb,3.03,David Cobb
87,171,Will Johnson,2.39,Will Johnson
88,172,Doug Martin,13.31,Doug Martin
89,173,Zach Line,2.9,Zach Line
90,174,Latavius Murray,13.24,Latavius Murray
91,175,Ameer Abdullah,9.07,NaN
92,176,Eddie Lacy,10.82,NaN
93,177,Lamar Miller,14.98,Lamar Miller
94,178,James Starks,9.59,NaN
95,179,Devonta Freeman,15.47,Devonta Freeman
96,180,Thomas Rawls,14.03,Thomas Rawls
97,181,Spencer Ware,10.54,Spencer Ware
98,182,Tommy Bohanon,1.95,Tommy Bohanon
99,183,Jeremy Hill,10.81,Jeremy Hill
100,185,Joique Bell,7.11,NaN
101,186,Jamize Olawale,2.79,Jamize Olawale
102,187,James White,8.95,James White
103,188,Dan Herron,7.0,Daniel Herron
104,190,Mark Ingram,15.55,Mark Ingram
105,193,Jerick McKinnon,1.9,Jerick McKinnon
106,194,Austin Johnson,2.91,NaN
107,195,Alfred Morris,8.56,Alfred Morris
108,196,Kyle Juszczyk,4.56,Kyle Juszczyk
109,197,Todd Gurley,14.55,Todd Gurley
110,200,Ronnie Hillman,10.05,Ronnie Hillman
111,201,Kendall Gaskins,5.31,Kendall Gaskins
112,202,Patrick DiMarco,3.13,Patrick DiMarco
113,203,LeGarrette Blount,11.24,LeGarrette Blount
114,207,Tyler Clutts,1.76,Tyler Clutts
115,209,Danny Woodhead,11.93,Danny Woodhead
116,210,Shaun Draughn,15.3,Shaun Draughn
117,211,Kenjon Barner,3.9,Kenjon Barner
118,213,Darren McFadden,12.9,Darren McFadden
119,214,Marcel Reece,5.74,Marcel Reece
120,217,Brandon Bolden,6.67,Brandon Bolden
121,220,T.J. Yeldon,13.89,T.J. Yeldon
122,222,Duke Johnson,10.46,Duke Johnson Jr.
123,223,Jerome Felton,1.31,Jerome Felton
124,229,Stefon Diggs,11.97,Stefon Diggs
125,230,Markus Wheaton,9.75,Markus Wheaton
126,231,Larry Fitzgerald,18.38,Larry Fitzgerald
127,232,Kenbrell Thompkins,2.23,Kenbrell Thompkins
