,Unnamed: 0,player,cbs,dk_name
0,8,Austin Davis,11.09,Austin Davis
1,9,Andy Dalton,17.85,Andy Dalton
2,10,Ryan Tannehill,19.29,Ryan Tannehill
3,12,Alex Smith,18.3,Alex Smith
4,15,Matthew Stafford,17.99,NaN
5,18,Tyrod Taylor,17.24,Tyrod Taylor
6,19,Drew Brees,16.19,Drew Brees
7,21,Philip Rivers,14.88,Philip Rivers
8,23,Jameis Winston,17.61,Jameis Winston
9,28,Eli Manning,16.98,Eli Manning
10,33,Tom Brady,21.22,Tom Brady
11,34,Jay Cutler,17.7,Jay Cutler
12,35,Cam Newton,23.75,Cam Newton
13,36,Matt Schaub,15.87,Matt Schaub
14,42,Matt Hasselbeck,16.64,Matt Hasselbeck
15,44,Aaron Rodgers,17.57,NaN
16,45,Ben Roethlisberger,17.84,Ben Roethlisberger
17,46,Russell Wilson,17.43,Russell Wilson
18,48,Nick Foles,12.15,Nick Foles
19,51,Brian Hoyer,12.71,Brian Hoyer
20,55,Sam Bradford,13.6,Sam Bradford
21,57,Johnny Manziel,1.394,Johnny Manziel
22,60,Matt Ryan,17.27,Matt Ryan
23,63,Teddy Bridgewater,12.21,Teddy Bridgewater
24,64,Ryan Fitzpatrick,17.01,Ryan Fitzpatrick
25,65,Carson Palmer,18.62,Carson Palmer
26,71,Derek Carr,16.3,Derek Carr
27,73,Kirk Cousins,16.2,Kirk Cousins
28,75,Brock Osweiler,16.82,Brock Osweiler
29,77,Blaine Gabbert,14.46,Blaine Gabbert
30,79,Blake Bortles,16.55,Blake Bortles
31,80,Matt Cassel,12.73,Matt Cassel
32,82,Marcus Mariota,14.89,Marcus Mariota
33,87,Jeremy Langford,11.03,Jeremy Langford
34,88,Jonathan Stewart,11.35,Jonathan Stewart
35,89,Antonio Andrews,7.04,Antonio Andrews
36,90,Terrance West,6.29,Terrance West
37,91,DeMarco Murray,9.925,DeMarco Murray
38,92,Alfred Blue,7.945,Alfred Blue
39,94,Jordan Todman,2.45,Jordan Todman
40,96,Jalston Fowler,1.72,NaN
41,98,Tevin Coleman,4.44,Tevin Coleman
42,100,LeSean McCoy,13.415,LeSean McCoy
