,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,65,Cardinals,10.0,Cardinals ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Cardinals 
1,68,Bears,10.0,Bears ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Bears 
2,74,Seahawks,9.4,Seahawks ,9.4,9.4,9.4,9.4,9.4,9.4,9.4,Seahawks 
3,80,Broncos,9.1,Broncos ,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Broncos 
4,81,Panthers,9.1,Panthers ,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Panthers 
5,84,Bengals,9.0,Bengals ,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Bengals 
6,93,Patriots,8.6,Patriots ,8.6,8.6,8.6,8.6,8.6,8.6,8.6,Patriots 
7,97,Titans,8.5,Titans ,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Titans 
8,126,Texans,7.6,Texans ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,Texans 
9,133,Jets,7.5,Jets ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,Jets 
11,142,Steelers,7.3,Steelers ,7.3,7.3,7.3,7.3,7.3,7.3,7.3,Steelers 
12,170,Vikings,6.5,Vikings ,6.5,6.5,6.5,6.5,6.5,6.5,6.5,Vikings 
13,172,Jaguars,6.4,Jaguars ,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Jaguars 
14,174,Rams,6.3,Rams ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Rams 
15,175,Falcons,6.3,Falcons ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Falcons 
16,183,Buccaneers,5.9,Buccaneers ,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Buccaneers 
17,184,Bills,5.8,Bills ,5.8,5.8,5.8,5.8,5.8,5.8,5.8,Bills 
18,187,Ravens,5.7,Ravens ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,Ravens 
19,194,Chiefs,5.6,Chiefs ,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Chiefs 
20,211,Redskins,5.2,Redskins ,5.2,5.2,5.2,5.2,5.2,5.2,5.2,Redskins 
21,215,Giants,5.0,Giants ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Giants 
22,218,Dolphins,5.0,Dolphins ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Dolphins 
23,224,Colts,4.7,Colts ,4.7,4.7,4.7,4.7,4.7,4.7,4.7,Colts 
24,228,Cowboys,4.6,Cowboys ,4.6,4.6,4.6,4.6,4.6,4.6,4.6,Cowboys 
26,232,Saints,4.5,Saints ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Saints 
27,248,49ers,3.9,49ers ,3.9,3.9,3.9,3.9,3.9,3.9,3.9,49ers 
28,250,Raiders,3.8,Raiders ,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Raiders 
29,278,Chargers,2.8,Chargers ,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Chargers 
30,292,Eagles,2.3,Eagles ,2.3,2.3,2.3,2.3,2.3,2.3,2.3,Eagles 
31,306,Browns,1.7,Browns ,1.7,1.7,1.7,1.7,1.7,1.7,1.7,Browns 
