,Unnamed: 0,player,espn,dk_name
0,1,Cam Newton,24.384,Cam Newton
1,2,Tom Brady,23.074,Tom Brady
2,3,Aaron Rodgers,21.778,NaN
3,4,Matthew Stafford,20.812,NaN
4,5,Drew Brees,22.604,Drew Brees
5,6,Carson Palmer,19.914,Carson Palmer
6,7,Andy Dalton,19.586,Andy Dalton
7,8,Ryan Tannehill,19.194,Ryan Tannehill
8,9,Eli Manning,19.68,Eli Manning
9,10,Ben Roethlisberger,20.06,Ben Roethlisberger
10,11,Philip Rivers,21.41,Philip Rivers
11,12,Devonta Freeman,22.5,Devonta Freeman
12,13,LeSean McCoy,24.21,LeSean McCoy
13,14,Ryan Fitzpatrick,19.388,Ryan Fitzpatrick
14,15,Derek Carr,17.912,Derek Carr
15,16,Adrian Peterson,21.53,Adrian Peterson
16,17,Blake Bortles,17.866,Blake Bortles
17,18,Marcus Mariota,17.98,Marcus Mariota
18,19,Russell Wilson,18.598,Russell Wilson
19,20,Alex Smith,16.258,Alex Smith
20,21,DeAngelo Williams,22.19,DeAngelo Williams
21,22,Jay Cutler,17.272,Jay Cutler
22,23,Matt Hasselbeck,17.574,Matt Hasselbeck
23,24,Matt Ryan,17.286,Matt Ryan
24,25,Tyrod Taylor,16.916,Tyrod Taylor
25,26,Brock Osweiler,15.994,Brock Osweiler
26,27,Jameis Winston,16.274,Jameis Winston
27,28,Austin Davis,16.728,Austin Davis
28,29,Brian Hoyer,15.582,Brian Hoyer
29,30,Sam Bradford,16.476,Sam Bradford
30,31,Antonio Brown,25.62,Antonio Brown
31,32,Matt Schaub,16.734,Matt Schaub
32,33,Matt Forte,17.03,Matt Forte
33,34,Mark Ingram,19.78,Mark Ingram
34,35,David Johnson,17.93,David Johnson
35,36,Julio Jones,24.16,Julio Jones
36,37,Odell Beckham Jr.,19.95,Odell Beckham Jr.
37,38,DeAndre Hopkins,20.11,DeAndre Hopkins
38,39,Todd Gurley,16.77,Todd Gurley
39,40,Darren McFadden,15.77,Darren McFadden
40,42,Calvin Johnson,19.67,NaN
41,43,A.J. Green,18.68,A.J. Green
42,44,Jonathan Stewart,15.53,Jonathan Stewart
43,45,Doug Martin,16.2,Doug Martin
44,46,LeGarrette Blount,14.26,LeGarrette Blount
45,47,Javorius Allen,16.18,Javorius Allen
46,48,Thomas Rawls,14.67,Thomas Rawls
47,49,Alshon Jeffery,18.43,Alshon Jeffery
48,50,Larry Fitzgerald,19.09,Larry Fitzgerald
49,51,Teddy Bridgewater,12.586,Teddy Bridgewater
50,52,Charcandrick West,14.37,Charcandrick West
51,53,Brandon Marshall,17.85,Brandon Marshall
52,54,Allen Robinson,16.96,Allen Robinson
