,Unnamed: 0,player,fftoday,dk_name
0,2,Cam Newton,27.7,Cam Newton
1,3,Tom Brady,27.0,Tom Brady
2,4,Ben Roethlisberger,23.9,Ben Roethlisberger
3,5,Blake Bortles,20.0,Blake Bortles
4,6,Ryan Fitzpatrick,19.6,Ryan Fitzpatrick
5,7,Aaron Rodgers,20.4,NaN
6,8,Jay Cutler,19.1,Jay Cutler
7,9,Andy Dalton,20.1,Andy Dalton
8,10,Carson Palmer,18.8,Carson Palmer
9,11,Matthew Stafford,19.0,NaN
10,12,Drew Brees,18.4,Drew Brees
11,13,Eli Manning,18.4,Eli Manning
12,14,Brock Osweiler,18.5,Brock Osweiler
13,15,Derek Carr,18.3,Derek Carr
14,16,Matt Hasselbeck,18.2,Matt Hasselbeck
15,17,Philip Rivers,18.2,Philip Rivers
16,18,Ryan Tannehill,18.3,Ryan Tannehill
17,19,Kirk Cousins,18.1,Kirk Cousins
18,20,Brian Hoyer,18.1,Brian Hoyer
19,21,Marcus Mariota,18.1,Marcus Mariota
20,22,Jameis Winston,18.0,Jameis Winston
21,23,Matt Ryan,18.6,Matt Ryan
22,24,Austin Davis,17.6,Austin Davis
23,25,Russell Wilson,15.5,Russell Wilson
24,26,Alex Smith,16.1,Alex Smith
25,27,Tyrod Taylor,15.0,Tyrod Taylor
26,28,Matt Schaub,14.1,Matt Schaub
27,29,Sam Bradford,13.5,Sam Bradford
28,30,Teddy Bridgewater,13.6,Teddy Bridgewater
29,31,Blaine Gabbert,13.5,Blaine Gabbert
30,32,Matt Cassel,13.3,Matt Cassel
31,33,Nick Foles,11.3,Nick Foles
32,36,Devonta Freeman,22.0,Devonta Freeman
33,37,Doug Martin,20.0,Doug Martin
34,38,Adrian Peterson,19.0,Adrian Peterson
35,39,Todd Gurley,18.5,Todd Gurley
36,40,LeSean McCoy,19.5,LeSean McCoy
37,41,DeAngelo Williams,20.5,DeAngelo Williams
38,42,Mark Ingram,20.0,Mark Ingram
39,43,Thomas Rawls,17.5,Thomas Rawls
40,44,Jonathan Stewart,16.5,Jonathan Stewart
41,45,Javorius Allen,19.0,Javorius Allen
42,46,David Johnson,17.5,David Johnson
43,47,Chris Ivory,15.0,Chris Ivory
44,48,Jeremy Langford,18.0,Jeremy Langford
45,49,C.J. Anderson,15.5,C.J. Anderson
46,50,LeGarrette Blount,14.5,LeGarrette Blount
47,51,Jeremy Hill,14.5,Jeremy Hill
48,52,Eddie Lacy,15.5,NaN
49,53,Danny Woodhead,18.0,Danny Woodhead
50,54,Darren McFadden,15.5,Darren McFadden
51,55,Spencer Ware,11.5,Spencer Ware
52,56,Charcandrick West,14.5,Charcandrick West
53,57,Shaun Draughn,12.0,Shaun Draughn
54,58,Lamar Miller,12.5,Lamar Miller
55,59,Latavius Murray,11.5,Latavius Murray
56,60,T.J. Yeldon,13.5,T.J. Yeldon
57,61,Matt Forte,11.0,Matt Forte
58,62,DeMarco Murray,11.0,DeMarco Murray
59,63,Frank Gore,9.5,Frank Gore
60,64,Giovani Bernard,11.0,Giovani Bernard
61,65,Alfred Blue,8.5,Alfred Blue
62,66,Ronnie Hillman,8.5,Ronnie Hillman
63,67,Duke Johnson,10.5,Duke Johnson Jr.
64,68,Antonio Andrews,7.0,Antonio Andrews
65,69,Alfred Morris,6.0,Alfred Morris
66,70,Ameer Abdullah,6.0,NaN
67,71,Melvin Gordon,6.0,Melvin Gordon
68,72,Matt Jones,8.0,Matt Jones
69,73,Theo Riddick,11.0,NaN
70,74,James Starks,8.0,NaN
71,75,Isaiah Crowell,5.5,Isaiah Crowell
72,76,Rashad Jennings,6.5,Rashad Jennings
73,77,Charles Sims,8.5,Charles Sims
74,78,Darren Sproles,7.5,Darren Sproles
75,79,James White,7.5,James White
76,80,Shane Vereen,8.0,Shane Vereen
77,81,Jay Ajayi,4.5,Jay Ajayi
78,82,Chris Thompson,7.5,Chris Thompson
79,83,Joique Bell,4.0,NaN
80,84,David Cobb,4.0,David Cobb
81,85,Jonathan Grimes,4.0,Jonathan Grimes
82,88,Dan Herron,4.0,Daniel Herron
83,89,Bilal Powell,6.0,Bilal Powell
84,90,C.J. Spiller,5.0,C.J. Spiller
85,91,Terrance West,3.5,Terrance West
86,92,Brandon Bolden,3.0,Brandon Bolden
87,93,Tevin Coleman,3.0,Tevin Coleman
88,94,Benny Cunningham,4.0,Benny Cunningham
89,95,Fred Jackson,3.0,Fred Jackson
90,96,Denard Robinson,3.0,Denard Robinson
91,97,Mike Tolbert,3.0,Mike Tolbert
92,98,Robert Turbin,2.0,Robert Turbin
93,99,Anthony Dixon,1.5,NaN
94,100,Tre Mason,1.5,Tre Mason
95,101,Jerick McKinnon,2.5,Jerick McKinnon
96,102,Marcel Reece,2.5,Marcel Reece
97,103,Stepfan Taylor,1.5,Stepfan Taylor
98,105,Stevan Ridley,1.5,Stevan Ridley
99,108,Odell Beckham Jr.,28.0,Odell Beckham Jr.
100,109,Antonio Brown,29.0,Antonio Brown
101,110,Julio Jones,27.5,Julio Jones
102,111,DeAndre Hopkins,26.0,DeAndre Hopkins
103,112,Allen Robinson,26.0,Allen Robinson
104,113,Alshon Jeffery,22.5,Alshon Jeffery
105,114,Larry Fitzgerald,23.0,Larry Fitzgerald
106,115,A.J. Green,23.0,A.J. Green
107,116,Brandon Marshall,22.0,Brandon Marshall
108,117,Calvin Johnson,20.5,NaN
109,118,Demaryius Thomas,20.0,Demaryius Thomas
110,119,Kamar Aiken,20.5,Kamar Aiken
111,120,Danny Amendola,20.5,Danny Amendola
112,121,Travis Benjamin,19.5,Travis Benjamin
113,122,Martavis Bryant,20.5,Martavis Bryant
114,123,Amari Cooper,19.5,Amari Cooper
115,124,Mike Evans,18.5,Mike Evans
116,125,T.Y. Hilton,18.5,T.Y. Hilton
117,126,Jarvis Landry,21.5,Jarvis Landry
118,127,Sammy Watkins,20.5,Sammy Watkins
119,128,Anquan Boldin,19.0,Anquan Boldin
120,129,Eric Decker,19.0,Eric Decker
121,130,DeSean Jackson,17.0,DeSean Jackson
122,131,Brandon LaFell,18.0,Brandon LaFell
123,132,Donte Moncrief,19.0,Donte Moncrief
124,133,John Brown,17.5,John Brown
125,134,Dez Bryant,17.5,Dez Bryant
126,135,Randall Cobb,17.5,NaN
127,136,Michael Crabtree,17.5,Michael Crabtree
128,137,Vincent Jackson,16.5,Vincent Jackson
129,138,Golden Tate,17.5,NaN
130,139,Kendall Wright,18.5,Kendall Wright
131,140,Doug Baldwin,17.0,Doug Baldwin
132,141,Jordan Matthews,16.0,Jordan Matthews
133,142,Emmanuel Sanders,16.0,Emmanuel Sanders
134,143,Nate Washington,15.5,Nate Washington
135,144,Tavon Austin,16.0,Tavon Austin
136,145,Dwayne Harris,15.0,Dwayne Harris
137,146,Jeremy Maclin,13.5,Jeremy Maclin
138,147,Marvin Jones,14.0,Marvin Jones
139,148,DeVante Parker,13.0,DeVante Parker
140,149,Brandin Cooks,13.5,Brandin Cooks
