,Unnamed: 0,player,fftoday,dk_name
0,2,Cam Newton,27.7,Cam Newton
1,3,Tom Brady,24.0,Tom Brady
2,4,Ben Roethlisberger,20.9,Ben Roethlisberger
3,5,Blake Bortles,20.0,Blake Bortles
4,6,Ryan Fitzpatrick,19.6,Ryan Fitzpatrick
5,7,Aaron Rodgers,20.4,NaN
6,8,Jay Cutler,19.1,Jay Cutler
7,9,Andy Dalton,20.1,Andy Dalton
8,10,Carson Palmer,18.8,Carson Palmer
9,11,Matthew Stafford,19.0,NaN
10,12,Drew Brees,18.4,Drew Brees
11,13,Eli Manning,18.4,Eli Manning
12,14,Brock Osweiler,18.5,Brock Osweiler
13,15,Derek Carr,18.3,Derek Carr
14,16,Matt Hasselbeck,18.2,Matt Hasselbeck
15,17,Philip Rivers,18.2,Philip Rivers
16,18,Ryan Tannehill,18.3,Ryan Tannehill
17,19,Kirk Cousins,18.1,Kirk Cousins
18,20,Brian Hoyer,18.1,Brian Hoyer
19,21,Marcus Mariota,18.1,Marcus Mariota
20,22,Jameis Winston,18.0,Jameis Winston
21,23,Matt Ryan,18.6,Matt Ryan
22,24,Austin Davis,17.6,Austin Davis
23,25,Russell Wilson,15.5,Russell Wilson
24,26,Alex Smith,16.1,Alex Smith
25,27,Tyrod Taylor,15.0,Tyrod Taylor
26,28,Matt Schaub,14.1,Matt Schaub
27,29,Sam Bradford,13.5,Sam Bradford
28,30,Teddy Bridgewater,13.6,Teddy Bridgewater
29,31,Blaine Gabbert,13.5,Blaine Gabbert
30,32,Matt Cassel,13.3,Matt Cassel
31,33,Nick Foles,11.3,Nick Foles
32,36,Devonta Freeman,18.2,Devonta Freeman
33,37,Doug Martin,17.15,Doug Martin
34,38,Adrian Peterson,17.1,Adrian Peterson
35,39,Todd Gurley,16.6,Todd Gurley
36,40,LeSean McCoy,16.65,LeSean McCoy
37,41,DeAngelo Williams,16.7,DeAngelo Williams
38,42,Mark Ingram,16.2,Mark Ingram
39,43,Thomas Rawls,15.6,Thomas Rawls
40,44,Jonathan Stewart,15.55,Jonathan Stewart
41,45,Javorius Allen,15.2,Javorius Allen
42,46,David Johnson,14.65,David Johnson
43,47,Chris Ivory,14.05,NaN
44,48,Jeremy Langford,14.2,Jeremy Langford
45,49,C.J. Anderson,13.6,C.J. Anderson
46,50,LeGarrette Blount,13.55,LeGarrette Blount
47,51,Jeremy Hill,13.55,Jeremy Hill
48,52,Eddie Lacy,13.6,NaN
49,53,Danny Woodhead,12.3,Danny Woodhead
50,54,Darren McFadden,11.7,Darren McFadden
51,55,Spencer Ware,10.55,Spencer Ware
52,56,Charcandrick West,9.75,Charcandrick West
53,57,Shaun Draughn,9.15,Shaun Draughn
54,58,Lamar Miller,8.7,Lamar Miller
55,59,Latavius Murray,8.65,Latavius Murray
56,60,T.J. Yeldon,8.75,T.J. Yeldon
57,61,Matt Forte,8.15,Matt Forte
58,62,DeMarco Murray,8.15,DeMarco Murray
