,2-pt,comp,fan_pts,fl,int,kick_td,opp,pass_att,pass_tds,pass_yards,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_tds,rush_yards,team
0,0,,,0,,0,Fantasy,,,,Passing,0,0,0,0,,,,Rushing
1,0,Opp,TD,0,TD,0,Team,Comp,Yard,Att,Chg,0,0,0,0,INT,Yard,Att,"Player
Sort First: 



		Last:"
2,0,22,30.3,0,0,0,@NO,34,2,255,Cam Newton,0,0,0,0,6,1,35,CAR
3,0,25,27.0,0,0,0,PHI,38,3,300,Tom Brady,0,0,0,0,0,0,0,NE
4,0,25,24.0,0,0,0,IND,36,2,310,Ben Roethlisberger,0,0,0,0,2,0,5,PIT
5,0,23,23.8,0,1,0,@TEN,40,2,275,Blake Bortles,0,0,0,0,3,0,20,JAC
6,0,23,23.3,0,1,0,@NYG,38,2,265,Ryan Fitzpatrick,0,0,0,0,3,0,20,NYJ
7,0,20,23.0,0,0,0,@DET,33,2,260,Aaron Rodgers,0,0,0,0,3,0,20,GB
8,0,22,22.8,0,1,0,SF,34,2,265,Jay Cutler,0,0,0,0,4,0,15,CHI
9,0,24,22.8,0,0,0,@CLE,39,2,265,Andy Dalton,0,0,0,0,5,0,15,CIN
10,0,23,22.8,0,1,0,@STL,36,2,295,Carson Palmer,0,0,0,0,0,0,0,ARI
11,0,24,22.8,0,1,0,GB,39,2,275,Matthew Stafford,0,0,0,0,2,0,10,DET
12,0,24,22.3,0,1,0,CAR,38,2,285,Drew Brees,0,0,0,0,0,0,0,NO
13,0,26,22.3,0,1,0,NYJ,41,2,285,Eli Manning,0,0,0,0,0,0,0,NYG
14,0,25,22.3,0,1,0,@SD,41,2,275,Brock Osweiler,0,0,0,0,2,0,5,DEN
15,0,23,22.0,0,1,0,KC,36,2,270,Derek Carr,0,0,0,0,2,0,5,OAK
16,0,26,22.0,0,1,0,@PIT,42,2,280,Matt Hasselbeck,0,0,0,0,0,0,0,IND
17,0,25,22.0,0,1,0,DEN,37,2,280,Philip Rivers,0,0,0,0,0,0,0,SD
18,0,24,22.0,0,1,0,BAL,36,2,270,Ryan Tannehill,0,0,0,0,1,0,5,MIA
19,0,22,21.8,0,1,0,DAL,36,2,265,Kirk Cousins,0,0,0,0,1,0,5,WAS
