,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
0,6498,Tom Brady,QB,9400,PHI@NE,23.9,NE,24.0,33.18,21.22,28.62,23.074,23.605,25.6165,33.18,21.22,11.96,0.466886577,7.5635,33.83
1,31360,Odell Beckham Jr.,WR,9400,NYJ@NYG,17.3,NYG,17.4,14.595,12.185,14.7,13.49,13.95,14.38666667,17.4,12.185,5.215,0.362488415,3.013333333,21.2
2,14190,Julio Jones,WR,9200,ATL@TB,19.2,ATL,16.9,17.86,14.45,17.05,13.655,13.966,15.64683333,17.86,13.655,4.205,0.268744474,2.213166667,9.7
3,6703,Adrian Peterson,RB,9100,SEA@MIN,17.3,MIN,17.1,13.665,12.455,23.1,16.63,13.4248,16.06246667,23.1,12.455,10.645,0.662725111,7.037533333,2.6
4,14185,Cam Newton,QB,9000,CAR@NO,22.8,CAR,27.7,31.48,23.75,27.66,24.384,23.839,26.46883333,31.48,23.75,7.73,0.292041583,5.011166667,37.14
5,24920,Devonta Freeman,RB,9000,ATL@TB,20.8,ATL,18.2,29.29,11.95,23.8,17.275,13.354,18.97816667,29.29,11.95,17.34,0.913681511,10.31183333,10.8
6,11612,Antonio Brown,WR,9000,IND@PIT,17.9,PIT,17.45,15.755,14.055,17.4,15.115,16.2325,16.00125,17.45,14.055,3.395,0.212170924,1.44875,24.2
7,16606,DeAndre Hopkins,WR,8900,HOU@BUF,18.6,HOU,16.35,13.665,12.18,15.3,13.65,11.6025,13.79125,16.35,11.6025,4.7475,0.344240007,2.55875,15.05
8,14187,A.J. Green,WR,8400,CIN@CLE,14.3,CIN,15.4,16.805,11.845,18.45,13.265,13.523,14.88133333,18.45,11.845,6.605,0.443844638,3.568666667,19.05
9,30447,Todd Gurley,RB,8400,ARI@STL,15.1,STL,16.6,16.28,12.93,12.7,14.3,12.775,14.26416667,16.6,12.7,3.9,0.273412397,2.335833333,4.1
10,11460,Rob Gronkowski,TE,8400,PHI@NE,16.0,NE,,15.66,,,,,15.66,15.66,15.66,0.0,0.0,0.0,
11,6589,Ben Roethlisberger,QB,8100,IND@PIT,18.6,PIT,20.9,21.76,17.84,20.76,20.06,20.2678,20.26463333,21.76,17.84,3.92,0.19344046,1.495366667,33.86
12,21939,Andrew Luck,QB,8100,IND@PIT,20.1,IND,,,,,,,,,,,,,
13,6759,Brandon Marshall,WR,8100,NYJ@NYG,16.2,NYJ,15.35,13.14,10.56,15.15,11.96,10.6335,12.79891667,15.35,10.56,4.79,0.374250425,2.551083333,19.7
14,14225,Andy Dalton,QB,8000,CIN@CLE,20.5,CIN,20.1,18.94,17.85,23.4,19.586,22.968,20.474,23.4,17.85,5.55,0.27107551,2.926,23.9
15,28643,Allen Robinson,WR,8000,JAC@TEN,15.3,JAC,16.35,11.985,10.995,11.6,11.545,10.266,12.1235,16.35,10.266,6.084,0.501835279,4.2265,33.8
16,32384,Mike Evans,WR,7900,ATL@TB,11.3,TB,13.75,17.13,10.44,15.45,9.565,9.949,12.714,17.13,9.565,7.565,0.595013371,4.416,12.35
17,6748,Carson Palmer,QB,7900,ARI@STL,21.5,ARI,18.8,19.2,18.62,19.64,19.914,20.781,19.4925,20.781,18.62,2.161,0.110863152,1.2885,22.24
18,22015,Russell Wilson,QB,7800,SEA@MIN,19.1,SEA,15.5,25.04,17.43,15.64,18.598,18.4734,18.4469,25.04,15.5,9.54,0.517160065,6.5931,34.06
19,6779,LeSean McCoy,RB,7800,HOU@BUF,14.9,BUF,16.65,13.56,13.415,13.6,17.315,14.066,14.76766667,17.315,13.415,3.9,0.264090468,2.547333333,11.2
20,21980,Alshon Jeffery,WR,7700,SF@CHI,15.7,CHI,15.85,14.075,11.335,16.05,12.445,10.618,13.3955,16.05,10.618,5.432,0.405509313,2.6545,8.7
21,6504,Drew Brees,QB,7700,CAR@NO,20.0,NO,18.4,21.74,16.19,19.44,19.604,18.96,19.05566667,21.74,16.19,5.55,0.291251946,2.684333333,23.48
22,45859,Derek Carr,QB,7700,KC@OAK,18.7,OAK,18.3,16.64,16.3,19.14,17.912,18.4206,17.78543333,19.14,16.3,2.84,0.159681237,1.354566667,16.32
23,21970,Doug Martin,RB,7600,ATL@TB,14.0,TB,17.15,19.25,11.21,11.95,14.11,13.763,14.57216667,19.25,11.21,8.04,0.551736758,4.677833333,14.05
24,11432,Demaryius Thomas,WR,7600,DEN@SD,12.5,DEN,14.3,13.455,11.38,14.65,9.27,10.377,12.23866667,14.65,9.27,5.38,0.439590369,2.411333333,12.4
25,7968,Philip Rivers,QB,7600,DEN@SD,20.2,SD,18.2,20.5,14.88,13.22,18.41,16.821,17.00516667,20.5,13.22,7.28,0.428105184,3.494833333,7.08
26,6826,Eli Manning,QB,7600,NYJ@NYG,18.7,NYG,18.4,20.62,16.98,17.86,19.68,17.816,18.55933333,20.62,16.98,3.64,0.196127734,2.060666667,15.08
27,6899,Matt Forte,RB,7600,SF@CHI,14.1,CHI,8.15,13.22,9.375,14.9,14.56,12.4075,12.10208333,14.9,8.15,6.75,0.557755207,2.797916667,18.55
