,Unnamed: 0,player,fire,dk_name
0,0,Antonio Brown ,26.709,Antonio Brown
1,1,Cam Newton ,23.858,Cam Newton
2,2,Tom Brady ,26.605,Tom Brady
3,3,Andy Dalton ,22.968,Andy Dalton
4,4,Odell Beckham ,23.809,Odell Beckham Jr.
5,5,Aaron Rodgers ,21.9092,NaN
6,6,Julio Jones ,23.578,Julio Jones
7,7,Matt Ryan ,24.84,Matt Ryan
8,8,A.J. Green ,20.154,A.J. Green
9,9,Carson Palmer ,20.8,Carson Palmer
10,10,Ben Roethlisberger ,20.2678,Ben Roethlisberger
11,11,Devonta Freeman ,18.37,Devonta Freeman
12,12,Ryan Fitzpatrick ,18.981,Ryan Fitzpatrick
13,13,Jay Cutler ,18.9736,Jay Cutler
14,14,Russell Wilson ,18.4734,Russell Wilson
15,15,DeAndre Hopkins ,17.54,DeAndre Hopkins
16,16,Derek Carr ,18.4206,Derek Carr
17,17,DeAngelo Williams ,17.154,DeAngelo Williams
18,18,Lesean McCoy ,17.277,LeSean McCoy
19,19,Drew Brees ,18.96,Drew Brees
20,20,Jarvis Landry ,16.816,Jarvis Landry
21,21,Alex Smith ,17.676,Alex Smith
22,22,Calvin Johnson ,16.764,NaN
23,23,Greg Olsen ,16.556,Greg Olsen
24,24,Eli Manning ,17.816,Eli Manning
25,25,Demaryius Thomas ,16.4,Demaryius Thomas
26,26,Danny Amendola ,16.574,Danny Amendola
27,27,Doug Martin ,16.67,Doug Martin
28,28,Brandon Marshall ,16.343,Brandon Marshall
29,29,Brock Osweiler ,17.1836,Brock Osweiler
30,30,Jameis Winston ,17.0752,Jameis Winston
31,31,Randall Cobb ,16.017,NaN
32,32,Kirk Cousins ,16.9636,Kirk Cousins
33,33,Alshon Jeffery ,15.767,Alshon Jeffery
34,34,DeMarco Murray ,16.027,DeMarco Murray
35,35,Todd Gurley ,16.005,Todd Gurley
36,36,Emmanuel Sanders ,15.762,Emmanuel Sanders
37,37,Allen Robinson ,15.681,Allen Robinson
38,38,Adrian Peterson ,15.7428,Adrian Peterson
39,39,Blake Bortles ,17.3404,Blake Bortles
40,40,Matthew Stafford ,16.9614,NaN
41,41,Larry Fitzgerald ,15.565,Larry Fitzgerald
42,42,Kamar Aiken ,15.314,Kamar Aiken
43,43,Matt Hasselbeck ,16.3796,Matt Hasselbeck
44,44,Matt Schaub ,16.181,Matt Schaub
45,45,Amari Cooper ,15.3748,Amari Cooper
46,46,Tyrod Taylor ,16.1798,Tyrod Taylor
47,47,Darren McFadden ,15.433,Darren McFadden
48,48,Dez Bryant ,15.175,Dez Bryant
49,49,Jonathan Stewart ,15.371,Jonathan Stewart
