,Unnamed: 0,player,fire,dk_name
0,0,Antonio Brown ,16.2325,Antonio Brown
1,1,Cam Newton ,23.839,Cam Newton
2,2,Tom Brady ,23.605,Tom Brady
3,3,Andy Dalton ,22.968,Andy Dalton
4,4,Odell Beckham ,13.95,Odell Beckham Jr.
5,5,Aaron Rodgers ,21.8332,NaN
6,6,Julio Jones ,13.966,Julio Jones
7,7,Matt Ryan ,21.84,Matt Ryan
8,8,A.J. Green ,13.523,A.J. Green
9,9,Carson Palmer ,20.781,Carson Palmer
10,10,Ben Roethlisberger ,20.2678,Ben Roethlisberger
11,11,Devonta Freeman ,13.354,Devonta Freeman
12,12,Ryan Fitzpatrick ,18.943,Ryan Fitzpatrick
13,13,Jay Cutler ,18.9736,Jay Cutler
14,14,Russell Wilson ,18.4734,Russell Wilson
15,15,DeAndre Hopkins ,11.6025,DeAndre Hopkins
16,16,Derek Carr ,18.4206,Derek Carr
17,17,DeAngelo Williams ,14.209,DeAngelo Williams
18,18,Lesean McCoy ,14.066,LeSean McCoy
19,19,Drew Brees ,18.96,Drew Brees
20,20,Jarvis Landry ,10.337,Jarvis Landry
21,21,Alex Smith ,17.638,Alex Smith
22,22,Calvin Johnson ,11.1685,NaN
23,23,Greg Olsen ,11.008,Greg Olsen
24,24,Eli Manning ,17.816,Eli Manning
25,25,Demaryius Thomas ,10.377,Demaryius Thomas
26,26,Danny Amendola ,11.0165,Danny Amendola
27,27,Doug Martin ,13.763,Doug Martin
28,28,Brandon Marshall ,10.6335,Brandon Marshall
29,29,Brock Osweiler ,17.1836,Brock Osweiler
30,30,Jameis Winston ,17.0752,Jameis Winston
31,31,Randall Cobb ,10.7635,NaN
32,32,Kirk Cousins ,16.9446,Kirk Cousins
33,33,Alshon Jeffery ,10.618,Alshon Jeffery
34,34,DeMarco Murray ,12.7875,DeMarco Murray
35,35,Todd Gurley ,12.775,Todd Gurley
36,36,Emmanuel Sanders ,11.4775,Emmanuel Sanders
37,37,Allen Robinson ,10.266,Allen Robinson
38,38,Adrian Peterson ,13.4248,Adrian Peterson
39,39,Blake Bortles ,17.3214,Blake Bortles
40,40,Matthew Stafford ,16.9614,NaN
41,41,Larry Fitzgerald ,10.264,Larry Fitzgerald
42,42,Kamar Aiken ,10.032,Kamar Aiken
43,43,Matt Hasselbeck ,16.3796,Matt Hasselbeck
44,44,Matt Schaub ,16.181,Matt Schaub
45,45,Amari Cooper ,10.1878,Amari Cooper
46,46,Tyrod Taylor ,16.1608,Tyrod Taylor
47,47,Darren McFadden ,12.678,Darren McFadden
48,48,Dez Bryant ,10.387,Dez Bryant
49,49,Jonathan Stewart ,13.357,Jonathan Stewart
50,50,T.Y. Hilton ,10.4875,T.Y. Hilton
51,51,Philip Rivers ,16.821,Philip Rivers
52,52,David Johnson ,12.3815,David Johnson
53,53,Matt Forte ,12.4075,Matt Forte
54,54,Steve Johnson ,9.2195,Steve Johnson
55,55,Jordan Reed ,9.098,Jordan Reed
56,56,T.J. Yeldon ,11.2769,T.J. Yeldon
57,57,Eddie Lacy ,11.194,NaN
58,58,Lamar Miller ,10.8245,Lamar Miller
59,59,Brian Hoyer ,15.39,Brian Hoyer
60,60,Gary Barnidge ,9.8445,Gary Barnidge
61,61,Jeremy Hill ,11.8455,Jeremy Hill
62,62,Blaine Gabbert ,15.6336,Blaine Gabbert
63,63,Marcus Mariota ,15.5672,Marcus Mariota
64,64,Jeremy Maclin ,9.4715,Jeremy Maclin
65,65,Chris Ivory ,12.047,NaN
66,66,Thomas Rawls ,11.9445,Thomas Rawls
67,67,Delanie Walker ,9.052,Delanie Walker
68,68,Ryan Tannehill ,15.6156,Ryan Tannehill
69,69,DeSean Jackson ,9.609,DeSean Jackson
70,70,Mike Evans ,9.949,Mike Evans
71,71,Charcandrick West ,11.503,Charcandrick West
72,72,Austin Davis ,14.5972,Austin Davis
73,73,Javorius Allen ,11.4985,Javorius Allen
74,74,Brandon LaFell ,9.573,Brandon LaFell
75,75,Giovani Bernard ,10.71,Giovani Bernard
76,76,Sammy Watkins ,9.014,Sammy Watkins
77,77,Latavius Murray ,10.7375,Latavius Murray
78,78,Mark Ingram ,9.781,Mark Ingram
79,79,Brandin Cooks ,8.437,Brandin Cooks
80,80,LeGarrette Blount ,10.929,LeGarrette Blount
81,81,Travis Benjamin ,8.773,Travis Benjamin
82,82,Sam Bradford ,14.5286,Sam Bradford
83,83,Matt Cassel ,13.8766,Matt Cassel
84,84,Shaun Draughn ,9.4785,Shaun Draughn
85,85,Eric Decker ,8.772,Eric Decker
86,86,Martavis Bryant ,9.118,Martavis Bryant
87,87,Anquan Boldin ,7.472,Anquan Boldin
88,88,Travis Kelce ,7.851,Travis Kelce
89,89,Teddy Bridgewater ,13.9031,Teddy Bridgewater
90,90,Antonio Gates ,7.8015,Antonio Gates
91,91,Stefon Diggs ,7.8295,Stefon Diggs
92,92,Donte Moncrief ,8.044,Donte Moncrief
93,93,Jordan Matthews ,7.0325,Jordan Matthews
94,94,Jacob Tamme ,7.512,Jacob Tamme
95,95,Ameer Abdullah ,8.804,NaN
96,96,Kendall Wright ,6.7,Kendall Wright
97,97,Antonio Andrews ,9.624,Antonio Andrews
98,98,Vincent Jackson ,8.139,Vincent Jackson
99,99,Michael Crabtree ,6.9,Michael Crabtree
100,100,Frank Gore ,8.664,Frank Gore
101,101,Jamison Crowder ,6.566,Jamison Crowder
102,102,Jeremy Langford ,8.368,Jeremy Langford
103,103,John Brown ,7.48,John Brown
104,104,Benjamin Watson ,6.7305,Benjamin Watson
105,105,Jason Witten ,6.0285,Jason Witten
106,106,Alfred Blue ,8.254,Alfred Blue
107,107,Martellus Bennett ,6.408,Martellus Bennett
108,108,Ronnie Hillman ,9.2005,Ronnie Hillman
109,109,Tavon Austin ,6.4295,Tavon Austin
110,110,Julius Thomas ,6.0075,Julius Thomas
111,111,Doug Baldwin ,6.522,Doug Baldwin
112,112,Golden Tate ,6.0831,NaN
113,113,Davante Adams ,5.937,NaN
114,114,C.J. Anderson ,7.6245,C.J. Anderson
115,115,Charles Clay ,5.7425,Charles Clay
116,116,Theo Riddick ,5.7724,NaN
117,117,Philly Brown ,5.9185,NaN
118,118,Pierre Garcon ,5.546,Pierre Garcon
119,119,Rueben Randle ,5.939,Rueben Randle
120,120,James Jones ,6.707,NaN
121,121,Vance McDonald ,5.42,Vance McDonald
122,122,Alfred Morris ,7.3138,Alfred Morris
123,123,James Starks ,6.735,NaN
124,124,Eric Ebron ,5.5025,NaN
125,125,Crockett Gillmore ,5.769,Crockett Gillmore
126,126,Melvin Gordon ,6.292,Melvin Gordon
127,127,Danny Woodhead ,5.0935,Danny Woodhead
128,128,Charles Sims ,6.3425,Charles Sims
129,129,Darren Sproles ,5.328,Darren Sproles
130,130,Austin Seferian-Jenkins ,5.8775,Austin Seferian-Jenkins
131,131,Michael Floyd ,5.8925,Michael Floyd
132,132,Darren Fells ,5.8495,Darren Fells
133,133,Nate Washington ,5.59,Nate Washington
134,134,Dorial Green-Beckham ,5.2785,Dorial Green-Beckham
135,135,Owen Daniels ,5.2625,Owen Daniels
136,136,Jermaine Kearse ,5.285,Jermaine Kearse
137,137,Vernon Davis ,4.8915,Vernon Davis
138,138,Terrance Williams ,5.3985,Terrance Williams
139,139,Nick Foles ,9.4914,Nick Foles
140,140,Scott Chandler ,5.6835,Scott Chandler
141,141,Marvin Jones ,4.9025,Marvin Jones
142,142,Malcom Floyd ,5.605,Malcom Floyd
143,143,Marqise Lee ,4.596,Marqise Lee
144,144,Duke Johnson ,5.067,Duke Johnson
145,145,Albert Wilson ,4.785,Albert Wilson
146,146,Kenny Britt ,4.995,Kenny Britt
147,147,Will Tye ,4.338,Will Tye
148,148,Ted Ginn Jr. ,5.1945,Ted Ginn Jr.
149,149,Cecil Shorts ,4.3963,Cecil Shorts
150,150,Robert Woods ,4.206,Robert Woods
151,151,Jordan Cameron ,4.0165,Jordan Cameron
152,152,Devin Funchess ,4.962,Devin Funchess
153,153,Brian Hartline ,4.3335,Brian Hartline
154,154,Keshawn Martin ,4.4905,Keshawn Martin
155,155,DeVante Parker ,4.322,DeVante Parker
156,156,Mohamed Sanu ,4.134,Mohamed Sanu
157,157,Kyle Rudolph ,3.4285,Kyle Rudolph
158,158,Isaiah Crowell ,5.1755,Isaiah Crowell
159,159,Rashad Jennings ,5.104,Rashad Jennings
160,160,Zach Ertz ,3.6755,Zach Ertz
161,161,Jarius Wright ,3.921,Jarius Wright
162,162,Chris Givens ,3.9113,Chris Givens
