,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,34.94,NaN
1,1,Tom Brady,31.62,Tom Brady
2,2,Matt Ryan,27.6,Matt Ryan
3,3,Cam Newton,27.66,Cam Newton
4,4,Brock Osweiler,24.3,Brock Osweiler
5,5,Ben Roethlisberger,23.76,Ben Roethlisberger
6,6,Ryan Fitzpatrick,25.2,Ryan Fitzpatrick
7,7,Andy Dalton,23.4,Andy Dalton
8,8,Marcus Mariota,20.28,Marcus Mariota
9,9,Carson Palmer,19.64,Carson Palmer
10,10,Drew Brees,19.44,Drew Brees
11,11,Ryan Tannehill,19.68,Ryan Tannehill
12,12,Alex Smith,19.44,Alex Smith
13,13,Matt Cassel,15.38,Matt Cassel
14,14,Jay Cutler,19.22,Jay Cutler
15,15,Derek Carr,19.14,Derek Carr
16,16,Blaine Gabbert,18.92,Blaine Gabbert
17,17,Blake Bortles,18.52,Blake Bortles
18,18,Eli Manning,17.86,Eli Manning
19,19,Nick Foles,17.72,Nick Foles
20,21,Brian Hoyer,17.74,Brian Hoyer
21,22,Jameis Winston,18.16,Jameis Winston
22,23,Matt Hasselbeck,14.04,Matt Hasselbeck
23,24,Matthew Stafford,15.28,NaN
24,25,Russell Wilson,15.64,Russell Wilson
25,26,Kirk Cousins,13.4,Kirk Cousins
26,27,Philip Rivers,13.22,Philip Rivers
27,28,Teddy Bridgewater,13.4,Teddy Bridgewater
28,29,Tyrod Taylor,12.6,Tyrod Taylor
29,30,Matt Schaub,11.98,Matt Schaub
30,31,Sam Bradford,9.68,Sam Bradford
31,33,Devonta Freeman,27.6,Devonta Freeman
32,34,Adrian Peterson,25.0,Adrian Peterson
33,35,A.J. Green,28.1,A.J. Green
34,36,Antonio Brown,28.0,Antonio Brown
35,37,Julio Jones,26.7,Julio Jones
36,38,Dez Bryant,26.4,Dez Bryant
37,39,T.Y. Hilton,26.4,T.Y. Hilton
38,40,Randall Cobb,23.7,NaN
39,41,Alshon Jeffery,22.7,Alshon Jeffery
40,42,Amari Cooper,22.6,Amari Cooper
41,43,DeAngelo Williams,17.5,DeAngelo Williams
42,44,Jonathan Stewart,17.4,Jonathan Stewart
43,45,Mike Evans,22.1,Mike Evans
