,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,31.94,NaN
1,1,Tom Brady,28.62,Tom Brady
2,2,Matt Ryan,24.6,Matt Ryan
3,3,Cam Newton,27.66,Cam Newton
4,4,Brock Osweiler,21.3,Brock Osweiler
5,5,Ben Roethlisberger,20.76,Ben Roethlisberger
6,6,Ryan Fitzpatrick,22.2,Ryan Fitzpatrick
7,7,Andy Dalton,23.4,Andy Dalton
8,8,Marcus Mariota,20.28,Marcus Mariota
9,9,Carson Palmer,19.64,Carson Palmer
10,10,Drew Brees,19.44,Drew Brees
11,11,Ryan Tannehill,19.68,Ryan Tannehill
12,12,Alex Smith,19.44,Alex Smith
13,13,Matt Cassel,15.38,Matt Cassel
14,14,Jay Cutler,19.22,Jay Cutler
15,15,Derek Carr,19.14,Derek Carr
16,16,Blaine Gabbert,18.92,Blaine Gabbert
17,17,Blake Bortles,18.52,Blake Bortles
18,18,Eli Manning,17.86,Eli Manning
19,19,Nick Foles,17.72,Nick Foles
20,21,Brian Hoyer,17.74,Brian Hoyer
21,22,Jameis Winston,18.16,Jameis Winston
22,23,Matt Hasselbeck,14.04,Matt Hasselbeck
23,24,Matthew Stafford,15.28,NaN
24,25,Russell Wilson,15.64,Russell Wilson
25,26,Kirk Cousins,13.4,Kirk Cousins
26,27,Philip Rivers,13.22,Philip Rivers
27,28,Teddy Bridgewater,13.4,Teddy Bridgewater
28,29,Tyrod Taylor,12.6,Tyrod Taylor
29,30,Matt Schaub,11.98,Matt Schaub
30,31,Sam Bradford,9.68,Sam Bradford
31,33,Devonta Freeman,23.8,Devonta Freeman
32,34,Adrian Peterson,23.1,Adrian Peterson
33,35,A.J. Green,18.45,A.J. Green
34,36,Antonio Brown,17.4,Antonio Brown
35,37,Julio Jones,17.05,Julio Jones
36,38,Dez Bryant,16.75,Dez Bryant
37,39,T.Y. Hilton,16.75,T.Y. Hilton
38,40,Randall Cobb,16.1,NaN
39,41,Alshon Jeffery,16.05,Alshon Jeffery
40,42,Amari Cooper,15.95,Amari Cooper
41,43,DeAngelo Williams,15.6,DeAngelo Williams
42,44,Jonathan Stewart,15.5,Jonathan Stewart
43,45,Mike Evans,15.45,Mike Evans
44,46,DeAndre Hopkins,15.3,DeAndre Hopkins
45,47,Brandon Marshall,15.15,Brandon Marshall
46,48,Matt Forte,14.9,Matt Forte
47,49,Giovani Bernard,13.75,Giovani Bernard
48,50,Eric Decker,14.9,Eric Decker
49,51,Odell Beckham,14.7,Odell Beckham Jr.
50,52,Chris Ivory,13.5,NaN
51,54,Demaryius Thomas,14.65,Demaryius Thomas
52,55,Ronnie Hillman,14.3,Ronnie Hillman
53,56,T.J. Yeldon,14.2,T.J. Yeldon
54,57,Tyler Eifert,14.4,Tyler Eifert
55,58,Emmanuel Sanders,14.25,Emmanuel Sanders
56,59,Eddie Lacy,12.9,NaN
57,60,James Starks,13.75,NaN
58,61,Todd Gurley,12.7,Todd Gurley
59,62,LeSean McCoy,13.6,LeSean McCoy
60,63,Martellus Bennett,13.85,Martellus Bennett
61,64,Greg Olsen,13.65,Greg Olsen
62,65,Thomas Rawls,13.3,Thomas Rawls
63,66,Martavis Bryant,13.45,Martavis Bryant
64,67,DeMarco Murray,13.3,DeMarco Murray
65,68,Jeremy Maclin,13.5,Jeremy Maclin
66,69,Delanie Walker,13.3,Delanie Walker
67,70,Stefon Diggs,13.0,Stefon Diggs
68,71,Javorius Allen,14.75,Javorius Allen
69,72,Gary Barnidge,12.85,Gary Barnidge
70,73,Mike Wallace,12.65,Mike Wallace
71,75,Charcandrick West,11.45,Charcandrick West
72,76,James Jones,12.6,NaN
73,77,Marvin Jones,12.5,Marvin Jones
74,78,Travis Kelce,12.35,Travis Kelce
75,79,Brandin Cooks,12.3,Brandin Cooks
76,80,Jarvis Landry,12.25,Jarvis Landry
77,81,Doug Martin,11.95,Doug Martin
78,82,C.J. Spiller,11.8,C.J. Spiller
79,83,Brandon LaFell,11.95,Brandon LaFell
80,84,Travis Benjamin,11.9,Travis Benjamin
81,85,Jason Witten,11.85,Jason Witten
82,86,Donte Moncrief,11.7,Donte Moncrief
83,87,Kamar Aiken,11.65,Kamar Aiken
84,88,Kendall Wright,11.65,Kendall Wright
85,89,Allen Robinson,11.6,Allen Robinson
86,90,Austin Seferian-Jenkins,11.65,Austin Seferian-Jenkins
87,91,Harry Douglas,11.4,Harry Douglas
88,92,Vincent Jackson,11.3,Vincent Jackson
89,93,Marques Colston,11.35,Marques Colston
90,94,Jeremy Hill,10.1,Jeremy Hill
91,96,Michael Crabtree,11.2,Michael Crabtree
92,97,Mark Ingram,11.0,Mark Ingram
93,98,Anquan Boldin,11.1,Anquan Boldin
94,99,Richard Rodgers,11.15,NaN
95,100,Cecil Shorts,11.0,Cecil Shorts
96,101,Rueben Randle,11.0,Rueben Randle
97,102,Alfred Morris,10.75,Alfred Morris
98,103,Antonio Andrews,10.8,Antonio Andrews
99,104,Eric Ebron,10.75,NaN
100,105,Jeremy Langford,10.5,Jeremy Langford
101,106,David Cobb,10.45,David Cobb
102,107,Julius Thomas,10.6,Julius Thomas
103,108,Davante Adams,10.55,NaN
