,Unnamed: 0,player,nfl,dk_name
0,0,Tom Brady,33.18,Tom Brady
1,1,Cam Newton,31.48,Cam Newton
2,2,Devonta Freeman,29.29,Devonta Freeman
3,3,Marcus Mariota,29.28,Marcus Mariota
4,4,Aaron Rodgers,24.78,NaN
5,5,Russell Wilson,25.04,Russell Wilson
6,6,Matt Cassel,24.56,Matt Cassel
7,7,Dez Bryant,23.34,Dez Bryant
8,8,T.J. Yeldon,22.07,T.J. Yeldon
9,9,Blake Bortles,23.56,Blake Bortles
10,10,Matt Ryan,23.48,Matt Ryan
11,11,Brock Osweiler,22.42,Brock Osweiler
12,12,Giovani Bernard,21.53,Giovani Bernard
13,13,Ben Roethlisberger,21.76,Ben Roethlisberger
14,14,Thomas Rawls,20.255,Thomas Rawls
15,15,Drew Brees,21.74,Drew Brees
16,16,Eli Manning,20.62,Eli Manning
17,17,Ryan Fitzpatrick,21.48,Ryan Fitzpatrick
18,18,Doug Martin,19.25,Doug Martin
19,19,Blaine Gabbert,22.02,Blaine Gabbert
20,20,Philip Rivers,20.5,Philip Rivers
21,21,Carson Palmer,19.2,Carson Palmer
22,22,Jameis Winston,20.46,Jameis Winston
23,23,Julio Jones,17.86,Julio Jones
24,24,Ryan Tannehill,18.18,Ryan Tannehill
25,25,Chris Ivory,16.86,NaN
26,26,Mike Evans,17.13,Mike Evans
27,27,Shane Vereen,16.73,Shane Vereen
28,28,A.J. Green,16.805,A.J. Green
29,29,Todd Gurley,16.28,Todd Gurley
30,30,Alex Smith,16.98,Alex Smith
31,31,Andy Dalton,18.94,Andy Dalton
32,32,Derek Carr,16.64,Derek Carr
33,33,Antonio Brown,15.755,Antonio Brown
34,34,Rob Gronkowski,15.66,Rob Gronkowski
35,35,DeAngelo Williams,15.235,DeAngelo Williams
36,36,Randall Cobb,15.53,NaN
37,37,Matt Jones,15.145,Matt Jones
38,38,Jonathan Stewart,15.17,Jonathan Stewart
39,39,Jay Cutler,18.04,Jay Cutler
40,40,Nick Foles,16.72,Nick Foles
41,41,Matthew Stafford,16.48,NaN
42,42,Kirk Cousins,16.44,Kirk Cousins
43,43,Odell Beckham,14.595,Odell Beckham Jr.
44,44,Amari Cooper,14.61,Amari Cooper
45,45,Ronnie Hillman,13.905,Ronnie Hillman
46,46,Teddy Bridgewater,14.7,Teddy Bridgewater
47,47,Alshon Jeffery,14.075,Alshon Jeffery
48,48,David Johnson,13.825,David Johnson
49,49,Adrian Peterson,13.665,Adrian Peterson
50,50,Danny Woodhead,13.81,Danny Woodhead
51,51,LeSean McCoy,13.56,LeSean McCoy
52,52,DeMarco Murray,13.57,DeMarco Murray
53,53,Charcandrick West,13.565,Charcandrick West
54,54,Darren McFadden,13.435,Darren McFadden
55,55,DeAndre Hopkins,13.665,DeAndre Hopkins
56,56,Tyrod Taylor,15.14,Tyrod Taylor
57,57,Matt Forte,13.22,Matt Forte
58,58,Demaryius Thomas,13.455,Demaryius Thomas
59,59,Shaun Draughn,13.145,Shaun Draughn
60,60,Tyler Eifert,13.245,Tyler Eifert
61,61,Frank Gore,12.965,Frank Gore
62,62,Emmanuel Sanders,13.23,Emmanuel Sanders
63,63,Darren Sproles,13.095,Darren Sproles
64,64,Brandon Marshall,13.14,Brandon Marshall
65,65,C.J. Spiller,12.91,C.J. Spiller
66,66,Eric Decker,13.035,Eric Decker
67,67,DeSean Jackson,13.025,DeSean Jackson
68,68,Greg Olsen,12.93,Greg Olsen
69,69,Gary Barnidge,12.825,Gary Barnidge
70,70,Larry Fitzgerald,12.72,Larry Fitzgerald
71,71,Duke Johnson,12.55,Duke Johnson
72,72,Delanie Walker,12.72,Delanie Walker
73,73,Brandin Cooks,12.575,Brandin Cooks
74,74,Eddie Lacy,12.395,NaN
75,75,Austin Seferian-Jenkins,12.615,Austin Seferian-Jenkins
76,76,Jeremy Hill,12.27,Jeremy Hill
77,77,Anquan Boldin,12.405,Anquan Boldin
78,78,Martavis Bryant,12.39,Martavis Bryant
79,79,Jeremy Maclin,12.405,Jeremy Maclin
80,80,Martellus Bennett,12.3,Martellus Bennett
81,81,Allen Hurns,12.3,Allen Hurns
82,82,Mark Ingram,12.035,Mark Ingram
83,83,Vincent Jackson,12.3,Vincent Jackson
84,84,James Jones,12.3,NaN
85,85,Brandon LaFell,12.29,Brandon LaFell
86,86,Antonio Andrews,11.87,Antonio Andrews
87,87,Jason Witten,12.09,Jason Witten
88,88,Pierre Garcon,11.985,Pierre Garcon
89,89,Allen Robinson,11.985,Allen Robinson
90,90,Travis Benjamin,11.87,Travis Benjamin
91,91,David Cobb,11.655,David Cobb
92,92,Jarvis Landry,11.875,Jarvis Landry
93,93,Willie Snead,11.88,Willie Snead
94,94,Javorius Allen,11.605,Javorius Allen
95,95,Lamar Miller,11.555,Lamar Miller
96,96,Sam Bradford,12.4,Sam Bradford
97,97,Stefon Diggs,11.67,Stefon Diggs
98,98,Matt Hasselbeck,12.4,Matt Hasselbeck
99,99,Marvin Jones,11.67,Marvin Jones
100,100,LeGarrette Blount,11.315,LeGarrette Blount
101,101,Marques Colston,11.46,Marques Colston
102,102,De'Anthony Thomas,11.325,De'Anthony Thomas
103,103,Travis Kelce,11.355,Travis Kelce
104,104,Sammy Watkins,11.345,Sammy Watkins
105,105,Donte Moncrief,11.235,Donte Moncrief
106,106,Mike Wallace,11.245,Mike Wallace
107,107,Kendall Wright,11.23,Kendall Wright
108,108,Harry Douglas,11.04,Harry Douglas
109,109,Kamar Aiken,10.935,Kamar Aiken
110,110,Doug Baldwin,10.93,Doug Baldwin
111,111,Rishard Matthews,10.935,Rishard Matthews
112,112,Rueben Randle,10.935,Rueben Randle
113,113,Richard Rodgers,10.935,NaN
114,114,Alfred Morris,10.625,Alfred Morris
115,115,Julius Thomas,10.83,Julius Thomas
116,116,Joique Bell,10.44,NaN
117,117,Michael Crabtree,10.515,Michael Crabtree
118,118,Robert Woods,10.515,Robert Woods
119,119,Ameer Abdullah,10.25,NaN
120,120,John Brown,10.41,John Brown
121,121,Eric Ebron,10.41,NaN
122,122,Stevan Ridley,10.22,Stevan Ridley
123,123,Davante Adams,10.305,NaN
124,124,Charles Clay,10.2,Charles Clay
125,125,Leonard Hankerson,10.095,Leonard Hankerson
126,126,Scott Chandler,9.99,Scott Chandler
127,127,Ladarius Green,9.99,Ladarius Green
128,128,T.Y. Hilton,10.275,T.Y. Hilton
129,129,Kenny Stills,9.99,Kenny Stills
130,130,Bobby Rainey,9.79,Bobby Rainey
131,131,Terrance Williams,9.885,Terrance Williams
132,132,Antonio Gates,9.78,Antonio Gates
133,133,Brian Quick,9.57,Brian Quick
134,134,Eddie Royal,9.57,Eddie Royal
135,135,Toby Gerhart,9.235,Toby Gerhart
136,136,Torrey Smith,9.36,Torrey Smith
137,137,Brandon Coleman,9.255,Brandon Coleman
138,138,Knile Davis,9.14,Knile Davis
139,139,Jordan Reed,9.255,Jordan Reed
140,140,Mike Tolbert,9.075,Mike Tolbert
141,141,Matt Schaub,9.98,Matt Schaub
142,142,Vernon Davis,9.045,Vernon Davis
143,143,Dorial Green-Beckham,8.94,Dorial Green-Beckham
144,144,Devin Funchess,8.835,Devin Funchess
145,145,Steve Johnson,8.835,Steve Johnson
146,146,Dwayne Allen,8.73,Dwayne Allen
147,147,Owen Daniels,8.73,Owen Daniels
148,148,Rashad Jennings,8.635,Rashad Jennings
149,149,Andre Johnson,8.625,Andre Johnson
150,150,Gavin Escobar,8.52,Gavin Escobar
151,151,Mychal Rivera,8.52,Mychal Rivera
152,152,Cole Beasley,8.415,Cole Beasley
153,153,Tevin Coleman,8.215,Tevin Coleman
154,154,Brian Hoyer,9.98,Brian Hoyer
155,155,Ryan Mathews,7.275,Ryan Mathews
156,156,Latavius Murray,7.235,Latavius Murray
157,157,Coby Fleener,7.35,Coby Fleener
158,158,Calvin Johnson,7.035,NaN
159,159,Mohamed Sanu,6.905,Mohamed Sanu
160,160,Isaiah Crowell,6.24,Isaiah Crowell
161,161,Charles Sims,6.195,Charles Sims
162,162,Jordan Matthews,6.3,Jordan Matthews
163,163,Denard Robinson,5.645,Denard Robinson
164,164,Golden Tate,5.865,NaN
165,165,Roy Helu,5.615,Roy Helu
166,166,Bilal Powell,5.585,Bilal Powell
167,167,James Starks,5.6,NaN
168,168,Tavon Austin,5.545,Tavon Austin
169,169,Jamison Crowder,5.655,Jamison Crowder
170,170,Jordan Cameron,5.565,Jordan Cameron
171,171,Zach Ertz,5.46,Zach Ertz
172,172,Fozzy Whittaker,5.17,NaN
173,173,Heath Miller,5.25,Heath Miller
174,174,Alfred Blue,4.835,Alfred Blue
175,175,Ted Ginn,4.935,Ted Ginn Jr.
176,176,Marqise Lee,4.925,Marqise Lee
177,177,Benjamin Watson,4.935,Benjamin Watson
178,178,Jermaine Kearse,4.82,Jermaine Kearse
179,179,C.J. Anderson,4.44,C.J. Anderson
180,180,Kyle Rudolph,4.62,Kyle Rudolph
181,181,Darrius Heyward-Bey,4.515,Darrius Heyward-Bey
182,182,Jeremy Kerley,4.505,Jeremy Kerley
183,183,Danny Amendola,4.2,Danny Amendola
184,184,Andrew Hawkins,4.195,Andrew Hawkins
185,185,James White,4.11,James White
186,186,Kenny Britt,4.09,Kenny Britt
187,187,Michael Floyd,4.095,Michael Floyd
188,188,Theo Riddick,3.975,NaN
189,189,Cecil Shorts,4.095,Cecil Shorts
190,190,Jeremy Langford,3.665,Jeremy Langford
191,191,Corey Brown,3.65,NaN
192,192,Chris Givens,3.57,Chris Givens
193,193,Greg Jennings,3.57,Greg Jennings
194,194,Tre Mason,3.435,Tre Mason
195,195,Benny Cunningham,3.4,Benny Cunningham
196,196,Marlon Brown,3.36,Marlon Brown
197,197,Andre Ellington,3.245,Andre Ellington
198,198,Josh Huff,3.36,Josh Huff
199,199,Jaelen Strong,3.36,Jaelen Strong
200,200,Clay Harbor,3.255,Clay Harbor
201,201,Jarius Wright,3.23,Jarius Wright
202,202,Marcedes Lewis,3.15,Marcedes Lewis
203,203,Andre Roberts,3.145,Andre Roberts
204,204,Maxx Williams,3.045,Maxx Williams
205,205,Melvin Gordon,2.82,Melvin Gordon
206,206,Brian Hartline,2.835,Brian Hartline
207,207,Charles Johnson,2.83,Charles Johnson
208,208,Cordarrelle Patterson,2.69,Cordarrelle Patterson
209,209,Andre Caldwell,2.625,Andre Caldwell
210,210,Brent Celek,2.625,Brent Celek
211,211,Virgil Green,2.625,Virgil Green
212,212,Andre Williams,2.52,Andre Williams
213,213,Nelson Agholor,2.52,Nelson Agholor
214,214,Levine Toilolo,2.52,Levine Toilolo
215,215,Brandon Bolden,2.33,Brandon Bolden
216,216,Jerricho Cotchery,2.415,Jerricho Cotchery
217,217,Garrett Graham,2.415,Garrett Graham
218,218,Ka'Deem Carey,2.23,Ka'Deem Carey
219,219,Anthony Fasano,2.31,Anthony Fasano
220,220,Roddy White,2.31,Roddy White
221,221,Bryan Walters,2.205,Bryan Walters
