Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,CBS,Player,,Player_ID,
Passing,Rushing,Misc,,,,,,,,,,,,,,,,,,,,
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,,,,,
"Bryce Petty,NYJ",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Chase Daniel,KC",0.2,0.1,1.1,0,0,58.8,4.8,0.1,0.4,4.9,0,,,,,0,0,,,,,
"Derek Anderson,CAR",0.3,0.2,2.2,0,0,69.7,7.3,0.1,0.2,2.5,0,,,,,0,0,,,,,
"Joe Flacco,BAL",37.8,24.2,278,1.7,1,64,7.4,2,5,2.5,0.1,,,,,0.1,0,,,,,
"Austin Davis,CLE",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Andy Dalton,CIN",31,18.4,239,1.9,1.1,59.4,7.7,4.1,13.4,3.3,0.3,,,,,0.2,0,,,,,
"Ryan Tannehill,MIA",36.3,22.7,255,1.6,0.9,62.5,7,2.9,15.1,5.3,0.1,,,,,0.3,0,,,,,
"Landry Jones,PIT",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Alex Smith,KC",33,20.2,203,1.3,0.9,61.2,6.2,4.3,21.8,5,0,,,,,0.2,0,,,,,
"Robert Griffin III,WAS",0.6,0.4,4.7,0,0,62.2,7.8,0.2,0.9,4.3,0,,,,,0,0,,,,,
"Tarvaris Jackson,SEA",0.1,0,0.5,0,0,70.6,9.3,0,0,0.9,0,,,,,0,0,,,,,
"Josh McCown,CLE",31.8,18.2,252,0.9,0.9,57.2,7.9,2.3,15.9,7,0.1,,,,,0.3,0,,,,,
"Matthew Stafford,DET",40.5,24.7,242,1.3,1.1,61,6,2.2,5.5,2.5,0,,,,,0.3,0,,,,,
"Thad Lewis,PHI",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Trevor Siemian,DEN",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Tyrod Taylor,BUF",29.7,19.2,235,1.7,0.8,64.6,7.9,5.6,35.1,6.3,0.2,,,,,0.2,0,,,,,
"Drew Brees,NO",39.2,26.3,284,1.6,1.1,67.1,7.2,1.5,3.5,2.3,0.1,,,,,0.2,0,,,,,
"Ryan Nassib,NYG",0,0,0.3,0,0,65.9,8.1,0,0,2.1,0,,,,,0,0,,,,,
"Philip Rivers,SD",34.6,22.4,268,1.9,1.6,64.7,7.7,1.7,4.7,2.8,0,,,,,0.2,0,,,,,
"Sean Renfree,ATL",0,0,0.3,0,0,63.4,7.5,0,0,4,0,,,,,0,0,,,,,
"Jameis Winston,TB",31.6,18.4,210,1.5,1.2,58.2,6.6,3.5,15.4,4.5,0.1,,,,,0.2,0,,,,,
"Dan Orlovsky,DET",0,0,0.2,0,0,61.5,5.9,0,0,4,0,,,,,0,0,,,,,
"Peyton Manning,DEN",37.6,26.4,285,2.4,0.7,70.2,7.6,1.3,2.3,1.7,0,,,,,0.2,0,,,,,
"Mike Glennon,TB",0.6,0.4,4.2,0,0,59.4,6.8,0.1,0.3,2.9,0,,,,,0,0,,,,,
"Matt Barkley,ARI",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Brandon Weeden,DAL",27.2,18.3,223,1.4,0.7,67.3,8.2,1.5,4.8,3.1,0,,,,,0.2,0,,,,,
"Eli Manning,NYG",36.6,22.2,239,1.3,1,60.7,6.5,0.9,4.7,5.4,0,,,,,0.3,0,,,,,
"B.J. Daniels,SEA",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Sean Mannion,STL",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"David Fales,CHI",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Cam Newton,CAR",32.7,21.9,251,1.5,0.9,67,7.7,8.5,41.9,4.9,0.4,,,,,0.2,0,,,,,
"Matt Schaub,BAL",0.4,0.3,3.1,0,0,63.5,7.9,0,0.1,5.6,0,,,,,0,0,,,,,
"Drew Stanton,ARI",0.5,0.3,3.8,0,0,67.9,8.3,0.1,0.2,2.4,0,,,,,0,0,,,,,
"Chad Henne,JAC",0.6,0.4,3.9,0,0,55.9,6.2,0.1,0.4,4.3,0,,,,,0,0,,,,,
"Joe Webb,CAR",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,
"Matt Hasselbeck,IND",0.2,0.1,1.6,0,0,64.6,7.5,0.1,0.1,1.5,0,,,,,0,0,,,,,
"Scott Tolzien,GB",0.2,0.1,1.7,0,0,65.8,8.6,0,0.4,10.8,0,,,,,0,0,,,,,
"Aaron Rodgers,GB",32.4,21.6,262,1.9,0.7,66.7,8.1,3.4,17.3,5.1,0.1,,,,,0.1,0,,,,,
