"Player
Sort First: 
		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,Rec,Yard,TD,FFPts,Fftoday
"Player
Sort First: 
		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,,,,FFPts,
Aaron Rodgers,GB,@SF,24,37,295,3,0,3,20,0,,,,28.8,
Russell Wilson,SEA,DET,19,31,235,1,0,9,40,1,,,,25.8,
Andrew Luck,IND,JAC,24,39,280,2,0,5,20,0,,,,24,
Cam Newton,CAR,@TB,20,32,240,2,1,7,40,0,,,,24,
Tyrod Taylor,BUF,NYG,20,35,245,2,1,6,30,0,,,,23.3,
Derek Carr,OAK,@CHI,22,37,275,2,1,3,10,0,,,,22.8,
Eli Manning,NYG,@BUF,24,36,280,2,1,1,5,0,,,,22.5,
Peyton Manning,DEN,MIN,24,36,290,2,1,0,0,0,,,,22.5,
Matt Ryan,ATL,HOU,24,36,280,2,1,1,5,0,,,,22.5,
Andy Dalton,CIN,KC,24,39,265,2,1,3,10,0,,,,22.3,
Joe Flacco,BAL,@PIT,27,43,275,2,1,2,5,0,,,,22.3,
Drew Brees,NO,DAL,24,37,280,2,1,0,0,0,,,,22,
Carson Palmer,ARI,STL,22,34,270,2,1,1,5,0,,,,22,
Philip Rivers,SD,CLE,21,34,275,2,0,0,0,0,,,,21.8,
Sam Bradford,PHI,@WAS,21,35,260,2,1,1,5,0,,,,21.5,
Blake Bortles,JAC,@IND,20,32,235,2,1,1,10,0,,,,20.8,
Kirk Cousins,WAS,PHI,19,32,235,2,1,2,10,0,,,,20.8,
Colin Kaepernick,SF,GB,22,37,245,1,0,9,35,0,,,,19.8,
Ryan Tannehill,MIA,NYJ,23,35,260,1,1,3,10,0,,,,18,
Michael Vick,PIT,BAL,21,35,240,1,1,4,20,0,,,,18,
Teddy Bridgewater,MIN,@DEN,20,31,235,1,2,4,20,0,,,,17.8,
Alex Smith,KC,@CIN,22,34,240,1,0,3,15,0,,,,17.5,
Ryan Mallett,HOU,@ATL,22,36,250,1,1,2,5,0,,,,17,
Brandon Weeden,DAL,@NO,22,36,250,1,0,1,5,0,,,,17,
Jimmy Clausen,CHI,OAK,22,37,245,1,1,1,5,0,,,,16.8,
Matthew Stafford,DET,@SEA,19,32,245,1,1,1,5,0,,,,16.8,
Josh McCown,CLE,@SD,18,30,225,1,2,2,10,0,,,,16.3,
Jameis Winston,TB,CAR,18,31,225,1,1,2,10,0,,,,16.3,
Ryan Fitzpatrick,NYJ,@MIA,19,31,220,1,1,2,10,0,,,,16,
