,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Lacy,RB,GB,7,@SFSun 4:25,,,,,,,,27,122,1,4,36,0,1,158,1,0,0,20.8,97%,
Joseph Randle,RB,DAL,6,@NOSun 8:30,,,,,,,,12,49,1,1,9,1,0,58,2,0,0,19.8,90%,
Matt Forte,RB,CHI,7,OAKSun 1:00,,,,,,,,22,90,1,6,46,0,1,136,1,0,0,18.6,98%,
Le'Veon Bell,RB,PIT,11,BAL,,,,,,,,18,78,1,4,42,0,0,120,1,0,0,18,97%,
Alshon Jeffery,WR,CHI,7,OAKSun 1:00,,,,,,,,0,3,0,8,102,1,0,105,1,0,0,16.5,95%,
Antonio Brown,WR,PIT,11,BAL,,,,,,,,0,2,0,8,100,1,0,102,1,0,0,16.2,98%,
T.Y. Hilton,WR,IND,10,JACSun 1:00,,,,,,,,0,3,0,7,98,1,0,101,1,0,0,16.1,96%,
Adrian Peterson,RB,MIN,5,@DENSun 4:25,,,,,,,,23,103,1,3,17,0,1-Jan,120,1,0,0,16,98%,
Jamaal Charles,RB,KC,9,@CINSun 1:00,,,,,,,,16,83,1,3,27,0,1,110,1,0,0,16,98%,
Jeremy Hill,RB,CIN,7,KCSun 1:00,,,,,,,,18,89,1,2,16,0,1,105,1,0,0,15.5,94%,
Julio Jones,WR,ATL,10,HOUSun 1:00,,,,,,,,0,1,0,6,90,1,0,91,1,0,0,15.1,98%,
DeAndre Hopkins,WR,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,7,91,1,0,91,1,0,0,15.1,95%,
Jimmy Graham,TE,SEA,9,DETMon 8:30,,,,,,,,0,0,0,8,90,1,0,90,1,0,0,15,98%,
Marshawn Lynch,RB,SEA,9,DETMon 8:30,,,,,,,,17,71,1,2,16,0,0,87,1,0,0,14.7,98%,
Mark Ingram,RB,NO,11,DALSun 8:30,,,,,,,,18,76,1,2,11,0,0,87,1,0,0,14.7,96%,
Amari Cooper,WR,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,6,83,1,0,83,1,0,0,14.3,89%,
Demaryius Thomas,WR,DEN,7,MINSun 4:25,,,,,,,,0,0,0,6,81,1,0,81,1,0,0,14.1,98%,
DeMarco Murray,RB,PHI,8,@WASSun 1:00,,,,,,,,18,81,1,2,19,0,1-Jan,100,1,0,0,14,97%,
Mike Evans,WR,TB,6,CARSun 1:00,,,,,,,,0,0,0,6,80,1,0,80,1,0,0,14,93%,
Jordan Matthews,WR,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,6,80,1,0,80,1,0,0,14,93%,
 Previous1234567Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,WR,SD,10,CLESun 4:05,,,,,,,,0,0,0,6,78,1,0,78,1,0,0,13.8,94%,
Zach Ertz,TE,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,6,78,1,0,78,1,0,0,13.8,55%,
Andre Ellington,RB,ARI,9,STLSun 4:25,,,,,,,,14,62,1,4,26,0,1,88,1,0,0,13.8,89%,
Randall Cobb,WR,GB,7,@SFSun 4:25,,,,,,,,1,6,0,6,72,1,0,78,1,0,0,13.8,97%,
Alfred Blue,RB,HOU,9,@ATLSun 1:00,,,,,,,,15,64,1,2,13,0,0,77,1,0,0,13.7,69%,
Mike Wallace,WR,MIN,5,@DENSun 4:25,,,,,,,,0,2,0,6,74,1,0,76,1,0,0,13.6,79%,
Brandin Cooks,WR,NO,11,DALSun 8:30,,,,,,,,1,8,0,6,68,1,0,76,1,0,0,13.6,89%,
Lamar Miller,RB,MIA,5,NYJSun 9:30,,,,,,,,15,62,1,2,14,0,0,76,1,0,0,13.6,92%,
C.J. Anderson,RB,DEN,7,MINSun 4:25,,,,,,,,13,58,1,2,17,0,0,75,1,0,0,13.5,92%,
Andre Johnson,WR,IND,10,JACSun 1:00,,,,,,,,0,0,0,6,75,1,0,75,1,0,0,13.5,82%,
Terrance Williams,WR,DAL,6,@NOSun 8:30,,,,,,,,0,0,0,5,75,1,0,75,1,0,0,13.5,74%,
Ronnie Hillman,RB,DEN,7,MINSun 4:25,,,,,,,,8,50,1,2,24,0,0,74,1,0,0,13.4,54%,
Larry Fitzgerald,WR,ARI,9,STLSun 4:25,,,,,,,,0,0,0,6,74,1,0,74,1,0,0,13.4,96%,
Markus Wheaton,WR,PIT,11,BAL,,,,,,,,0,2,0,5,72,1,0,74,1,0,0,13.4,50%,
Tyler Eifert,TE,CIN,7,KCSun 1:00,,,,,,,,0,0,0,6,74,1,0,74,1,0,0,13.4,84%,
Pierre Garcon,WR,WAS,8,PHISun 1:00,,,,,,,,0,0,0,6,73,1,0,73,1,0,0,13.3,62%,
Devin Funchess,WR,CAR,5,@TBSun 1:00,,,,,,,,0,0,0,5,73,1,0,73,1,0,0,13.3,24%,
Marques Colston,WR,NO,11,DALSun 8:30,,,,,,,,0,0,0,6,72,1,0,72,1,0,0,13.2,68%,
Rashad Jennings,RB,NYG,11,@BUFSun 1:00,,,,,,,,15,54,1,2,17,0,0,71,1,0,0,13.1,86%,
Chris Ivory,RB,NYJ,5,@MIASun 9:30,,,,,,,,14,61,1,1,9,0,0,70,1,0,0,13,91%,
 Previous1234567Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Green,WR,CIN,7,KCSun 1:00,,,,,,,,0,1,0,5,69,1,0,70,1,0,0,13,98%,
LeSean McCoy,RB,BUF,8,NYGSun 1:00,,,,,,,,14,58,1,2,11,0,0,69,1,0,0,12.9,98%,
Frank Gore,RB,IND,10,JACSun 1:00,,,,,,,,14,57,1,2,12,0,0,69,1,0,0,12.9,96%,
Brandon Marshall,WR,NYJ,5,@MIASun 9:30,,,,,,,,0,0,0,6,68,1,0,68,1,0,0,12.8,97%,
Melvin Gordon,RB,SD,10,CLESun 4:05,,,,,,,,15,59,1,1,8,0,0,67,1,0,0,12.7,87%,
Emmanuel Sanders,WR,DEN,7,MINSun 4:25,,,,,,,,0,2,0,5,65,1,0,67,1,0,0,12.7,96%,
Odell Beckham,WR,NYG,11,@BUFSun 1:00,,,,,,,,0,3,0,4,63,1,0,66,1,0,0,12.6,95%,
Sammy Watkins,WR,BUF,8,NYGSun 1:00,,,,,,,,0,2,0,5,64,1,0,66,1,0,0,12.6,89%,
T.J. Yeldon,RB,JAC,8,@INDSun 1:00,,,,,,,,15,70,1,2,15,0,1-Jan,85,1,0,0,12.5,82%,
Justin Forsett,RB,BAL,9,@PIT,,,,,,,,12,50,1,2,14,0,0,64,1,0,0,12.4,92%,
Jeremy Maclin,WR,KC,9,@CINSun 1:00,,,,,,,,0,0,0,5,62,1,0,62,1,0,0,12.2,92%,
Michael Crabtree,WR,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,5,61,1,0,61,1,0,0,12.1,68%,
Allen Robinson,WR,JAC,8,@INDSun 1:00,,,,,,,,0,0,0,5,61,1,0,61,1,0,0,12.1,81%,
Calvin Johnson,WR,DET,9,@SEAMon 8:30,,,,,,,,0,0,0,4,60,1,0,60,1,0,0,12,99%,
Kenny Stills,WR,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,5,60,1,0,60,1,0,0,12,43%,
Jordan Cameron,TE,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,5,60,1,0,60,1,0,0,12,84%,
Torrey Smith,WR,SF,10,GBSun 4:25,,,,,,,,4,0,0,5,59,1,0,59,1,0,0,11.9,78%,
Nelson Agholor,WR,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,4,59,1,0,59,1,0,0,11.9,55%,
Martellus Bennett,TE,CHI,7,OAKSun 1:00,,,,,,,,0,0,0,5,59,1,0,59,1,0,0,11.9,93%,
Roddy White,WR,ATL,10,HOUSun 1:00,,,,,,,,0,0,0,5,57,1,0,57,1,0,0,11.7,76%,
 Previous1234567Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bowe,WR,CLE,11,@SDSun 4:05,,,,,,,,0,0,0,5,57,1,0,57,1,0,0,11.7,14%,
Golden Tate,WR,DET,9,@SEAMon 8:30,,,,,,,,0,2,0,5,55,1,0,57,1,0,0,11.7,87%,
Jarvis Landry,WR,MIA,5,NYJSun 9:30,,,,,,,,0,2,0,5,55,1,0,57,1,0,0,11.7,89%,
James Jones,WR,GB,7,@SFSun 4:25,,,,,,,,0,0,0,5,56,1,0,56,1,0,0,11.6,83%,
Carlos Hyde,RB,SF,10,GBSun 4:25,,,,,,,,15,49,1,1,6,0,0,55,1,0,0,11.5,93%,
Anquan Boldin,WR,SF,10,GBSun 4:25,,,,,,,,0,0,0,5,55,1,0,55,1,0,0,11.5,74%,
Larry Donnell,TE,NYG,11,@BUFSun 1:00,,,,,,,,0,0,0,5,54,1,0,54,1,0,0,11.4,36%,
Latavius Murray,RB,OAK,6,@CHISun 1:00,,,,,,,,12,55,1,1,8,0,1,63,1,0,0,11.3,92%,
Charles Johnson,WR,MIN,5,@DENSun 4:25,,,,,,,,0,2,0,4,51,1,0,53,1,0,0,11.3,56%,
