Aaron Rodgers QB - GB View Videos,@SF,309,3,1,16,-,-,-,-,-,-,23.96
Cam Newton QB - CAR View Videos,@TB,212,2,1,33,1,-,-,-,-,-,23.78
Eddie Lacy RB - GB FP,@SF,-,-,-,122,1,36,-,-,-,-,21.80
Matt Forte RB - CHI View Video,OAK,-,-,-,90,1,46,-,-,-,-,19.60
Andrew Luck QB - IND LP View News View Videos,JAC,298,2,1,16,-,-,-,-,-,-,19.52
Matt Ryan QB - ATL View Videos,HOU,312,2,1,7,-,-,-,-,-,-,19.18
Carson Palmer QB - ARI View Videos,STL,305,2,1,3,-,-,-,-,-,-,18.50
Russell Wilson QB - SEA View Videos,DET,218,2,1,37,-,-,-,-,-,-,18.42
Le'Veon Bell RB - PIT View News View Videos,BAL,-,-,-,78,1,42,-,-,-,-,18.00
Nick Foles QB - STL View Videos,@ARI,283,2,1,3,-,-,-,-,-,-,17.62
Colin Kaepernick QB - SF View Videos,GB,197,2,1,36,-,-,-,-,-,-,17.48
Ryan Tannehill QB - MIA View Video,NYJ,242,2,1,17,-,-,-,-,-,-,17.38
Joe Flacco QB - BAL View News View Videos,@PIT,271,2,1,5,-,-,-,-,-,-,17.34
Matthew Stafford QB - DET View Video,@SEA,266,2,1,5,-,-,-,-,-,-,17.14
Jamaal Charles RB - KC,@CIN,-,-,-,83,1,27,-,-,-,-,17.00
Brandon Weeden QB - DAL View Videos,@NO,261,2,1,3,-,-,-,-,-,-,16.74
Sam Bradford QB - PHI View Videos,@WAS,256,2,1,3,-,-,-,-,-,-,16.54
Jeremy Hill RB - CIN,KC,-,-,-,89,1,16,-,-,-,-,16.50
Alshon Jeffery WR - CHI LP View News View Video,OAK,-,-,-,3,-,102,1,-,-,-,16.50
Philip Rivers QB - SD View Video,CLE,257,2,1,2,-,-,-,-,-,-,16.48
Antonio Brown WR - PIT View News View Videos,BAL,-,-,-,2,-,100,1,-,-,-,16.20
Alex Smith QB - KC View Videos,@CIN,216,2,1,14,-,-,-,-,-,-,16.04
Teddy Bridgewater QB - MIN View Videos,@DEN,210,2,1,16,-,-,-,-,-,-,16.00
Adrian Peterson RB - MIN View Videos,@DEN,-,-,-,103,1,17,-,-,-,1,16.00
Peyton Manning QB - DEN FP View Videos,MIN,251,2,1,-1,-,-,-,-,-,-,15.94
Eli Manning QB - NYG View Video,@BUF,243,2,1,1,-,-,-,-,-,-,15.82
Michael Vick QB - PIT View News View Videos,BAL,192,1,1,40,-,-,-,-,1,-,15.68
Luke McCown QB - NO View Videos,DAL,230,2,1,2,-,-,-,-,-,-,15.40
DeAndre Hopkins WR - HOU View Videos,@ATL,-,-,-,-,-,91,1,-,-,-,15.10
Julio Jones WR - ATL LP View News View Videos,HOU,-,-,-,1,-,90,1,-,-,-,15.10
Jimmy Graham TE - SEA,DET,-,-,-,-,-,90,1,-,-,-,15.00
Ryan Fitzpatrick QB - NYJ View Videos,@MIA,204,2,1,8,-,-,-,-,-,-,14.96
Andre Ellington RB - ARI LP View News View Video,STL,-,-,-,62,1,26,-,-,-,-,14.80
Mark Ingram RB - NO View Videos,DAL,-,-,-,76,1,11,-,-,-,-,14.70
Marshawn Lynch RB - SEA View News View Videos,DET,-,-,-,71,1,16,-,-,-,-,14.70
Amari Cooper WR - OAK View Videos,@CHI,-,-,-,-,-,83,1,-,-,-,14.30
Jameis Winston QB - TB View Videos,CAR,192,2,1,6,-,-,-,-,-,-,14.28
Demaryius Thomas WR - DEN View Videos,MIN,-,-,-,-,-,81,1,-,-,-,14.10
Mike Evans WR - TB,CAR,-,-,-,-,-,80,1,-,-,-,14.00
Jordan Matthews WR - PHI,@WAS,-,-,-,-,-,80,1,-,-,-,14.00
DeMarco Murray RB - PHI FP View News View Video,@WAS,-,-,-,81,1,19,-,-,-,1,14.00
Keenan Allen WR - SD View Videos,CLE,-,-,-,-,-,78,1,-,-,-,13.80
Randall Cobb WR - GB FP View Videos,@SF,-,-,-,6,-,72,1,-,-,-,13.80
Zach Ertz TE - PHI View Videos,@WAS,-,-,-,-,-,78,1,-,-,-,13.80
Alfred Blue RB - HOU View Videos,@ATL,-,-,-,64,1,13,-,-,-,-,13.70
Brandin Cooks WR - NO LP,DAL,-,-,-,8,-,68,1,-,-,-,13.60
Lamar Miller RB - MIA View Video,NYJ,-,-,-,62,1,14,-,-,-,-,13.60
Mike Wallace WR - MIN,@DEN,-,-,-,2,-,74,1,-,-,-,13.60
C.J. Anderson RB - DEN,MIN,-,-,-,58,1,17,-,-,-,-,13.50
Andre Johnson WR - IND FP,JAC,-,-,-,-,-,75,1,-,-,-,13.50
Terrance Williams WR - DAL,@NO,-,-,-,-,-,75,1,-,-,-,13.50
Kirk Cousins QB - WAS View News View Videos,PHI,175,2,1,4,-,-,-,-,-,-,13.40
Tyler Eifert TE - CIN View Videos,KC,-,-,-,-,-,74,1,-,-,-,13.40
Larry Fitzgerald WR - ARI View Videos,STL,-,-,-,-,-,74,1,-,-,-,13.40
Ronnie Hillman RB - DEN View Videos,MIN,-,-,-,50,1,24,-,-,-,-,13.40
Markus Wheaton WR - PIT View News View Videos,BAL,-,-,-,2,-,72,1,-,-,-,13.40
Jimmy Clausen QB - CHI View Videos,OAK,178,2,1,2,-,-,-,-,-,-,13.32
Devin Funchess WR - CAR,@TB,-,-,-,-,-,73,1,-,-,-,13.30
Pierre Garcon WR - WAS,PHI,-,-,-,-,-,73,1,-,-,-,13.30
Marques Colston WR - NO,DAL,-,-,-,-,-,72,1,-,-,-,13.20
Rashad Jennings RB - NYG View Videos,@BUF,-,-,-,54,1,17,-,-,-,-,13.10
A.J. Green WR - CIN View Videos,KC,-,-,-,1,-,69,1,-,-,-,13.00
Chris Ivory RB - NYJ FP View News View Videos,@MIA,-,-,-,61,1,9,-,-,-,-,13.00
Frank Gore RB - IND View Video,JAC,-,-,-,57,1,12,-,-,-,-,12.90
LeSean McCoy RB - BUF DNP View News,NYG,-,-,-,58,1,11,-,-,-,-,12.90
Brandon Marshall WR - NYJ,@MIA,-,-,-,-,-,68,1,-,-,-,12.80
Melvin Gordon RB - SD,CLE,-,-,-,59,1,8,-,-,-,-,12.70
