,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Quarterbacks Week 5 Standard Stats -- Average,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,,Misc,,0.0,0.0,0.0,0.0,Rushing,0.0,0.0,,Passing,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2,0.0,,Cmp,CmpPct,0.0,0.0,0.0,0.0,Att,0.0,0.0,YAtt,Player,0.0,0.0,0.0,0.0,0.0,Avg,0.0,0.0
3,0.0,,0.1,65.5,0.0,0.0,0.0,0.0,0.2,0.0,1.3,6.1,"Chase Daniel,KC",0.0,0.0,0.0,0.0,0.1,5.2,0.0,0.4
4,0.0,,20.3,57.5,0.0,0.1,1.1,0.0,35.3,1.9,245.0,6.9,"Joe Flacco,BAL",0.0,0.0,0.0,0.0,2.0,2.1,0.1,4.3
5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Austin Davis,CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,,19.3,63.9,0.0,0.3,1.0,0.0,30.2,1.5,228.0,7.5,"Andy Dalton,CIN",0.0,0.0,0.0,0.0,4.0,2.6,0.2,10.5
7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Landry Jones,PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,,20.9,68.1,0.0,0.2,0.8,0.0,30.7,2.2,242.0,7.9,"Alex Smith,KC",0.0,0.0,0.0,0.0,4.6,5.1,0.1,23.6
9,0.0,,0.4,67.0,0.0,0.0,0.0,0.0,0.6,0.0,5.0,7.9,"Robert Griffin III,WAS",0.0,0.0,0.0,0.0,0.2,5.4,0.0,1.0
10,0.0,,0.0,68.5,0.0,0.0,0.0,0.0,0.1,0.0,0.4,8.2,"Tarvaris Jackson,SEA",0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
11,0.0,,19.8,60.2,0.0,0.3,0.8,0.0,32.9,1.0,269.0,8.2,"Josh McCown,CLE",0.0,0.0,0.0,0.0,1.9,5.5,0.1,10.6
12,0.0,,22.4,61.4,0.0,0.2,1.1,0.0,36.5,1.4,256.0,7.0,"Matthew Stafford,DET",0.0,0.0,0.0,0.0,1.9,2.3,0.0,4.5
13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Thad Lewis,PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Trevor Siemian,DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,,19.5,64.1,0.0,0.1,0.7,0.0,30.4,1.5,231.0,7.6,"Tyrod Taylor,BUF",0.0,0.0,0.0,0.0,6.0,5.9,0.2,35.5
16,0.0,,27.0,69.1,0.0,0.3,1.0,0.0,39.1,1.4,319.0,8.2,"Drew Brees,NO",0.0,0.0,0.0,0.0,1.5,2.3,0.1,3.4
17,0.0,,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.7,"Ryan Nassib,NYG",0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0
18,0.0,,24.9,69.2,0.0,0.2,1.2,0.0,36.0,2.0,308.0,8.6,"Philip Rivers,SD",0.0,0.0,0.0,0.0,1.7,2.6,0.0,4.4
19,0.0,,0.0,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.9,"Sean Renfree,ATL",0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
20,0.0,,18.0,59.8,0.0,0.2,1.3,0.0,30.1,1.6,215.0,7.1,"Jameis Winston,TB",0.0,0.0,0.0,0.0,3.6,3.9,0.2,14.1
21,0.0,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0,"Dan Orlovsky,DET",0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
22,0.0,,28.5,70.2,0.0,0.2,0.9,0.0,40.6,2.4,315.0,7.8,"Peyton Manning,DEN",0.0,0.0,0.0,0.0,1.3,1.5,0.0,2.0
23,0.0,,0.4,61.2,0.0,0.0,0.0,0.0,0.6,0.0,4.5,7.3,"Mike Glennon,TB",0.0,0.0,0.0,0.0,0.1,2.9,0.0,0.3
24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Matt Barkley,ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,,16.7,61.2,0.0,0.1,1.6,0.0,27.3,1.1,206.0,7.5,"Brandon Weeden,DAL",0.0,0.0,0.0,0.0,1.7,2.3,0.0,3.9
26,0.0,,23.2,61.5,0.0,0.2,1.1,0.0,37.7,2.2,292.0,7.7,"Eli Manning,NYG",0.0,0.0,0.0,0.0,1.1,3.7,0.0,3.9
27,0.0,,0.1,64.9,0.0,0.0,0.0,0.0,0.1,0.0,0.4,5.6,"Jimmy Garoppolo,NE",0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.1
28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sean Mannion,STL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"David Fales,CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,,29.0,69.4,0.0,0.3,0.7,0.0,41.8,2.2,303.0,7.2,"Tom Brady,NE",0.0,0.0,0.0,0.0,2.7,1.2,0.0,3.2
31,0.0,,20.6,60.9,0.0,0.2,1.1,0.0,33.8,1.4,221.0,6.5,"Jay Cutler,CHI",0.0,0.0,0.0,0.0,2.3,6.3,0.0,14.6
32,0.0,,0.2,57.0,0.0,0.0,0.0,0.0,0.4,0.0,2.8,7.4,"Matt Schaub,BAL",0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.1
33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Charlie Whitehurst,TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,,0.3,63.8,0.0,0.0,0.0,0.0,0.4,0.0,3.3,7.5,"Drew Stanton,ARI",0.0,0.0,0.0,0.0,0.1,2.1,0.0,0.2
35,0.0,,0.4,64.4,0.0,0.0,0.0,0.0,0.7,0.0,4.5,6.8,"Chad Henne,JAC",0.0,0.0,0.0,0.0,0.1,4.0,0.0,0.4
36,0.0,,23.2,54.8,0.0,0.1,1.6,0.0,42.3,1.3,263.0,6.2,"Matt Hasselbeck,IND",0.0,0.0,0.0,0.0,2.0,1.6,0.0,3.1
37,0.0,,0.1,74.1,0.0,0.0,0.0,0.0,0.2,0.0,1.8,9.6,"Scott Tolzien,GB",0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.4
38,0.0,,23.7,75.5,0.0,0.2,0.3,0.0,31.4,2.4,286.0,9.1,"Aaron Rodgers,GB",0.0,0.0,0.0,0.0,3.5,5.6,0.1,19.9
39,0.0,,18.3,63.3,0.0,0.2,0.8,0.0,28.9,1.3,211.0,7.3,"Russell Wilson,SEA",0.0,0.0,0.0,0.0,7.0,7.3,0.2,51.0
40,0.0,,17.3,59.9,0.0,0.2,1.1,0.0,28.9,1.2,199.0,6.9,"Nick Foles,STL",0.0,0.0,0.0,0.0,2.2,4.0,0.2,8.7
41,0.0,,0.2,69.9,0.0,0.0,0.0,0.0,0.3,0.0,3.0,8.8,"Kellen Clemens,SD",0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1
42,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stephen Morris,PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,,0.4,55.0,0.0,0.0,0.0,0.0,0.6,0.0,4.4,6.9,"Brian Hoyer,HOU",0.0,0.0,0.0,0.0,0.1,2.4,0.0,0.2
44,0.0,,20.7,64.5,0.0,0.2,0.8,0.0,32.1,1.0,226.0,7.0,"Mike Vick,PIT",0.0,0.0,0.0,0.0,4.1,4.7,0.0,19.5
45,0.0,,0.2,55.6,0.0,0.0,0.0,0.0,0.3,0.0,1.6,4.7,"Jimmy Clausen,CHI",0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.1
46,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Brett Hundley,GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,,20.1,58.8,0.0,0.2,0.9,0.0,34.2,2.0,273.0,8.0,"Sam Bradford,PHI",0.0,0.0,0.0,0.0,2.1,4.4,0.0,9.3
48,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Garrett Grayson,NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,,0.2,58.3,0.0,0.0,0.0,0.0,0.3,0.0,2.8,8.5,"Johnny Manziel,CLE",0.0,0.0,0.0,0.0,0.1,4.3,0.0,0.4
