Receiving,Fantasy
Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
Rob Gronkowski,NE,@DAL,7,80,1,14.0
Martellus Bennett,CHI,@KC,6,65,1,12.5
Travis Kelce,KC,CHI,6,60,1,12.0
Charles Clay,BUF,@TEN,5,55,1,11.5
Tyler Eifert,CIN,SEA,6,55,1,11.5
Delanie Walker,TEN,BUF,5,55,1,11.5
Antonio Gates,SD,PIT,4,45,1,10.5
Owen Daniels,DEN,@OAK,3,30,1,9.0
Jimmy Graham,SEA,@CIN,5,55,0,5.5
Jason Witten,DAL,NE,5,55,0,5.5
Gary Barnidge,CLE,@BAL,5,50,0,5.0
Jared Cook,STL,@GB,5,45,0,4.5
Zach Ertz,PHI,NO,3,40,0,4.0
Larry Donnell,NYG,SF,3,35,0,3.5
Coby Fleener,IND,@HOU,3,35,0,3.5
Ben Watson,NO,@PHI,3,35,0,3.5
Derek Carrier,WAS,@ATL,3,30,0,3.0
Garrett Celek,SF,@NYG,3,30,0,3.0
Ladarius Green,SD,PIT,3,30,0,3.0
Heath Miller,PIT,@SD,3,30,0,3.0
Richard Rodgers,GB,STL,3,30,0,3.0
Dwayne Allen,IND,@HOU,2,25,0,2.5
Darren Fells,ARI,@DET,3,25,0,2.5
Brandon Myers,TB,JAC,2,25,0,2.5
Brandon Pettigrew,DET,ARI,2,25,0,2.5
Mychal Rivera,OAK,DEN,2,25,0,2.5
Brent Celek,PHI,NO,2,20,0,2.0
Gavin Escobar,DAL,NE,2,20,0,2.0
Clay Harbor,JAC,@TB,2,20,0,2.0
Marcedes Lewis,JAC,@TB,2,20,0,2.0
Levine Toilolo,ATL,WAS,2,20,0,2.0
Maxx Williams,BAL,CLE,2,20,0,2.0
Tim Wright,DET,ARI,2,20,0,2.0
Scott Chandler,NE,@DAL,1,15,0,1.5
Garrett Graham,HOU,IND,1,10,0,1.0
Virgil Green,DEN,@OAK,1,10,0,1.0
Josh Hill,NO,@PHI,1,10,0,1.0
James O'Shaughnessy,KC,CHI,1,10,0,1.0
Clive Walford,OAK,DEN,1,10,0,1.0
Luke Willson,SEA,@CIN,1,10,0,1.0
C.J. Fiedorowicz,HOU,IND,0,5,0,0.5
