,Unnamed: 0,player,fire,dk_name
0,0,Demaryius Thomas ,26.866,Demaryius Thomas
1,1,Le'Veon Bell ,23.269,Le'Veon Bell
2,2,Julio Jones ,25.436,Julio Jones
3,3,Matt Ryan ,26.1796,Matt Ryan
4,4,Tom Brady ,26.0028,Tom Brady
5,5,Jamaal Charles ,21.825,Jamaal Charles
6,6,Aaron Rodgers ,25.4596,Aaron Rodgers
7,7,Peyton Manning ,24.4454,Peyton Manning
8,8,Philip Rivers ,20.6222,Philip Rivers
9,9,Carson Palmer ,20.1998,Carson Palmer
10,10,Matt Forte ,19.36,Matt Forte
11,11,DeAndre Hopkins ,18.905,NaN
12,12,Randall Cobb ,18.821,Randall Cobb
13,13,Jeremy Maclin ,18.282,Jeremy Maclin
14,14,Keenan Allen ,18.374,Keenan Allen
15,15,Julian Edelman ,18.134,Julian Edelman
16,16,Drew Brees ,22.6686,Drew Brees
17,17,Odell Beckham ,17.528,Odell Beckham Jr.
18,18,A.J. Green ,17.5348,A.J. Green
19,19,Antonio Brown ,17.427,Antonio Brown
20,20,Russell Wilson ,18.3982,Russell Wilson
21,21,Emmanuel Sanders ,17.201,Emmanuel Sanders
22,22,Sam Bradford ,18.4468,Sam Bradford
23,23,Calvin Johnson ,17.038,Calvin Johnson
24,24,Rob Gronkowski ,17.033,Rob Gronkowski
25,25,Tyrod Taylor ,17.9482,Tyrod Taylor
26,26,Alex Smith ,17.8314,Alex Smith
27,27,Kirk Cousins ,17.421,Kirk Cousins
28,28,Eli Manning ,17.2296,Eli Manning
29,29,Devonta Freeman ,16.3244,Devonta Freeman
30,30,Arian Foster ,15.975,NaN
31,31,Michael Vick ,17.3796,NaN
32,32,Colin Kaepernick ,16.588,Colin Kaepernick
33,33,Joe Flacco ,16.3276,Joe Flacco
34,34,Jay Cutler ,16.7396,Jay Cutler
35,35,Marcus Mariota ,15.9736,Marcus Mariota
36,36,Andy Dalton ,16.4738,Andy Dalton
37,37,Martellus Bennett ,14.493,Martellus Bennett
38,38,Eddie Lacy ,14.372,Eddie Lacy
39,39,Dion Lewis ,14.159,Dion Lewis
40,40,Amari Cooper ,14.13,Amari Cooper
41,41,Larry Fitzgerald ,14.081,Larry Fitzgerald
42,42,Justin Forsett ,14.039,Justin Forsett
43,43,Brandon Weeden ,14.6682,Brandon Weeden
44,44,T.Y. Hilton ,13.768,NaN
45,45,Jameis Winston ,15.34,Jameis Winston
46,46,Derek Carr ,15.2978,Derek Carr
47,47,Blake Bortles ,14.8246,Blake Bortles
48,48,Jordan Matthews ,13.503,Jordan Matthews
49,49,Jason Witten ,13.386,Jason Witten
50,50,Matthew Stafford ,15.225,Matthew Stafford
51,51,Todd Gurley ,13.387,Todd Gurley
52,52,Pierre Garcon ,12.927,Pierre Garcon
53,53,Travis Kelce ,12.923,Travis Kelce
54,54,James Jones ,12.852,James Jones
55,55,Percy Harvin ,12.9578,Percy Harvin
56,56,Golden Tate ,12.819,Golden Tate
57,57,Mark Ingram ,12.851,Mark Ingram
58,58,Danny Woodhead ,12.879,Danny Woodhead
59,59,Doug Martin ,12.95,Doug Martin
60,60,Jeremy Hill ,12.5126,Jeremy Hill
61,61,Matt Hasselbeck ,13.9644,NaN
62,62,LeGarrette Blount ,12.407,LeGarrette Blount
63,63,Kamar Aiken ,12.192,Kamar Aiken
64,64,Carlos Hyde ,12.445,Carlos Hyde
65,65,Joseph Randle ,12.337,Joseph Randle
66,66,Chris Johnson ,12.345,Chris Johnson
67,67,DeMarco Murray ,12.285,DeMarco Murray
68,68,Melvin Gordon ,12.169,Melvin Gordon
69,69,Latavius Murray ,11.988,Latavius Murray
70,70,Jimmy Graham ,11.955,Jimmy Graham
71,71,Allen Robinson ,11.82,Allen Robinson
72,72,Matt Jones ,11.879,Matt Jones
73,73,Mike Evans ,11.72,Mike Evans
74,74,Brandin Cooks ,11.739,Brandin Cooks
75,75,T.J. Yeldon ,11.831,T.J. Yeldon
76,76,Frank Gore ,11.673,NaN
77,77,Ryan Mallett ,13.1446,NaN
78,78,Darren Sproles ,11.447,Darren Sproles
79,79,Tyler Eifert ,11.449,Tyler Eifert
80,80,Josh McCown ,13.3444,Josh McCown
81,81,Anquan Boldin ,11.364,Anquan Boldin
82,82,Marquess Wilson ,11.425,Marquess Wilson
83,83,Allen Hurns ,11.356,Allen Hurns
84,84,Thomas Rawls ,11.4392,Thomas Rawls
85,85,Giovani Bernard ,11.432,Giovani Bernard
86,86,Nick Foles ,12.7732,Nick Foles
87,87,Terrance Williams ,11.031,Terrance Williams
88,88,Charles Clay ,11.141,Charles Clay
89,89,Michael Crabtree ,10.797,Michael Crabtree
90,90,Ameer Abdullah ,10.829,Ameer Abdullah
91,91,Kenny Britt ,10.748,Kenny Britt
92,92,Bishop Sankey ,10.77,Bishop Sankey
93,93,Travis Benjamin ,10.369,Travis Benjamin
94,94,Vincent Jackson ,10.429,Vincent Jackson
95,95,John Brown ,10.501,John Brown
96,96,Kendall Wright ,10.3518,Kendall Wright
97,97,Dan Herron ,10.248,NaN
98,98,Rashad Jennings ,10.1896,Rashad Jennings
99,99,Isaiah Crowell ,10.396,Isaiah Crowell
100,100,Leonard Hankerson ,10.002,Leonard Hankerson
101,101,Keith Mumphery ,9.973,NaN
102,102,Robert Woods ,9.931,Robert Woods
103,103,Heath Miller ,9.778,Heath Miller
104,104,Andre Williams ,9.67,Andre Williams
105,105,Alfred Morris ,9.766,Alfred Morris
106,106,Donte Moncrief ,9.591,NaN
107,107,Antonio Gates ,9.485,Antonio Gates
108,108,C.J. Spiller ,9.751,C.J. Spiller
109,109,Doug Baldwin ,9.366,Doug Baldwin
110,110,C.J. Anderson ,9.215,C.J. Anderson
111,111,Owen Daniels ,8.916,Owen Daniels
112,112,Marlon Brown ,8.892,Marlon Brown
113,113,Malcom Floyd ,8.88,Malcom Floyd
114,114,Marques Colston ,8.772,Marques Colston
115,115,Anthony Dixon ,8.4832,NaN
116,116,Shane Vereen ,8.374,Shane Vereen
117,117,Tevin Coleman ,8.328,Tevin Coleman
118,118,Darren McFadden ,8.4832,Darren McFadden
119,119,Jamison Crowder ,8.202,Jamison Crowder
120,120,Ryan Mathews ,8.196,Ryan Mathews
121,121,Delanie Walker ,8.148,Delanie Walker
122,122,Jermaine Kearse ,8.1272,Jermaine Kearse
123,123,Larry Donnell ,8.047,Larry Donnell
124,124,Marvin Jones ,7.997,Marvin Jones
125,125,Coby Fleener ,7.795,NaN
126,126,Nelson Agholor ,7.842,Nelson Agholor
127,127,Alfred Blue ,7.8978,NaN
128,128,Zach Ertz ,7.61,Zach Ertz
129,129,Cole Beasley ,7.727,Cole Beasley
130,130,Jared Cook ,7.612,Jared Cook
131,131,Jacob Tamme ,7.498,Jacob Tamme
132,132,Mohamed Sanu ,7.567,Mohamed Sanu
133,133,Torrey Smith ,7.445,Torrey Smith
134,134,Julius Thomas ,7.444,Julius Thomas
135,135,Ronnie Hillman ,7.533,Ronnie Hillman
136,136,Brandon Pettigrew ,7.611,Brandon Pettigrew
137,137,Chandler Worthy ,7.357,NaN
138,138,DeAngelo Williams ,7.503,DeAngelo Williams
139,139,Theo Riddick ,7.323,Theo Riddick
140,140,Gary Barnidge ,7.214,Gary Barnidge
141,141,Roddy White ,7.189,Roddy White
