

St. Louis Rams,D/ST,STL,6,@GB,0,0,0,1,4,1,1,0,31,397,13,90%
Arizona Cardinals,D/ST,ARI,9,@DET,0,0,0,2,2,1,1,0,19,280,11,91%
Cincinnati Bengals,D/ST,CIN,7,SEA,0,0,0,1,3,1,1,0,17,220,11,42%
Buffalo Bills,D/ST,BUF,8,@TEN,0,0,0,1,3,1,0,0,19,284,10,92%
Kansas City Chiefs,D/ST,KC,9,CHI,0,0,0,1,3,1,0,0,24,352,10,54%
Houston Texans,D/ST,HOU,9,IND,0,0,0,1,2,1,1,0,14,267,9,73%
Tampa Bay Buccaneers,D/ST,TB,6,JAC,0,0,0,1,2,1,1,0,22,265,9,11%
Tennessee Titans,D/ST,TEN,4,BUF,0,0,0,1,2,1,1,0,14,182,9,15%
Atlanta Falcons,D/ST,ATL,10,WAS,0,0,0,1,2,1,0,0,24,229,8,37%
Cleveland Browns,D/ST,CLE,11,@BAL,0,0,0,1,2,1,0,0,20,275,8,17%
Dallas Cowboys,D/ST,DAL,6,NE,0,0,0,1,2,1,0,0,28,352,8,15%
Denver Broncos,D/ST,DEN,7,@OAK,0,0,0,1,2,1,0,0,18,224,8,88%
Oakland Raiders,D/ST,OAK,6,DEN,0,0,0,1,2,1,0,0,30,318,8,5%
Philadelphia Eagles,D/ST,PHI,8,NO,0,0,0,1,2,1,0,0,30,378,8,57%
Seattle Seahawks,D/ST,SEA,9,@CIN,0,0,0,1,2,1,0,0,19,301,8,97%
New England Patriots,D/ST,NE,4,@DAL,0,0,0,0,2,1,1,0,20,317,7,89%
Baltimore Ravens,D/ST,BAL,9,CLE,0,0,0,1,1,1,0,0,16,271,6,76%
Chicago Bears,D/ST,CHI,7,@KC,0,0,0,1,1,1,0,0,24,302,6,9%
Detroit Lions,D/ST,DET,9,ARI,0,0,0,1,1,1,0,0,25,348,6,71%
Green Bay Packers,D/ST,GB,7,STL,0,0,0,0,2,1,0,0,23,352,6,89%
 Previous12Next 


Jacksonville Jaguars,D/ST,JAC,8,@TB,0,0,0,1,1,1,0,0,18,273,6,8%
New Orleans Saints,D/ST,NO,11,@PHI,0,0,0,1,1,1,0,0,23,316,6,6%
Pittsburgh Steelers,D/ST,PIT,11,@SDMon 8:30,0,0,0,0,2,1,0,0,25,328,6,25%
San Diego Chargers,D/ST,SD,10,PITMon 8:30,0,0,0,1,1,1,0,0,18,296,6,7%
San Francisco 49ers,D/ST,SF,10,@NYG8:003rd,0,0,0,1,1,1,0,0,24,293,6,18%
Washington Redskins,D/ST,WAS,8,@ATL,0,0,0,0,2,1,0,0,26,356,6,5%
Indianapolis Colts,D/ST,IND,10,@HOU,0,0,0,0,1,1,0,0,12,256,4,19%
New York Giants,D/ST,NYG,11,SF8:003rd,0,0,0,0,1,0,0,0,21,254,2,38%
 Previous12Next 
