,QB,RB1,RB2,Total_Salary,Total_Projection
15,Tom Brady,Devonta Freeman,Dion Lewis,18900,63.9
19,Tom Brady,Devonta Freeman,Danny Woodhead,18700,56.9
21,Tom Brady,Devonta Freeman,Giovani Bernard,18900,53.9
22,Tom Brady,Devonta Freeman,LeGarrette Blount,18600,57.9
23,Tom Brady,Devonta Freeman,Carlos Hyde,19000,53.4
37,Tom Brady,Dion Lewis,Devonta Freeman,18900,63.9
39,Tom Brady,Dion Lewis,Dion Lewis,17400,60.4
40,Tom Brady,Dion Lewis,Mark Ingram,18700,59.4
41,Tom Brady,Dion Lewis,Matt Forte,19600,61.9
42,Tom Brady,Dion Lewis,Latavius Murray,18900,59.9
43,Tom Brady,Dion Lewis,Danny Woodhead,17200,53.4
44,Tom Brady,Dion Lewis,Joseph Randle,18600,57.9
45,Tom Brady,Dion Lewis,Giovani Bernard,17400,50.4
46,Tom Brady,Dion Lewis,LeGarrette Blount,17100,54.4
47,Tom Brady,Dion Lewis,Carlos Hyde,17500,49.9
51,Tom Brady,Mark Ingram,Dion Lewis,18700,59.4
52,Tom Brady,Mark Ingram,Mark Ingram,20000,58.4
55,Tom Brady,Mark Ingram,Danny Woodhead,18500,52.4
56,Tom Brady,Mark Ingram,Joseph Randle,19900,56.9
57,Tom Brady,Mark Ingram,Giovani Bernard,18700,49.4
58,Tom Brady,Mark Ingram,LeGarrette Blount,18400,53.4
59,Tom Brady,Mark Ingram,Carlos Hyde,18800,48.9
63,Tom Brady,Matt Forte,Dion Lewis,19600,61.9
67,Tom Brady,Matt Forte,Danny Woodhead,19400,54.9
69,Tom Brady,Matt Forte,Giovani Bernard,19600,51.9
70,Tom Brady,Matt Forte,LeGarrette Blount,19300,55.9
71,Tom Brady,Matt Forte,Carlos Hyde,19700,51.4
75,Tom Brady,Latavius Murray,Dion Lewis,18900,59.9
79,Tom Brady,Latavius Murray,Danny Woodhead,18700,52.9
81,Tom Brady,Latavius Murray,Giovani Bernard,18900,49.9
82,Tom Brady,Latavius Murray,LeGarrette Blount,18600,53.9
83,Tom Brady,Latavius Murray,Carlos Hyde,19000,49.4
85,Tom Brady,Danny Woodhead,Devonta Freeman,18700,56.9
87,Tom Brady,Danny Woodhead,Dion Lewis,17200,53.4
88,Tom Brady,Danny Woodhead,Mark Ingram,18500,52.4
89,Tom Brady,Danny Woodhead,Matt Forte,19400,54.9
90,Tom Brady,Danny Woodhead,Latavius Murray,18700,52.9
91,Tom Brady,Danny Woodhead,Danny Woodhead,17000,46.4
92,Tom Brady,Danny Woodhead,Joseph Randle,18400,50.9
93,Tom Brady,Danny Woodhead,Giovani Bernard,17200,43.4
94,Tom Brady,Danny Woodhead,LeGarrette Blount,16900,47.4
95,Tom Brady,Danny Woodhead,Carlos Hyde,17300,42.9
99,Tom Brady,Joseph Randle,Dion Lewis,18600,57.9
100,Tom Brady,Joseph Randle,Mark Ingram,19900,56.9
103,Tom Brady,Joseph Randle,Danny Woodhead,18400,50.9
104,Tom Brady,Joseph Randle,Joseph Randle,19800,55.4
105,Tom Brady,Joseph Randle,Giovani Bernard,18600,47.9
106,Tom Brady,Joseph Randle,LeGarrette Blount,18300,51.9
107,Tom Brady,Joseph Randle,Carlos Hyde,18700,47.4
109,Tom Brady,Giovani Bernard,Devonta Freeman,18900,53.9
111,Tom Brady,Giovani Bernard,Dion Lewis,17400,50.4
112,Tom Brady,Giovani Bernard,Mark Ingram,18700,49.4
113,Tom Brady,Giovani Bernard,Matt Forte,19600,51.9
114,Tom Brady,Giovani Bernard,Latavius Murray,18900,49.9
115,Tom Brady,Giovani Bernard,Danny Woodhead,17200,43.4
116,Tom Brady,Giovani Bernard,Joseph Randle,18600,47.9
117,Tom Brady,Giovani Bernard,Giovani Bernard,17400,40.4
118,Tom Brady,Giovani Bernard,LeGarrette Blount,17100,44.4
119,Tom Brady,Giovani Bernard,Carlos Hyde,17500,39.9
121,Tom Brady,LeGarrette Blount,Devonta Freeman,18600,57.9
123,Tom Brady,LeGarrette Blount,Dion Lewis,17100,54.4
124,Tom Brady,LeGarrette Blount,Mark Ingram,18400,53.4
125,Tom Brady,LeGarrette Blount,Matt Forte,19300,55.9
126,Tom Brady,LeGarrette Blount,Latavius Murray,18600,53.9
127,Tom Brady,LeGarrette Blount,Danny Woodhead,16900,47.4
128,Tom Brady,LeGarrette Blount,Joseph Randle,18300,51.9
129,Tom Brady,LeGarrette Blount,Giovani Bernard,17100,44.4
130,Tom Brady,LeGarrette Blount,LeGarrette Blount,16800,48.4
131,Tom Brady,LeGarrette Blount,Carlos Hyde,17200,43.9
133,Tom Brady,Carlos Hyde,Devonta Freeman,19000,53.4
135,Tom Brady,Carlos Hyde,Dion Lewis,17500,49.9
136,Tom Brady,Carlos Hyde,Mark Ingram,18800,48.9
137,Tom Brady,Carlos Hyde,Matt Forte,19700,51.4
138,Tom Brady,Carlos Hyde,Latavius Murray,19000,49.4
139,Tom Brady,Carlos Hyde,Danny Woodhead,17300,42.9
140,Tom Brady,Carlos Hyde,Joseph Randle,18700,47.4
141,Tom Brady,Carlos Hyde,Giovani Bernard,17500,39.9
142,Tom Brady,Carlos Hyde,LeGarrette Blount,17200,43.9
143,Tom Brady,Carlos Hyde,Carlos Hyde,17600,39.4
159,Aaron Rodgers,Devonta Freeman,Dion Lewis,19000,62
163,Aaron Rodgers,Devonta Freeman,Danny Woodhead,18800,55
165,Aaron Rodgers,Devonta Freeman,Giovani Bernard,19000,52
166,Aaron Rodgers,Devonta Freeman,LeGarrette Blount,18700,56
