,QB,RB1,RB2,Total_Salary,Total_Projection
12,Tom Brady,Devonta Freeman,Dion Lewis,18900.0,63.9
16,Tom Brady,Devonta Freeman,Danny Woodhead,18700.0,56.9
18,Tom Brady,Devonta Freeman,Giovani Bernard,18900.0,53.9
19,Tom Brady,Devonta Freeman,LeGarrette Blount,18600.0,57.9
20,Tom Brady,Devonta Freeman,Carlos Hyde,19000.0,53.4
30,Tom Brady,Dion Lewis,Mark Ingram,18700.0,59.4
31,Tom Brady,Dion Lewis,Matt Forte,19600.0,61.9
32,Tom Brady,Dion Lewis,Latavius Murray,18900.0,59.9
33,Tom Brady,Dion Lewis,Danny Woodhead,17200.0,53.4
34,Tom Brady,Dion Lewis,Joseph Randle,18600.0,57.9
35,Tom Brady,Dion Lewis,Giovani Bernard,17400.0,50.4
36,Tom Brady,Dion Lewis,LeGarrette Blount,17100.0,54.4
37,Tom Brady,Dion Lewis,Carlos Hyde,17500.0,49.9
40,Tom Brady,Mark Ingram,Danny Woodhead,18500.0,52.4
41,Tom Brady,Mark Ingram,Joseph Randle,19900.0,56.9
42,Tom Brady,Mark Ingram,Giovani Bernard,18700.0,49.4
43,Tom Brady,Mark Ingram,LeGarrette Blount,18400.0,53.4
44,Tom Brady,Mark Ingram,Carlos Hyde,18800.0,48.9
46,Tom Brady,Matt Forte,Danny Woodhead,19400.0,54.9
48,Tom Brady,Matt Forte,Giovani Bernard,19600.0,51.9
49,Tom Brady,Matt Forte,LeGarrette Blount,19300.0,55.9
50,Tom Brady,Matt Forte,Carlos Hyde,19700.0,51.4
51,Tom Brady,Latavius Murray,Danny Woodhead,18700.0,52.9
53,Tom Brady,Latavius Murray,Giovani Bernard,18900.0,49.9
54,Tom Brady,Latavius Murray,LeGarrette Blount,18600.0,53.9
55,Tom Brady,Latavius Murray,Carlos Hyde,19000.0,49.4
56,Tom Brady,Danny Woodhead,Joseph Randle,18400.0,50.9
57,Tom Brady,Danny Woodhead,Giovani Bernard,17200.0,43.4
58,Tom Brady,Danny Woodhead,LeGarrette Blount,16900.0,47.4
59,Tom Brady,Danny Woodhead,Carlos Hyde,17300.0,42.9
60,Tom Brady,Joseph Randle,Giovani Bernard,18600.0,47.9
61,Tom Brady,Joseph Randle,LeGarrette Blount,18300.0,51.9
62,Tom Brady,Joseph Randle,Carlos Hyde,18700.0,47.4
63,Tom Brady,Giovani Bernard,LeGarrette Blount,17100.0,44.4
64,Tom Brady,Giovani Bernard,Carlos Hyde,17500.0,39.9
65,Tom Brady,LeGarrette Blount,Carlos Hyde,17200.0,43.9
78,Aaron Rodgers,Devonta Freeman,Dion Lewis,19000.0,62.0
82,Aaron Rodgers,Devonta Freeman,Danny Woodhead,18800.0,55.0
84,Aaron Rodgers,Devonta Freeman,Giovani Bernard,19000.0,52.0
85,Aaron Rodgers,Devonta Freeman,LeGarrette Blount,18700.0,56.0
86,Aaron Rodgers,Devonta Freeman,Carlos Hyde,19100.0,51.5
96,Aaron Rodgers,Dion Lewis,Mark Ingram,18800.0,57.5
97,Aaron Rodgers,Dion Lewis,Matt Forte,19700.0,60.0
98,Aaron Rodgers,Dion Lewis,Latavius Murray,19000.0,58.0
99,Aaron Rodgers,Dion Lewis,Danny Woodhead,17300.0,51.5
100,Aaron Rodgers,Dion Lewis,Joseph Randle,18700.0,56.0
101,Aaron Rodgers,Dion Lewis,Giovani Bernard,17500.0,48.5
102,Aaron Rodgers,Dion Lewis,LeGarrette Blount,17200.0,52.5
103,Aaron Rodgers,Dion Lewis,Carlos Hyde,17600.0,48.0
106,Aaron Rodgers,Mark Ingram,Danny Woodhead,18600.0,50.5
107,Aaron Rodgers,Mark Ingram,Joseph Randle,20000.0,55.0
108,Aaron Rodgers,Mark Ingram,Giovani Bernard,18800.0,47.5
109,Aaron Rodgers,Mark Ingram,LeGarrette Blount,18500.0,51.5
110,Aaron Rodgers,Mark Ingram,Carlos Hyde,18900.0,47.0
112,Aaron Rodgers,Matt Forte,Danny Woodhead,19500.0,53.0
114,Aaron Rodgers,Matt Forte,Giovani Bernard,19700.0,50.0
115,Aaron Rodgers,Matt Forte,LeGarrette Blount,19400.0,54.0
116,Aaron Rodgers,Matt Forte,Carlos Hyde,19800.0,49.5
117,Aaron Rodgers,Latavius Murray,Danny Woodhead,18800.0,51.0
119,Aaron Rodgers,Latavius Murray,Giovani Bernard,19000.0,48.0
120,Aaron Rodgers,Latavius Murray,LeGarrette Blount,18700.0,52.0
121,Aaron Rodgers,Latavius Murray,Carlos Hyde,19100.0,47.5
122,Aaron Rodgers,Danny Woodhead,Joseph Randle,18500.0,49.0
123,Aaron Rodgers,Danny Woodhead,Giovani Bernard,17300.0,41.5
124,Aaron Rodgers,Danny Woodhead,LeGarrette Blount,17000.0,45.5
125,Aaron Rodgers,Danny Woodhead,Carlos Hyde,17400.0,41.0
126,Aaron Rodgers,Joseph Randle,Giovani Bernard,18700.0,46.0
127,Aaron Rodgers,Joseph Randle,LeGarrette Blount,18400.0,50.0
128,Aaron Rodgers,Joseph Randle,Carlos Hyde,18800.0,45.5
129,Aaron Rodgers,Giovani Bernard,LeGarrette Blount,17200.0,42.5
130,Aaron Rodgers,Giovani Bernard,Carlos Hyde,17600.0,38.0
131,Aaron Rodgers,LeGarrette Blount,Carlos Hyde,17300.0,42.0
134,Andy Dalton,Le'Veon Bell,Dion Lewis,19000.0,64.1
138,Andy Dalton,Le'Veon Bell,Danny Woodhead,18800.0,57.1
140,Andy Dalton,Le'Veon Bell,Giovani Bernard,19000.0,54.1
141,Andy Dalton,Le'Veon Bell,LeGarrette Blount,18700.0,58.1
142,Andy Dalton,Le'Veon Bell,Carlos Hyde,19100.0,53.6
143,Andy Dalton,Devonta Freeman,Jamaal Charles,19800.0,66.6
144,Andy Dalton,Devonta Freeman,Dion Lewis,16800.0,59.1
145,Andy Dalton,Devonta Freeman,Mark Ingram,18100.0,58.1
146,Andy Dalton,Devonta Freeman,Matt Forte,19000.0,60.6
147,Andy Dalton,Devonta Freeman,Latavius Murray,18300.0,58.6
148,Andy Dalton,Devonta Freeman,Danny Woodhead,16600.0,52.1
149,Andy Dalton,Devonta Freeman,Joseph Randle,18000.0,56.6
150,Andy Dalton,Devonta Freeman,Giovani Bernard,16800.0,49.1
151,Andy Dalton,Devonta Freeman,LeGarrette Blount,16500.0,53.1
152,Andy Dalton,Devonta Freeman,Carlos Hyde,16900.0,48.6
153,Andy Dalton,Jamaal Charles,Dion Lewis,18300.0,63.1
154,Andy Dalton,Jamaal Charles,Mark Ingram,19600.0,62.1
156,Andy Dalton,Jamaal Charles,Latavius Murray,19800.0,62.6
157,Andy Dalton,Jamaal Charles,Danny Woodhead,18100.0,56.1
158,Andy Dalton,Jamaal Charles,Joseph Randle,19500.0,60.6
159,Andy Dalton,Jamaal Charles,Giovani Bernard,18300.0,53.1
160,Andy Dalton,Jamaal Charles,LeGarrette Blount,18000.0,57.1
161,Andy Dalton,Jamaal Charles,Carlos Hyde,18400.0,52.6
162,Andy Dalton,Dion Lewis,Mark Ingram,16600.0,54.6
163,Andy Dalton,Dion Lewis,Matt Forte,17500.0,57.1
164,Andy Dalton,Dion Lewis,Latavius Murray,16800.0,55.1
165,Andy Dalton,Dion Lewis,Danny Woodhead,15100.0,48.6
166,Andy Dalton,Dion Lewis,Joseph Randle,16500.0,53.1
167,Andy Dalton,Dion Lewis,Giovani Bernard,15300.0,45.6
168,Andy Dalton,Dion Lewis,LeGarrette Blount,15000.0,49.6
169,Andy Dalton,Dion Lewis,Carlos Hyde,15400.0,45.1
170,Andy Dalton,Mark Ingram,Matt Forte,18800.0,56.1
171,Andy Dalton,Mark Ingram,Latavius Murray,18100.0,54.1
172,Andy Dalton,Mark Ingram,Danny Woodhead,16400.0,47.6
173,Andy Dalton,Mark Ingram,Joseph Randle,17800.0,52.1
174,Andy Dalton,Mark Ingram,Giovani Bernard,16600.0,44.6
175,Andy Dalton,Mark Ingram,LeGarrette Blount,16300.0,48.6
176,Andy Dalton,Mark Ingram,Carlos Hyde,16700.0,44.1
177,Andy Dalton,Matt Forte,Latavius Murray,19000.0,56.6
178,Andy Dalton,Matt Forte,Danny Woodhead,17300.0,50.1
179,Andy Dalton,Matt Forte,Joseph Randle,18700.0,54.6
180,Andy Dalton,Matt Forte,Giovani Bernard,17500.0,47.1
181,Andy Dalton,Matt Forte,LeGarrette Blount,17200.0,51.1
182,Andy Dalton,Matt Forte,Carlos Hyde,17600.0,46.6
183,Andy Dalton,Latavius Murray,Danny Woodhead,16600.0,48.1
184,Andy Dalton,Latavius Murray,Joseph Randle,18000.0,52.6
185,Andy Dalton,Latavius Murray,Giovani Bernard,16800.0,45.1
186,Andy Dalton,Latavius Murray,LeGarrette Blount,16500.0,49.1
187,Andy Dalton,Latavius Murray,Carlos Hyde,16900.0,44.6
188,Andy Dalton,Danny Woodhead,Joseph Randle,16300.0,46.1
189,Andy Dalton,Danny Woodhead,Giovani Bernard,15100.0,38.6
190,Andy Dalton,Danny Woodhead,LeGarrette Blount,14800.0,42.6
191,Andy Dalton,Danny Woodhead,Carlos Hyde,15200.0,38.1
192,Andy Dalton,Joseph Randle,Giovani Bernard,16500.0,43.1
193,Andy Dalton,Joseph Randle,LeGarrette Blount,16200.0,47.1
